都道府県名,団体名拠点名,〒,住所
北海道,花園子育てサロン,041-0843,函館市花園町32-1(花園保育園内)
北海道,ちいぱっぱクラブ,041-1214,北斗市東前26番地33
北海道,京極町子育て支援センター,044-0121,虻田郡京極町字三崎92番地6
北海道,"小樽市地域子育て支援センター
げんき",047-0013,小樽市奥沢3丁目22番1号
北海道,福島町地域子育て支援センター,049-1331,松前郡福島町字三岳39-5
北海道,"松前町子育て支援センター
（松前認定こども園）",049-1505,松前郡松前町字博多226-16
北海道,"松前町子育て支援センター
（清部保育所）",049-1783,松前郡松前町字清部461-3
北海道,八雲町子育て支援センタースマイル,049-3113,二海郡八雲町相生町29番地9
北海道,八雲町子育て支援センターひまわり,049-3117,二海郡八雲町栄町13番地1
北海道,長万部町子育て支援センター,049-3521,山越郡長万部町字長万部430-143
北海道,今金町子育て支援センター,049-4308,瀬棚郡今金町字今金435番地の380
北海道,洞爺湖町子育て支援センター（本町保育所）,049-5615,虻田郡洞爺湖町本町42番地
北海道,室蘭市子育て世代包括支援センター「ここらん」,050-0083,北海道室蘭市東町4丁目20-6(保健ｾﾝﾀｰ5階)
北海道,とまこまい子育て支援センター（苫小牧市教育・福祉センター）,053-0015,苫小牧市本幸町1丁目2-21
北海道,日高町子育て支援センターわくわく館,055-0001,沙流郡日高町富川北2丁目8番5号
北海道,様似町子育て支援センター,058-0015,様似郡様似町錦町1番地の8認定子ども園様似町立幼児センター幼稚園
北海道,白老町子育てふれあいセンター「すくすく３・９」,059-0903,白老郡白老町日の出町3丁目9番地17
北海道,安平町追分地区子育て支援センター,059-1931,勇払郡安平町追分中央1番地40
北海道,新冠町子育て支援センター,059-2404,新冠郡新冠町字東町18番地の2
北海道,青葉保育園子育て支援センター,059-3108,日高郡新ひだか町三石本町283番地の3
北海道,本桐保育所子育て支援センター,059-3231,日高郡新ひだか町三石本桐224番地の5
北海道,中央区子育て情報室,060-0063,札幌市中央区南3条西11丁目
北海道,"当別町子育て支援センターゆとろ
（総合保健福祉センター）",061-0234,石狩郡当別町西町32番地2当別町福祉部子育て推進課
北海道,"当別町子育て支援センター
（ふとみ保育所）",061-0234,石狩郡当別町太美町1480番地8当別町福祉部子育て推進課
北海道,地域子育て支援センター「どんぐり」,061-1104,北広島市西の里北2丁目4-5
北海道,恵庭市子育て支援センター(恵み野）,061-1373,恵庭市恵み野北3丁目1番1 ﾌｰﾚめぐみの
北海道,恵庭市子育て支援センター(柏陽）,061-1434,恵庭市柏陽町3丁目24-1市立すみれ保育園併設
北海道,0123歳児と親のための子育て広場りとるきっず,061-3217,石狩市花川北7条1丁目22番地
北海道,いわみざわ子育て支援センター,068-0024,岩見沢市4条西3丁目1番地であえｰる岩見沢3階
北海道,三笠市子育て支援センター,068-2107,三笠市若草町404番地
北海道,子育て支援センターもりのこ,069-0842,江別市大麻沢町9大麻保育園内
北海道,子育て支援センターぐんぐん,069-0844,江別市大麻西町15番地認定こども園大麻幼稚園まんまる保育園内
北海道,由仁町子育て支援センター,069-1206,夕張郡由仁町本町318番地
北海道,地域子育て支援センターねむのき,070-0030,旭川市宮下通14丁目 旭川市北彩都子ども活動ｾﾝﾀｰASOBI~BA内
北海道,鷹栖町子育て支援センター,071-1201,上川郡鷹栖町南1条3丁目2番27号
北海道,一の坂保育所地域子育て支援センター,073-0017,滝川市一の坂町西3丁目7番36号
北海道,花月保育所地域子育て支援センター,073-0036,滝川市花月町2丁目5番1号
北海道,砂川市子育て支援センター,073-0165,砂川市西5条北14丁目29-3
北海道,新十津川町子育て支援センター,073-1103,樺戸郡新十津川町字中央534-13
北海道,芦別市子育て支援センター,075-0041,芦別市本町28番地
北海道,比布町子育て支援センター,078-0343,上川郡比布町中町1丁目1番4号比布町保健ｾﾝﾀｰ内
北海道,上川町子育て支援センター,078-1744,上川郡上川町本町2
北海道,北竜町地域子育て支援センター,078-2512,雨竜郡北竜町字和27番地2　北竜町立やわら保育園内
北海道,苫前地域子育て支援センター,078-3701,苫前郡苫前町字苫前183
北海道,奈井江町子育て支援センター,079-0300,空知郡奈井江町字奈井江町245番地30
北海道,南富良野町子育て支援センター,079-2400,北海道空知郡南富良野町字幾寅　町立幾寅保育所内
北海道,東部子育て支援拠点センター,085-0813,釧路市春採4丁目19-1
北海道,中標津町児童センター「みらいる」,086-1008,標津郡中標津町東8条南3丁目
北海道,中標津町西児童館,086-1125,標津郡中標津町西9条北7丁目
北海道,標津町親子交流舘｢おひさま｣,086-1651,標津郡標津町南1条西2丁目1番1-1号標津町文化ﾎｰﾙ 
北海道,白糠町子育て支援センター,088-0575,白糠郡白糠町西2条南3丁目1番地1
北海道,弟子屈町子育て支援センター「ひなたぼっこ」,088-3213,川上郡弟子屈町桜丘3丁目5-6
北海道,広尾町子育て支援センター,089-2621,広尾郡広尾町公園通北2丁目51-2 ひろお保育園内
北海道,浦幌町立子育て支援センター,089-5621,十勝郡浦幌町字北町8番地1
北海道,"士別市子育て支援センター
「ゆら」",095-0005,士別市東5条7丁目20番地14士別市立あいの実保育園内
北海道,つどいの広場「きら」あさひ,095-0401,士別市朝日町中央4040番地朝日総合支所1階和室
北海道,"乳幼児子育て応援センター
「キッズなかよしルーム」",097-0012,稚内市富岡4-18(社会教育ｾﾝﾀｰ東分館)
北海道,中川町地域子育て支援センター「まめちょ」,098-2802,中川郡中川町字中川228番地
北海道,天塩町地域子育て支援センター,098-3312,天塩郡天塩町字川口5699番地の1
北海道,訓子府町子育て支援センター,099-1432,常呂郡訓子府町旭町71番地
北海道,小清水町子育て支援センター,099-3600,斜里郡小清水町字小清水497番地の1
北海道,清里町子育て支援センター,099-4405,斜里郡清里町羽衣町31番地
北海道,中湧別子育て支援センター,099-6329,紋別郡湧別町中湧別中町3021-1
北海道,ちあふる・きた,001-0025,札幌市北区北25条西3丁目3-3北区保育・子育て支援センター (ちあふる)
北海道,"北区こそだてインフォメーション
「ぽっぴぃ★らんど」",001-0025,札幌市北区北25条西6丁目北保健センター
北海道,エルムの森児童会館,001-0027,札幌市北区北27条西14丁目
北海道,ぷちひろば,001-0045,札幌市北区麻生6丁目14-6高橋ビル2階
北海道,光陽児童会館,001-0905,札幌市北区新琴似５条11丁目4-1
北海道,新琴似児童会館,001-0911,札幌市北区新琴似11条7丁目3-16
北海道,新川中央児童会館,001-0923,札幌市北区新川3条3丁目3-21
北海道,新川児童会館,001-0924,札幌市北区新川4条11丁目5-16
北海道,屯田児童会館,002-0855,札幌市北区屯田5条6丁目2-23
北海道,屯田北児童会館,002-0858,札幌市北区屯田8条7丁目1-39
北海道,太平児童会館,002-8008,札幌市北区太平8条7丁目2-1
北海道,篠路児童会館,002-8024,札幌市北区篠路4条9丁目3-1篠路小学校
北海道,篠路西児童会館,002-8026,札幌市北区篠路6条4丁目2-32
北海道,あいの里児童会館,002-8071,札幌市北区あいの里1条3丁目6-1
北海道,あいの里ひがし児童会館,002-8073,札幌市北区あいの里3条7丁目9-1
北海道,百合が原児童会館,002-8081,札幌市北区百合が原9丁目9-11
北海道,東札幌児童会館,003-0005,札幌市白石区東札幌5条3丁目2-26
北海道,ちあふる・しろいし,003-0022,札幌市白石区南郷通1丁目南8-1白石区民センター
北海道,白石区こそだてインフォメーション,003-0022,札幌市白石区南郷通1丁目南8白石区複合庁舎
北海道,東白石児童会館,003-0026,札幌市白石区本通14丁目南
北海道,柏丘児童会館,003-0029,札幌市白石区平和通8丁目北3-44
北海道,菊水やよい児童会館,003-0801,札幌市白石区菊水1条4丁目6-61
北海道,菊水元町児童会館,003-0828,札幌市白石区菊水元町8条2丁目15-5
北海道,出張親子ひろばみるきぃらんど,003-0832,札幌市白石区北郷2条4丁目5-10
北海道,川北児童会館,003-0854,札幌市白石区川北4条1丁目4-29
北海道,厚別東児童会館,004-0003,札幌市厚別区厚別東3条4丁目4-13
北海道,もみじ台児童会館,004-0013,札幌市厚別区もみじ台西6丁目1-2
北海道,青葉児童会館,004-0021,札幌市厚別区青葉町7丁目1-38
北海道,上野幌児童会館,004-0031,札幌市厚別区上野幌2条4丁目
北海道,ほっとたいむ,004-0042,札幌市厚別区大谷地西2丁目2-2大谷地会館
北海道,厚別区こそだてインフォメーション,004-0051,札幌市厚別区厚別中央1条5丁目3-2厚別区役所3階厚別保健センター
北海道,ちあふる・あつべつ,004-0051,札幌市厚別区厚別中央1条6丁目
北海道,しなの児童会館,004-0054,札幌市厚別区厚別中央4条5丁目7-16
北海道,キラキラひろば,004-0063,札幌市厚別区厚別西3条2丁目6-16ウエストライフ2階
北海道,里塚児童会館,004-0802,札幌市清田区里塚2条3丁目12-23
北海道,認定こども園にじいろ,004-0832,札幌市清田区真栄2条1丁目11-20しんえい幼稚園
北海道,きらきらキッズ,004-0847,札幌市清田区清田7条1丁目40-20清田第五町内会館
北海道,北野児童会館,004-0864,札幌市清田区北野4条2丁目8-17
北海道,北野台児童会館,004-0864,札幌市清田区北野4条5丁目4-58
北海道,"清田区こそだてインフォメーション
「きよっちるーむ」",004-0871,札幌市清田区平岡1条1丁目清田区役所
北海道,平岡児童会館,004-0878,札幌市清田区平岡8条1丁目6-22
北海道,平岡みどり児童会館,004-0882,札幌市清田区平岡公園東10丁目13-10
北海道,ぱおぱおひろば,005-0006,札幌市南区澄川6条3丁目1-25室橋ビル2階
北海道,南区こそだてインフォメーション,005-0014,札幌市南区真駒内幸町1丁目南保健センター
北海道,ちあふる・みなみ,005-0014,札幌市南区真駒内幸町2丁目2-2まこまる
北海道,真駒内五輪児童会館,005-0015,札幌市南区真駒内泉町3丁目1-6
北海道,藻岩児童会館,005-0808,札幌市南区川沿8条2丁目1-26
北海道,稲穂児童会館,006-0033,札幌市手稲区稲穂3条5丁目9-23
北海道,金山児童会館,006-0043,札幌市手稲区金山3条2丁目1-30
北海道,新発寒児童会館,006-0806,札幌市手稲区新発寒6条4丁目15-1
北海道,"手稲区こそだてインフォメーション
「きてみてルーム」",006-0811,札幌市手稲区前田1条11丁目手稲区民センター
北海道,地域＆親子ひろばコミコミ・かふぇ,006-0811,手稲区前田1条12丁目1-50ていね楽市ビル2階
北海道,いなづみ児童会館,006-0814,札幌市手稲区前田4条4丁目2-13
北海道,あそべばい～しょ♪,006-0816,札幌市手稲区前田6条11丁目2-1前田会館
北海道,前田しらかば児童会館,006-0818,札幌市手稲区前田8条15丁目17-25
北海道,星置児童会館,006-0852,札幌市手稲区星置2条7丁目3-1
北海道,札苗児童会館,007-0809,札幌市東区東苗穂9条東3丁目2-30
北海道,丘珠たから児童会館,007-0835,札幌市東区北35条東23丁目7-10
北海道,ひのまる児童会館,007-0838,札幌市東区北38条東9丁目1-29
北海道,栄西児童会館,007-0846,札幌市東区北46条東5丁目3-18
北海道,伏古児童会館,007-0870,札幌市東区伏古10条3丁目6-8
北海道,丘珠ひばり児童会館,007-0884,札幌市北丘珠4条1丁目12-5
北海道,中央認定こども園子育てサロン,040-0032,函館市新川町1‐5中央認定こども園
北海道,大森浜子育てサロン,040-0042,函館市東川町18-1道南住宅「であえ～る大森浜団地」
北海道,つつじ子育てサロン,041-0525,函館市日ﾉ浜町172-8認定こども園つつじ保育園
北海道,石川子育てサロン,041-0802,函館市石川町39-8認定こども園函館石川保育園
