file	line	pref	city	name	addr	reason
三重県.csv	24	三重県	伊賀市	島ヶ原子育て支援センター	伊賀市島ヶ原４６９６－９	ambiguous-town-9
三重県.csv	105	三重県	津市	香良洲浜っ子幼児園子育て支援センター	津市香良洲町５７２２	ambiguous-town-10
兵庫県.csv	58	兵庫県	姫路市	姫路ひまわり保育園	姫路市北夢前台1丁目59	ambiguous-town-2
兵庫県.csv	77	兵庫県	宝塚市	やまぼうし子育てひろば	宝塚市中筋7-82-3	ambiguous-town-2
兵庫県.csv	78	兵庫県	宝塚市	中筋児童館（中筋ひろば）	宝塚市中筋2-10-18	ambiguous-town-2
兵庫県.csv	91	兵庫県	尼崎市	あみんぐステーション	尼崎市潮江2-28-47	ambiguous-town-2
兵庫県.csv	109	兵庫県	川西市	子育て支援拠点TSUNAGARI	川西市萩原台西3－1－2－202（萩原壱番館2階）	ambiguous-town-2
北海道.csv	213	北海道	札幌市	むくどりホーム・ふれあいの会	〒061-228 札幌市南区藤野2条1丁目13-10	no-deterministic-match
千葉県.csv	86	千葉県	八千代市	地域子育て支援センター こあら（高津南保育園内）	千葉県八千代市高津390-277	ambiguous-town-2
千葉県.csv	87	千葉県	八千代市	地域子育て支援センター たんぽぽ（村上北保育園内）	千葉県八千代市村上団地2-19	ambiguous-town-2
千葉県.csv	89	千葉県	八千代市	子ども支援センター すてっぷ21大和田	千葉県八千代市大和田新田477-106	ambiguous-town-2
和歌山県.csv	24	和歌山県	太地町	ふれあいルーム	太地町大字太地3431番地（子育て支援ハウス）	ambiguous-town-2
大分県.csv	29	大分県	大分市	大分南部こどもルーム	大字曲1113番地（大分南部公民館併設）	ambiguous-town-2
大阪府.csv	26	大阪府	大阪市	つどいの広場 たなかキッズクラブ	大阪市中央区谷町6-14-23	ambiguous-town-2
宮城県.csv	26	宮城県	川崎町	川崎町子育て支援センター	宮城県柴田郡川崎町大字前川字伊勢原27	ambiguous-town-2
宮城県.csv	65	宮城県	蔵王町	蔵王町子育て支援センター	宮城県刈田郡蔵王町大字円田字西浦北10	ambiguous-town-2
宮崎県.csv	56	宮崎県	栄町	(080)8350-0402	栄町児童館子育て交流ひろば	no-deterministic-match
富山県.csv	15	富山県	高岡市	福岡子育て支援センター	富山県高岡市福岡町大滝22	ambiguous-town-3
富山県.csv	24	富山県	射水市	小杉北部子育て支援センター	富山県射水市戸破4200-11	ambiguous-town-2
富山県.csv	26	富山県	射水市	戸破子育て支援センター	富山県射水市戸破2475	ambiguous-town-2
富山県.csv	64	富山県	南砺市	子育て支援センターひよこ広場	富山県南砺市福光1269-1	ambiguous-town-18
山口県.csv	109	山口県	岩国市	子育て支援センターはぐくみクラブ	岩国市玖珂町８０７	ambiguous-town-23
広島県.csv	48	広島県	廿日市市	大野子育て支援センター	広島県廿日市市大野1丁目1番1号	ambiguous-town-2
徳島県.csv	2	徳島県	つるぎ町	おひさまランド	美馬郡つるぎ町半田字田井487-2（半田保育所内）	ambiguous-town-7
徳島県.csv	3	徳島県	つるぎ町	チビッコわんぱくひろば	美馬郡つるぎ町貞光字西山148番地1（貞光保育所内）	ambiguous-town-9
徳島県.csv	4	徳島県	つるぎ町	子育てひろば「あんりーる」	美馬郡つるぎ町貞光字町86番地1　町並み屋内公園	ambiguous-town-9
徳島県.csv	32	徳島県	徳島市	丈六在宅育児家庭相談室「あーち」	徳島市丈六町休場6-6（丈六保育所2階）	ambiguous-town-3
徳島県.csv	45	徳島県	板野町	板野町地域子育て支援センター	板野郡板野町大寺岡ノ前20	ambiguous-town-2
徳島県.csv	48	徳島県	石井町	さくら認定こども園　にじぐみ	名西郡石井町高川原字高川原1254-1（さくら認定こども園内）	ambiguous-town-6
徳島県.csv	49	徳島県	石井町	特定非営利活動法人　こどもねっといしい 　子育てサロン	名西郡石井町高川原字高川原130-1（石井中学校西隣）	ambiguous-town-6
徳島県.csv	50	徳島県	神山町	ぱんだぐみ（地域子育て支援センター）	名西郡神山町阿野字広野154-1（広野保育所内）	ambiguous-town-2
徳島県.csv	51	徳島県	神山町	鮎喰川コモン	名西郡神山町神領字大埜地374-1	ambiguous-town-2
徳島県.csv	53	徳島県	美馬市	さくらんぼルーム	美馬市脇町字拝原700-1（江原認定こども園内）	ambiguous-town-17
徳島県.csv	54	徳島県	美馬市	なかよし広場	美馬市美馬町字中東原70-1（美馬認定こども園内）	ambiguous-town-7
徳島県.csv	56	徳島県	美馬市	美馬市子育て支援センター みらい	美馬市脇町猪尻西分116-1（美馬市地域交流センターミライズ2階）	ambiguous-town-3
徳島県.csv	57	徳島県	藍住町	あいずみ保育園地域子育て支援センター	板野郡藍住町東中富字龍池傍示44-1	ambiguous-town-5
徳島県.csv	58	徳島県	藍住町	藍住ひまわり保育園地域子育て支援センター	板野郡藍住町勝瑞字西勝地285	ambiguous-town-4
徳島県.csv	59	徳島県	藍住町	藍住南ひまわり保育園	板野郡藍住町奥野字乾104	ambiguous-town-3
徳島県.csv	60	徳島県	藍住町	認可保育園　おひさま	板野郡藍住町住吉字江端8-1	ambiguous-town-4
徳島県.csv	65	徳島県	阿南市	ふれあいひろば（橘こどもセンター）	阿南市橘町久保38-3	ambiguous-town-3
徳島県.csv	66	徳島県	阿南市	みんなのひろば（岩脇こどもセンター）	阿南市羽ノ浦町岩脇神代地85番地1	ambiguous-town-2
徳島県.csv	79	徳島県	阿波市	子育て支援センター「かもめ・すまいるclub」	阿波市市場町市場字上野段669（市場かもめこども園内）	ambiguous-town-4
愛媛県.csv	4	愛媛県	今治市	にこにこ広場おぉきくなぁれ	喜田村8-4-48	ambiguous-town-2
