pref,city,name,zip,addr,phone,note
三重県,いなべ市,いなべ市大安中央児童センター,5110274,いなべ市大安町大井田2717番地3,,
三重県,いなべ市,すこやかランド,5110426,いなべ市北勢町其原818 山郷保育所内,,
三重県,いなべ市,つくしんぼ,5110504,いなべ市藤原町川合770,,
三重県,いなべ市,なかよしひろば,5110204,いなべ市員弁町石仏1868-1 員弁西保育園内,,
三重県,いなべ市,はっぴい・はあと,5110266,いなべ市大安町石榑南335,,
三重県,いなべ市,北勢子育て支援センター（すこやかランド）,5110426,いなべ市北勢町其原８１８（山郷保育所内）,,
三重県,いなべ市,員弁子育て支援センター（なかよしひろば）,5110204,いなべ市員弁町石仏１８６８－１（員弁西保育園内）,,
三重県,いなべ市,大安子育て支援センター（遊・友・YOUチャイルド）,5110281,いなべ市大安町門前５３１番地１,,
三重県,いなべ市,子育て支援センターはっぴぃはあと,5110266,いなべ市大安町石榑南３３５,,
三重県,いなべ市,藤原子育て支援センター（つくしんぼ）,5110504,いなべ市藤原町川合７７０番地,,
三重県,いなべ市,遊・友・YOUチャイルド,5110281,いなべ市大安町門前531-1,,
三重県,三重郡川越町,ひばり保育園地域子育て支援センター「スマイリー」,5100000,三重郡川越町大字豊田85番地1,,
三重県,三重郡菰野町,子育て支援センター「ユーカリ」,5101233,三重郡菰野町菰野2268-5,,
三重県,三重郡菰野町,菰野町 子育て支援センター,5101253,三重郡菰野町潤田1281,,
三重県,亀山市,なぎの木,5190211,亀山市川崎町字上垣内４９２８,,
三重県,亀山市,亀山子育て支援センター,5190164,亀山市羽若町545,,
三重県,亀山市,亀山市亀山子育て支援センター,5190164,亀山市羽若町５４５,,
三重県,亀山市,亀山市関子育て支援センター,5191107,亀山市関町木崎786,,
三重県,亀山市,亀山愛児園 こすもす倶楽部,5190125,亀山市東町１丁目１０番１６号１,,
三重県,亀山市,亀山愛児園コスモス倶楽部,5190125,亀山市東町一丁目10-16-1,,
三重県,亀山市,子育て支援センター「のんの」,5190222,亀山市両尾町字車瀬２１９３,,
三重県,亀山市,子育て支援センターのんの,5190222,亀山市両尾町2193,,
三重県,亀山市,川崎愛児園なぎの木,5190211,亀山市川崎町4928,,
三重県,伊勢市,しごうこども園,5160022,伊勢市一宇田町891番地1,,
三重県,伊勢市,伊勢市二見子育て支援センター,5190606,伊勢市二見町荘２０６８ー１,,
三重県,伊勢市,伊勢市子育て支援センターきらら館,5160041,伊勢市常磐２丁目４番４０号,,
三重県,伊勢市,伊勢市子育て支援センターしごうこども園,5160022,伊勢市一宇田町８９１－１,,
三重県,伊勢市,伊勢市子育て支援センター明倫保育所,5160073,伊勢市吹上２丁目１１番４２号,,
三重県,伊勢市,伊勢市小俣子育て支援センター,5190503,伊勢市小俣町元町５３６,,
三重県,伊勢市,伊勢市御薗子育て支援センター,5160804,伊勢市御薗町長屋1221番地,,
三重県,伊勢市,子育て支援センターきらら館,5160041,伊勢市常磐2丁目4番40号,,
三重県,伊勢市,小俣子育て支援センター,5190503,伊勢市小俣町元町536,,
三重県,伊勢市,明倫保育所,5160073,伊勢市吹上2丁目11番42号,,
三重県,伊賀市,あやま子育て支援センター,5181313,伊賀市馬場1128-1,,
