pref,city,name,zip,addr,phone,note
京都府,与謝郡伊根町,伊根町地域子育て支援センター「ぽれぽれ」,6260423,与謝郡伊根町平田小字長子ｺ648-3(伊根保育所),,
京都府,与謝野町,与謝野町加悦子育て支援センター,6292403,与謝郡与謝野町字加悦802-7 やすらの里内,080-8510-6185,
京都府,与謝野町,与謝野町岩滝子育て支援センター,6292262,与謝郡与謝野町岩滝861-2,080-2482-8642,
京都府,与謝野町,与謝野町野田川子育て支援センター,6292200,与謝郡与謝野町字岩屋205 旧岩屋保育所内,0772-42-6116,
京都府,久御山町,久御山町子育て支援センターあいあいホール,6130031,久世郡久御山町佐古内屋敷80番地3,0774-41-2263,
京都府,亀岡市,ありがとうおおいひろば（大井こども園）,6210013,亀岡市大井町並河１丁目２４番２５号,0771-23-7015,
京都府,亀岡市,ありがとうちよかわひろば（千代川こども園）,6210052,亀岡市千代川町千原片ホコ１５,0771-23-7911,
京都府,亀岡市,かめおかっこひろば（亀岡市子育て支援センター）,6210806,亀岡市余部町樋又６１番地１,0771-29-2710,
京都府,亀岡市,はだしっこひろば（太田保育園）,6210000,亀岡市稗田野町太田竹ｹ花２０－１番地,0771-23-1139,
京都府,亀岡市,ゆりかごひろば（亀岡子育てネットワーク）,6210002,亀岡市千歳町千歳山ノ口３７番地,080-3836-8990,
京都府,亀岡市,わくわくひろば（はこべ保育園）,6210835,亀岡市篠町浄法寺中村８,0771-22-6090,
京都府,亀岡市,亀岡あゆみ保育園,6210826,亀岡市篠町篠下中筋45-1,,
京都府,亀岡市,亀岡市子育て支援センター,6210806,亀岡市余部町樋又61-1 ふれあいﾌﾟﾗｻﾞ,,
京都府,亀岡市,千代川保育園,6210052,亀岡市千代川町千原片ﾎｺ15,,
京都府,亀岡市,太田保育園,6210031,亀岡市ひえ田野町太田竹ヶ花20-1,,
京都府,井手町,井手町子育て支援センター,6100302,綴喜郡井手町井手玉ﾉ井47-1(井手町立玉川保育所),0774-82-2232,
京都府,京丹後市,かぶと山地域子育て支援センター,6293438,京丹後市久美浜町浦明570番地の1,0772-83-2277,
京都府,京丹後市,こうりゅう地域子育て支援センター,6293551,京丹後市久美浜町永留２４６番地の４,0772-84-0221,
京都府,京丹後市,丹後地域子育て支援センター,6270201,京丹後市丹後町間人300,0772-75-2501,
京都府,京丹後市,久美浜地域子育て支援センター,6293551,京丹後市久美浜町永留246-4(こうりゅう保育所),,
京都府,京丹後市,大宮北地域子育て支援センター,6292502,京丹後市大宮町河辺４７１３番地の８,0772-68-9277,
京都府,京丹後市,大宮南地域子育て支援センター,6292503,京丹後市大宮町周枳１６７番地,0772-68-3088,
京都府,京丹後市,大宮地域子育て支援センター,6292503,京丹後市大宮町周枳167(大宮南保育所),,
京都府,京丹後市,峰山地域子育て支援センター,6270012,京丹後市峰山町杉谷283,0772-69-1166,
京都府,京丹後市,弥栄地域子育て支援センター,6270111,京丹後市弥栄町木觜551番地 弥栄こども園内,0772-65-0122,
京都府,京丹後市,網野地域子育て支援センター,6270000,京丹後市網野町字小浜133(網野みなみ保育所),0772-72-0710,
京都府,京丹波町,京丹波町子育て支援センター,6220200,京丹波町豊田シミ９８番地,090-1892-2774,
京都府,京田辺市,京田辺市地域子育て支援センター三山木保育所,6100313,京田辺市三山木中央五丁目４番地１（他）,0774-68-5570,
京都府,京田辺市,京田辺市地域子育て支援センター松井山手,6100356,京田辺市山手中央３－２（ブランチ松井山手２階）,0774-64-0166,
京都府,京田辺市,京田辺市地域子育て支援センター河原保育所,6100361,京田辺市河原神谷６９,0774-62-3511,
京都府,京田辺市,京田辺市地域子育て支援センター（大住保育園）,6100343,京田辺市大住下西野77,,
京都府,京田辺市,京田辺市地域子育て支援センター（河原保育園）,6100361,京田辺市河原神谷69,,
京都府,京田辺市,京田辺市子育てひろば てふてふ,6100332,京田辺市興戸北鉾立３２－１,0774-62-3731,
京都府,京都市,☆だん王児童館,6060000,京都市左京区三条大橋東入法林寺門前町36,,
京都府,京都市,きっずるーむ おおやけ,6078178,京都市山科区大宅五反畑町69-5,,
京都府,京都市,じゅらく児童館,6048401,京都市中京区聚楽廻松下町9-4,,
京都府,京都市,たかつかさ児童館,6038335,京都市北区大将軍坂田町8-1,,
京都府,京都市,はなぶさつどいの広場スマイル,6011371,京都市伏見区醍醐上ﾉ山町18-9,,
京都府,京都市,ぱれっとひろば,6168025,京都市右京区花園土堂町14-4,,
京都府,京都市,ひだまり・ホット・みやこ,6150005,京都市右京区西院春栄町3-2,,
京都府,京都市,ぴいちゃん,6048273,京都市中京区姉西洞院町542ｻﾝﾌｨｰﾙﾄﾞﾋﾞﾙ3階,,
京都府,京都市,まちの縁側「とねりこの家」,6020000,京都市上京区一条通新町西入元真如堂町370,,
京都府,京都市,みょうしゅう児童館,6038464,京都市北区鷹峯黒門町15-2,,
京都府,京都市,ハートの家族,6128487,京都市伏見区羽束師菱川町555-29,,
京都府,京都市,フレンドリーハウス西八条,6000000,京都市下京区七条御所ﾉ内南町41,,
京都府,京都市,七条第三児童館,6000000,京都市下京区西七条西石ヶ坪町5番地,,
京都府,京都市,上京児童館,6020000,京都市上京区今小路通御前東入西今小路町 797,,
京都府,京都市,上総つどいの広場すずらんど,6038144,京都市北区小山東花池町8-8,,
京都府,京都市,上賀茂児童館,6030000,京都市北区上賀茂烏帽子ヶ垣内町24,,
京都府,京都市,上高野児童館,6060083,京都市左京区上高野松田町5番地,,
京都府,京都市,下京ひかり児童館,6008804,京都市下京区中堂寺前田町7-3,,
京都府,京都市,中唐戸児童館,6018107,京都市南区上鳥羽南唐戸町28,,
