pref,city,name,zip,addr,phone,note
佐賀県,みやき町,とっこい広場,8490100,みやき町蓑原1003-1,0942-94-4458,
佐賀県,みやき町,三根みどり保育園子育て支援センター,8401106,みやき町市武1381-2,,
佐賀県,みやき町,子育て支援センター さくらんぼ（さくらの杜保育園）,8490113,みやき町東尾6437-1,,
佐賀県,みやき町,子育て支援センター ｢さくらんぼ｣（さくらの杜保育園）,8490100,みやき町東尾6437-1,0942-81-6316,
佐賀県,みやき町,子育て支援センター｢すまいる??クラブ｣(筑水こども園）,8490100,みやき町大字坂口272,0942-96-2459,
佐賀県,みやき町,子育て支援センター｢みどりのひ･ろ･ば｣(三根みどり保育園),8490100,みやき町市武1381-2,0942-96-3413,
佐賀県,上峰町,上峰町地域子育て支援拠点るんるんひろば,8490100,上峰町大字前牟田107番地2,0952-37-7619,
佐賀県,伊万里市,伊万里市子育て支援センター,8480045,伊万里市松島町391-1(伊万里市民ｾﾝﾀｰ内),0955-23-5197,
佐賀県,佐賀市,Kosodate Room 「ももたろう」（城西こども園）,8400034,佐賀市西与賀町厘外1421-3（城西こども園内）,0952-24-2881,
佐賀県,佐賀市,Kosodate Room ももたろう（城西保育園）,8400034,佐賀市西与賀町厘外1421-3,,
佐賀県,佐賀市,あおぞら（あおぞら保育園）,8490915,佐賀市兵庫町藤木1465-2,,
佐賀県,佐賀市,えだまめ（開成保育園）,8490932,佐賀市鍋島町八戸溝1578-1,,
佐賀県,佐賀市,こべっこ子育てワーク（小部保育園）,8400053,佐賀市朝日町7-20,0952-29-9595,
佐賀県,佐賀市,たんぽぽ（巨勢保育園）,8400008,佐賀市巨勢町牛島425-12,,
佐賀県,佐賀市,なべしまサロン 「どんぐり」（鍋島保育園）,8490934,佐賀市開成1-3-1,0952-34-5577,
佐賀県,佐賀市,ふたば（春日保育園）,8400201,佐賀市大和町尼寺1301,0952-62-0062,
佐賀県,佐賀市,三光保育園地域子育て支援センター「さんこうぽぽら」（三光保育園）,8490926,佐賀市若宮1-13-17,,
佐賀県,佐賀市,中央児童センター,8490919,佐賀市兵庫北3丁目７－７,0952-33-5453,
佐賀県,佐賀市,佐賀市子育て支援センター「ゆめ・ぽけっと」,8400826,佐賀市白山二丁目7番1号 ｴｽﾌﾟﾗｯﾂ2階,0952-40-7287,
佐賀県,佐賀市,北部児童センター,8490000,佐賀市大和町大字尼寺1488‐2,0952-62-7900,
佐賀県,佐賀市,城東保育所子育て支援センター,8400821,佐賀市東佐賀町4-20,,
佐賀県,佐賀市,大和ふれあい広場,8400202,佐賀市大和町久池井2970（大和老人福祉センター内）,0952-37-3716,
佐賀県,佐賀市,子育てサロン「えだまめ」（開成保育園）,8490932,佐賀市鍋島町八戸溝1578-1,0952-36-6114,
佐賀県,佐賀市,子育てサロンたんぽぽ（巨勢保育園）,8400008,佐賀市巨勢町牛島425-12,0952-26-4247,
佐賀県,佐賀市,子育て支援センターあおぞら（あおぞら保育園）,8490915,佐賀市兵庫町藤木1465-2,0952-30-7372,
佐賀県,佐賀市,川副児童館,8490000,佐賀市川副町大字鹿江442,0952-45-8926,
佐賀県,佐賀市,本庄こども園子育て支援センター「つくしんぼう」,8400027,佐賀市本庄町本庄68-1（本庄こども園内）,0952-29-1025,
佐賀県,佐賀市,東与賀ふれあい広場,8402221,佐賀市東与賀町下古賀1193（東与賀保健福祉センター2階）,0952-45-8022,
佐賀県,佐賀市,永原学園地域子育て支援センター,8490926,佐賀市若宮1-13-17,0952-31-6877,
佐賀県,吉野ヶ里町,地域子育て支援センター くるみっこ,8420103,吉野ヶ里町大曲3463-2(くるみ保育園内),0952-52-4083,
佐賀県,吉野ヶ里町,地域子育て支援センター ころころ広場,8420000,吉野ヶ里町田手505（吉野ヶ里こども園内）,0952-52-2080,
佐賀県,唐津市,Rin rin（りんりん）（モンテッソーリこどもの家）,8470004,唐津市養母田439-3,090-7847-6248,
佐賀県,唐津市,あおばのつどい（青葉保育園）,8470861,唐津市二ﾀ子1-8-46,,
佐賀県,唐津市,ころころらんど（すみれ幼稚園・虹の森保育園）,8470022,唐津市鏡3769-105,,
佐賀県,唐津市,ころころらんど（虹の森こども園）,8470022,唐津市鏡3769-105,0955-74-0660,
佐賀県,唐津市,すき・すき・だいすき（こども塾神田園）,8470824,唐津市神田1208-6,0955-53-8550,
佐賀県,唐津市,すみれひろば（すみれ幼稚園）,8470824,唐津市神田1790-2,0955-73-2631,
佐賀県,唐津市,ちびっこくらぶ（浜崎幼稚園）,8495131,唐津市浜玉町浜崎1666-1,0955-56-6103,
佐賀県,唐津市,てんとうむしのひろば（湊保育園）,8470133,唐津市湊町817,0955-79-0625,
佐賀県,唐津市,なごやか広場（なごや保育園）,8470401,唐津市鎮西町名護屋4218-3,,
佐賀県,唐津市,にこにこ広場（相知エルアンこども園）,8493218,唐津市相知町中山3600-16,0955-51-8020,
佐賀県,唐津市,ぱすてるらんど（かがみこども園）,8470022,唐津市鏡1689-1,0955-77-2115,
佐賀県,唐津市,ひぜんすこやか広場（ひぜんこども園）,8471526,唐津市肥前町入野甲1779-2,0955-51-6662,
佐賀県,唐津市,ひなたぼっこ（山本保育園）,8470002,唐津市山本1702,,
佐賀県,唐津市,ひまわり広場（北波多第二保育園）,8471202,唐津市北波多田中639-1,,
佐賀県,唐津市,めぇめぇ広場（エルアン幼稚園）,8470031,唐津市原933-2,0955-77-3450,
佐賀県,唐津市,ゆっくりん（唐津市子育て支援情報センター）,8470016,唐津市東城内1-3,0955-72-2288,
佐賀県,唐津市,わんぱくサロン（町田保育園）,8470821,唐津市町田3-10-6,0955-72-5365  / 0120-192-168,
佐賀県,唐津市,エンゼルひろば（殿の浦愛児園）,8470304,唐津市呼子町殿ﾉ浦1836-1,0955-82-2932,
佐賀県,唐津市,カトリックひろば（唐津カトリック幼稚園）,8470842,唐津市山下町1201-1,0955-72-2755,
