pref,city,name,zip,addr,phone,note
兵庫県,たつの市,たつの市中央児童館,6794167,たつの市龍野町富永1005番地1（たつの市福祉会館内）,,www.city.tatsuno.lg.jp/kosodate-site/mokuteki/shisetsu/6890.html
兵庫県,たつの市,子育て支援センターつくしんぼの館,6711613,たつの市揖保川町二塚384-1,,https://maaya.or.jp/pages/56/
兵庫県,たつの市,御津子育てつどいの広場,6711342,たつの市御津町朝臣38番地1（御津やすらぎ福祉会館内）,,www.city.tatsuno.lg.jp/kosodate-site/mokuteki/shisetsu/6887.html
兵庫県,たつの市,揖保川子育てつどいの広場,6711631,たつの市揖保川町山津屋19番地1（揖保川公民館内）,,www.city.tatsuno.lg.jp/kosodate-site/mokuteki/shisetsu/6887.html
兵庫県,たつの市,新宮子育てつどいの広場,6794313,たつの市新宮町新宮437番地（新宮こども園内）,,www.city.tatsuno.lg.jp/kosodate-site/mokuteki/shisetsu/6887.html
兵庫県,たつの市,龍野子育てつどいの広場,6794167,たつの市龍野町富永410番地2（はつらつセンター内）,,www.city.tatsuno.lg.jp/kosodate-site/mokuteki/shisetsu/6887.html
兵庫県,三木市,三木市吉川児童館,6731115,三木市吉川町大沢412（吉川健康福祉センター内）,,https://www.city.miki.lg.jp/site/yokawa/
兵庫県,三木市,三木市立児童センター,6730433,三木市福井1933-12（三木市立教育センター内）,,https://www.city.miki.lg.jp/site/jidou/
兵庫県,三田市,ウッディ子育て交流ひろば,6691321,三田市けやき台1-4-1(ウッディタウン市民センター２階プレイルーム）,,https://www.city.sanda.lg.jp/kosodate_kyoiku/kosodate_shisetsu/2/10115.html
兵庫県,三田市,三田市多世代交流館,6691546,三田市弥生が丘1-1-2,,https://www.city.sanda.lg.jp/kosodate_kyoiku/kosodate_shisetsu/koryukan/10862.html
兵庫県,三田市,地域子育て支援センター,6691342,三田市四ツ辻１４３０湊川短期大学内,,https://www.city.sanda.lg.jp/kosodate_kyoiku/kosodate_shisetsu/4/10117.html
兵庫県,三田市,駅前子育て交流ひろば,6691528,三田市駅前町2-1(まちづくり協働センター６階幼児室）,,https://www.city.sanda.lg.jp/kosodate_kyoiku/kosodate_shisetsu/1/10114.html
兵庫県,三田市,駒ケ谷運動公園子育て交流ひろば,6691324,三田市ゆりのき台１－４４,,
兵庫県,上郡町,上郡町子育て学習センター,6781277,赤穂郡上郡町苔縄86番地1,,https://www.town.kamigori.hyogo.jp/soshiki/kenkofukushika/shisetsuosagasu/1592.html
