pref,city,name,zip,addr,phone,note
北海道,えりも町,えりも町子育て支援センター,0580202,幌泉郡えりも町字歌別252えりも町 中央保育所,01466-2-2411,
北海道,せたな町,せたな町立認定こども園子育て支援室,0494501,久遠郡せたな町北檜山区豊岡259番地1認定こども園きたひやま,0137-84-5855,
北海道,せたな町,大成子育て支援センター,0430504,久遠郡せたな町大成区都332番地大成保育園,01398-4-5022,
北海道,せたな町,瀬棚子育て支援センター,0494816,久遠郡せたな町瀬棚区本町680番地1瀬棚保育所,0137-87-3164,
北海道,むかわ町,多機能型子育て支援施設わっくる,054-0004,勇払郡むかわ町田浦249－9,0145-42-2919,
北海道,むかわ町,子育て支援センター,0540021,勇払郡むかわ町大原2丁目14-1むかわひかり認定こども園,0145-42-3711,
北海道,むかわ町,子育て支援センター穂別おひさま広場,054-0211,勇払郡むかわ町穂別81番地2,0145-45-3555,
北海道,ニセコ町,ニセコ町地域子育て支援センター,048-1501,虻田郡ニセコ町字富士見17番地,0136-44-2739,
北海道,七飯町,大中山子育て支援センター,0411121,亀田郡七飯町大中山3丁目289-2大中山保育所,0138-64-5535,
北海道,七飯町,本町子育て支援センター,0411111,亀田郡七飯町本町7丁目657-2,0138-83-6321,
北海道,三笠市,三笠市子育て支援センター,0682157,三笠市若松町14-1,01267-2-2067,
北海道,三笠市,三笠市道営住宅集会所,0682165,三笠市岡山1081番地10,01267-2-2688,
北海道,上士幌町,上士幌町子育て支援センター,0801408,河東郡上士幌町字上士幌東3線238番地,01564-2-4152,
北海道,上富良野町,上富良野町子育て支援拠点「にこにこ」,071-0553,空知郡上富良野町旭町2丁目1番26号,0167-45-9999,
北海道,上川町,上川町子育て支援センター,0781744,上川郡上川町北町163番地上川町立中央保育所,01658-2-1076,
北海道,上川郡鷹栖町,鷹栖町北野地区子育て支援センター,0711222,上川郡鷹栖町北野東2条2丁目5番1号たかす円山幼稚園,,
北海道,上川郡鷹栖町,鷹栖町子育て支援センター,0711201,上川郡鷹栖町南1条3丁目2番27号,,
北海道,下川町,下川町子育て支援センター,0981204,上川郡下川町南町411下川町幼児センター子供の森,01655-4-2413,
北海道,中富良野町,"中富良野町地域子育て支援センター
「そらいろのたね」",0710752,空知郡中富良野町本町10番55号なかふらの保育園,0167-44-2537,
北海道,中川町,"中川町子育て支援センター
「まめちょ」",0982802,中川郡中川町字中川217番地2中川町生涯学習センターちゃいむ,01656-7-2118,
北海道,中川郡中川町,中川町地域子育て支援センター「まめちょ」,0982802,中川郡中川町字中川228番地,,
北海道,中札内村,中札内村子育て支援センター,0891341,河西郡中札内村東4条南7丁目1-2中札内村 村民体育館,0155-67-2397,
北海道,中標津町,中標津町なかよし児童館,0861054,標津郡中標津町東14条北4丁目,0153-73-5569,
北海道,中標津町,中標津町児童センター子育てルーム,0861008,中標津町東8条南3丁目2-3中標津町児童センター「みらいる」,0153-73-2996,
北海道,中標津町,中標津町西児童館,0861125,標津郡中標津町西9条北7丁目,0153-72-3039,
北海道,中標津町,中標津町計根別児童館,0882682,標津郡中標津町計根別南2条東3丁目1番地,0153-78-2539,
北海道,中頓別町,中頓別町子育て支援センター,0985551,枝幸郡中頓別町字中頓別182番地4中頓別町民センター,01634-6-2727,
北海道,乙部町,乙部町子育て支援センター,0430103,爾志郡乙部町字緑町67,0139-62-2952,
北海道,二海郡八雲町,八雲町子育て支援センターひまわり,0493117,二海郡八雲町栄町13番地1,,
北海道,京極町,京極町子育て支援センター,0440121,虻田郡京極町字三崎92番地6,0136-42-3000,
北海道,仁木町,おおきな木,048-2405,余市郡仁木町北町1丁目46番地2,0135-48-6160,
北海道,今金町,今金町子育て支援センター,0494308,瀬棚郡今金町字今金435番地の380認定こども園いまかね,0137-82-3810,
北海道,伊達市,子育て支援センターえがお,0520021,伊達市末永町92番地6伊達市 中央区末永集会所,0142-21-3415,
北海道,伊達市,子育て支援センターおひさま,0520014,伊達市舟岡町200番地142虹の橋保育園,0142-25-7111,
北海道,伊達市,子育て支援センターくろーばー,0520034,伊達市館山下町160番地ふたば保育所,0142-23-2792,
北海道,佐呂間町,佐呂間町子育て支援センター,0930504,常呂郡佐呂間町字西富24-4佐呂間保育所,01587-2-1255,
北海道,余市町,つどいの広場,0460015,余市郡余市町朝日町26番地,0135-21-2122,
北海道,余市町,ともに,0460022,余市郡余市町沢町5丁目80番地ほうりゅうじ保育園,0135-22-2401,
北海道,余市町,"余市町地域子育て支援拠点
キッズルームあっぷる",0460003,余市郡余市町黒川町17丁目13番地8道営住宅集会所,0135-48-8850,
北海道,倶知安町,倶知安町子育て支援センター,044-0013,虻田郡倶知安町南3条東5丁目5番地 くっちゃん保育所ぬくぬく内,0136-55-8355,
北海道,八雲町,八雲町子育て支援センタースマイル,0493113,二海郡八雲町相生町29番地9,0137-62-2573,
北海道,共和町,"共和町子育て支援センター
どろんこ",0482202,岩内郡共和町南幌似57番地12,0135-73-2244,
北海道,函館市,つつじ子育てサロン,0410525,函館市日ﾉ浜町172-8認定こども園つつじ保育園,0138-85-3555,
北海道,函館市,中央認定こども園子育てサロン,0400032,函館市新川町1‐5中央認定こども園,,
北海道,函館市,亀田港子育てサロン,0410822,函館市亀田港町52‐14函館亀田港保育園,,
北海道,函館市,函館短期大学つどいの広場,0420955,函館市高丘町52-1函館短期大学,0138-57-1800,
北海道,函館市,函館花園子育てサロン,0410843,函館市花園町32-1函館花園認定こども園,0138-51-7321,
北海道,函館市,南かやべ認定こども園子育てサロン,0411611,函館市川汲町1601-1南かやべ認定こども園,0138-25-6677,
北海道,函館市,大森浜子育てサロン,0400042,函館市東川町18-1道南住宅「であえ～る大森浜団地」,0138-22-3155,
北海道,函館市,大谷港子育てサロン,0410821,函館市港町1丁目25番1号函館大谷短期大学附属港認定こども園,0138-83-5377,
北海道,函館市,深堀子育てサロン,0420941,函館市深堀町27-2認定こども園函館深堀保育園,0138-51-0077,
北海道,函館市,石川子育てサロン,0410802,函館市石川町39-8認定こども園函館石川保育園,0138-47-6586,
北海道,函館市,美原子育てサロン,0410806,函館市美原1-29-21(認定こども園函館美原保育園,0138-62-2020,
北海道,函館市,花園子育てサロン,0410843,函館市花園町32-1(花園保育園内),,
北海道,函館市,赤川認定こども園子育てサロン,0410804,函館市赤川町161番地2赤川認定こども園,0138-47-6767,
北海道,函館市,鍛治さくら認定こども園子育てサロン,0410852,函館市鍛治1-11-21鍛治さくら認定こども園,0138-55-6647,
北海道,別海町,別海町子育て支援センター,0860211,野付郡別海町別海寿町1番地,0153-75-1828,
北海道,利尻町,利尻町子育て支援センター,0970401,利尻郡利尻町沓形字日出町63沓形保育所,0163-84-2319,
北海道,剣淵町,剣淵町子育て支援センター,0980331,上川郡剣淵町西町4番1号剣淵町保育所,0165-34-2644,
北海道,勇払郡むかわ町,穂別おひさま広場,0540211,勇払郡むかわ町穂別81番地2,,
北海道,勇払郡占冠村,おひさまの会,07９２２０１,勇払郡占冠村字中央,,
北海道,勇払郡安平町,安平町追分地区子育て支援センター,0591931,勇払郡安平町追分中央1番地40,,
北海道,北広島市,北広島団地児童センター,061-1134,北広島市広葉町3丁目1 広葉交流センター内,011-376-6363,
北海道,北広島市,地域子育て支援センター「どんぐり」,0611104,北広島市西の里北2丁目4-5西の里きらきら保育園,011-375-5833,
北海道,北広島市,地域子育て支援センター｢あいあい｣,0611192,北広島市中央4丁目2-1北広島市役所,011-376-6637,
北海道,北広島市,地域子育て支援センター｢ぶらんこ｣,0611270,北広島市大曲370-8大曲いちい保育園,011-377-1515,
北海道,北広島市,大曲児童センター,061-1270,北広島市大曲370-2 夢プラザ内,011-370-7372,
北海道,北広島市,輪厚児童センター,061-1268,北広島市輪厚中央1丁目10-2,011-377-8389,
北海道,北斗市,いちごちゃんひろば,041-1242,北斗市市渡1丁目13,0138-73-5567,
北海道,北斗市,おひさまクラブ,0490121,北斗市久根別1丁目24番21号,0138-73-5567,
北海道,北斗市,ちいぱっぱクラブ,0411214,北斗市東前26番地33,0138-77-7151,
北海道,北斗市,なかよし広場,0490121,北斗市久根別1丁目18番12号第二東光保育園,0138-73-8154,
北海道,北斗市,ゆめのポケット,0411251,北斗市本郷342番地の12大野保育園,0138-77-1904,
北海道,北斗市,ピュアランド,0490111,北斗市七重浜3丁目12番5号七重浜こども園,0138-49-2590,
北海道,北竜町,北竜町地域子育て支援センター,0782512,雨竜郡北竜町字和27番地2,0164-34-8802,
北海道,北見市,中央子育て相談センター,0900029,北見市北9条東2丁目2,0157-33-4026,
北海道,北見市,光西子育て支援センター,0900835,北見市光西町178-5光西認定こども園,0157-26-2321,
北海道,北見市,小泉子育て相談センター,0900801,北見市春光町6丁目7-13,0157-26-7867,
北海道,北見市,常呂子育て相談センター,0930210,北見市常呂町字常呂539番地4,0152-54-1144,
北海道,北見市,常盤子育て相談センター,0900817,北見市常盤町1丁目1-4,0157-33-3836,
北海道,北見市,留辺蘂子育て相談センター,0910025,北見市留辺蘂町旭北41番地13,0157-42-2585,
北海道,北見市,端野子育て相談センター,0992102,北見市端野町二区471-12,0157-56-3553,
北海道,北見市,緑が丘遊子児童館,0900067,北見市緑ヶ丘5丁目9-14緑ヶ丘遊子児童館,,
北海道,北見市,緑ヶ丘遊子児童館,090-0067,北見市緑ヶ丘5丁目9-14,0157-22-3103,
北海道,千歳市,あんじゅ子育て支援センター,0660065,千歳市春日町5丁目1-10あんじゅ認定こども園,,
北海道,千歳市,いずみさわ子育て支援センター,0660054,千歳市柏陽2丁目2-1いずみさわ児童館,,
