pref,city,name,zip,addr,phone,note
千葉県,千葉市,子育て支援館,2600013,千葉県千葉市中央区中央4-5-1 きぼーる6階,043-201-6000,
千葉県,千葉市,にこにこルーム,2600021,千葉県千葉市中央区新宿2-15-2 新宿保育所内,043-241-8599,
千葉県,千葉市,子育てひろば・ちどり,2620023,千葉県千葉市花見川区検見川町3-331-4 ちどり保育園内,043-276-3508,
千葉県,千葉市,子育てひろば・いなげ,2630043,千葉県千葉市稲毛区小仲台2-10-1 稲毛保育園内,043-251-8190,
千葉県,千葉市,子育てひろば・みつわだい,2640032,千葉県千葉市若葉区みつわ台5-8-8 みつわ台保育園内,043-255-7043,
千葉県,千葉市,ふれあいひろば・輝,2660032,千葉県千葉市緑区おゆみ野中央7-30 明和輝保育園内,043-293-3800,
千葉県,千葉市,桜ほっとステーション,2670061,千葉県千葉市緑区土気町1626-5 明徳土気こども園内,043-205-2324,
千葉県,千葉市,子育てひろば・うたせ,2610013,千葉県千葉市美浜区打瀬1-3-5 打瀬保育園内,043-273-6646,
千葉県,千葉市,蘇我・子育てリラックス館,2600834,千葉県千葉市中央区今井1-14-38 蘇我コミュニティセンター隣,043-264-1317,
千葉県,千葉市,千葉寺・子育てリラックス館,2600844,千葉県千葉市中央区千葉寺町887-7 フィールドハウス千葉寺参番館1階,043-209-1003,
千葉県,千葉市,花見川・子育てリラックス館,2620046,千葉県千葉市花見川区花見川3-28-101 花見川団地商店街内,043-215-2346,
千葉県,千葉市,幕張本郷・子育てリラックス館,2620033,千葉県千葉市花見川区幕張本郷2-8-23 アミティ望月101号室,043-276-7481,
千葉県,千葉市,小ばと・子育てリラックス館,2630016,千葉県千葉市稲毛区天台1-7-10 小ばと子育て支援センター2階,043-252-4188,
千葉県,千葉市,そんのう・子育てリラックス館,2630051,千葉県千葉市稲毛区園生町451-15 プラザ園生1階,043-285-2888,
千葉県,千葉市,千城台・子育てリラックス館,2640005,千葉県千葉市若葉区千城台北3-21-1 イコアス千城台2階,043-236-6662,
