pref,city,name,zip,addr,phone,note
和歌山県,かつらぎ町,かつらぎ町地域子育て支援センターはぐくみ,,かつらぎ町丁ノ町2156-1,0736-22-0300,
和歌山県,かつらぎ町,三谷こども園子育て支援センター,,かつらぎ町三谷1650,0736-23-3730,
和歌山県,かつらぎ町,佐野こども園子育て支援センター,,かつらぎ町佐野827-1,0736-22-6260,
和歌山県,みなべ町,みなべ町地域子育て支援センターこひつじランド,,みなべ町谷口301-4（みなべ町生涯学習センター内）,0739-74-2711,
和歌山県,上富田町,くまのの森子育て支援センター,,上富田町朝来2402番地の1（くまのの森こども園内）,0739-47-0013,
和歌山県,上富田町,子育て支援センター とんとんルーム,,上富田町岩田1674番地の1（はるかぜ保育所内）,0739-34-2611,
和歌山県,串本町,子育て支援センターにこにこひろば,,串本町上野山143,0735-72-0299,
和歌山県,串本町,子育て支援センターりぼん,,串本町串本388-1,0735-62-5552,
和歌山県,九度山町,子ども子育て支援センター,,九度山町九度山1074,0736-54-9053,
和歌山県,九度山町,集まれ！！Chicks＆Mommy,,九度山町河根118,0736-54-4783,
和歌山県,印南町,いなみっ子交流センター,,印南町印南1986,0738-42-1170,
和歌山県,古座川町,古座川町地域子育て支援センターのびのびひろば,,古座川町高池777（古座川町中央公民館内）,0735-72-3344,
和歌山県,和歌山市,komodo（コモド）,,和歌山市松江775番地の1（河西ほほえみセンター内）,073-456-6003,
和歌山県,和歌山市,いさおKIDS,,和歌山市園部1-1（有功保育園内）,073-464-4320,
和歌山県,和歌山市,さつきランド,,和歌山市中島74-22（さつきこども園内）,073-473-2444,
和歌山県,和歌山市,ほっとルームぐるんぱ,,和歌山市福島487 ルミノーゾふるい1-C,073-452-2303,
和歌山県,和歌山市,もうひとつのさと「ポピンズ」,,和歌山市西高松1丁目1-26 高松ATビル3階,073-435-4555,
和歌山県,和歌山市,ようすいランド,,和歌山市西浜1218-3（ようすい子ども園内）,073-445-6875,
和歌山県,和歌山市,わかば♪,,和歌山市田中町2丁目18-1 CAPビル2階,073-428-2411,
