pref,city,name,zip,addr,phone,note
埼玉県,さいたま市,ChaCha Children Suzuya 子育て支援センター,3380013,さいたま市中央区鈴谷5-6-11,048-857-7101,
埼玉県,さいたま市,あいう園美園子育て支援ｾﾝﾀｰ,3360963,さいたま市緑区大門3730-2,,
埼玉県,さいたま市,あおぞら保育園子育て支援センター,3380001,さいたま市中央区上落合8-11-20,048-857-8841,
埼玉県,さいたま市,あおぞら保育園子育て支援ｾﾝﾀｰ,3380001,さいたま市中央区上落合8-11-20,,
埼玉県,さいたま市,あおぞら西保育園子育て支援センター,3310046,さいたま市西区宮前町695-2,048-783-3755,
埼玉県,さいたま市,あすなろ保育園子育て支援センター,3370042,さいたま市見沼区南中野582,048-684-6361,
埼玉県,さいたま市,いちごの森保育園子育て支援センター,3360021,さいたま市南区別所6-15-16,048-837-5935,
埼玉県,さいたま市,いちご保育園子育て支援センター,3360026,さいたま市南区辻4-11-12,048-789-7351,
埼玉県,さいたま市,いちご保育園子育て支援ｾﾝﾀｰ,3360026,さいたま市南区辻4-11-12,,
埼玉県,さいたま市,いちご南保育園子育て支援センター,3360042,さいたま市南区大谷口717,048-882-1400,
埼玉県,さいたま市,えがお保育園子育て支援センター,3310812,さいたま市北区宮原町4-83-5,048-782-5656,
埼玉県,さいたま市,おうぎの森保育園子育て支援センター,3310071,さいたま市西区高木598,048-625-7272,
埼玉県,さいたま市,おうぎの森保育園子育て支援ｾﾝﾀｰ,3310071,さいたま市西区高木598,,
埼玉県,さいたま市,かわいデイナースリー保育園子育て支援センター,3390076,さいたま市岩槻区平林寺487,048-757-2777,
埼玉県,さいたま市,かわいデイナースリー保育園子育て支援ｾﾝﾀｰ,3390076,さいたま市岩槻区平林寺487,,
埼玉県,さいたま市,きらめき保育園,3370042,さいたま市見沼区南中野689-1,,
埼玉県,さいたま市,きらめき保育園子育て支援センター,3370042,さいたま市見沼区南中野689-1,048-682-5507,
埼玉県,さいたま市,けやきの森保育園子育て支援センター,3310823,さいたま市北区日進町2-1519-1,048-661-6527,
埼玉県,さいたま市,けやきの森保育園子育て支援ｾﾝﾀｰ,3310823,さいたま市北区日進町2-1519-1,,
埼玉県,さいたま市,こぐま保育園子育て支援センター,3360916,さいたま市緑区宮本2-7-18,048-767-7807,
埼玉県,さいたま市,こぐま保育園子育て支援ｾﾝﾀｰ,3360916,さいたま市緑区宮本2-7-18,,
埼玉県,さいたま市,こびとの森保育園子育て支援センター,3360022,さいたま市南区白幡3-4-17,048-861-8328,
埼玉県,さいたま市,こびとの森保育園子育て支援ｾﾝﾀｰ,3360022,さいたま市南区白幡3-4-17,,
埼玉県,さいたま市,にじいろ保育園子育て支援センター,3310812,さいたま市北区宮原町1-475-7,048-652-5411,
埼玉県,さいたま市,にじいろ保育園子育て支援ｾﾝﾀｰ,3310812,さいたま市北区宮原町1-475-7,,
埼玉県,さいたま市,ひまわりDoDo保育園子育て支援センター,3380812,さいたま市桜区神田596-1,048-853-5770,
埼玉県,さいたま市,ひまわりDoDo第2保育園子育て支援センター,3380812,さいたま市桜区神田595-1,048-853-3232,
埼玉県,さいたま市,ひまわりドードー保育園,3380812,さいたま市桜区神田596-1,,
埼玉県,さいたま市,ひまわりドードー第二保育園,3380012,さいたま市桜区神田595-1,,
埼玉県,さいたま市,ひまわり乳児保育園子育て支援ｾﾝﾀｰ,3300075,さいたま市浦和区針ヶ谷2-16-16,,
埼玉県,さいたま市,ふたば保育園子育て支援センター,3370051,さいたま市見沼区東大宮5-26-11,048-685-7455,
埼玉県,さいたま市,ふたば保育園子育て支援ｾﾝﾀｰ,3370051,さいたま市見沼区東大宮5-26-11,,
埼玉県,さいたま市,まきば保育園子育て支援センター,3370053,さいたま市見沼区大和田町1-1343-1,048-682-0003,
埼玉県,さいたま市,まどか保育園子育て支援センター,3380007,さいたま市中央区円阿弥7-10-9,048-851-6123,
埼玉県,さいたま市,みう保育園子育て支援ｾﾝﾀｰ,3360962,さいたま市緑区下野田940,,
埼玉県,さいたま市,めだか保育園子育て支援センター,3360923,さいたま市緑区大間木3-10-10,048-795-8011,
埼玉県,さいたま市,めだか保育園子育て支援ｾﾝﾀｰ,3360923,さいたま市緑区大間木144,,
埼玉県,さいたま市,もとの木保育園子育支援センター,3300804,さいたま市大宮区堀の内町3-236-2,048-650-0204,
埼玉県,さいたま市,もとの木保育園子育支援ｾﾝﾀｰ,3300804,さいたま市大宮区堀の内町3-236-2,,
埼玉県,さいたま市,やまばと保育園子育て支援センター,3370026,さいたま市見沼区染谷2-203-1,048-795-9271,
埼玉県,さいたま市,やまばと保育園子育て支援ｾﾝﾀｰ,3370026,さいたま市見沼区染谷2-203-1,,
埼玉県,さいたま市,ゆめいろ保育園子育て支援センター,3380003,さいたま市中央区本町東4-1-5,048-840-5851,
埼玉県,さいたま市,ゆめいろ保育園子育て支援ｾﾝﾀｰ,3380003,さいたま市中央区本町東4-1-5,,
埼玉県,さいたま市,らそ保育園,3300851,さいたま市大宮区櫛引町1-574,,
埼玉県,さいたま市,らそ保育園子育て支援センター,3300851,さいたま市大宮区櫛引町1-574,048-666-4149,
埼玉県,さいたま市,るい保育園子育て支援ｾﾝﾀｰ,336‐090,さいたま市緑区道祖土3-13-3,,
埼玉県,さいたま市,わらしべ保育園子育て支援ｾﾝﾀｰ,3380832,さいたま市桜区西堀5-5-3,,
埼玉県,さいたま市,スターチャイルド<みなみ保育園>子育て支援センター,3360021,さいたま市南区別所6-15-22,,
埼玉県,さいたま市,スターチャイルド《みなみ保育園》子育て支援センター,3360021,さいたま市南区別所6-15-22,048-872-1000,
埼玉県,さいたま市,ハーモニーえがお保育園子育て支援ｾﾝﾀｰ,3310812,さいたま市北区宮原町40-83-5,,
埼玉県,さいたま市,プライムキッズガーデン保育所子育て支援ｾﾝﾀｰ,3370002,さいたま市見沼区春野2-5-1,,
埼玉県,さいたま市,リズム保育園子育て支援センター,3390025,さいたま市岩槻区大字釣上新田1425-3,048-798-3535,
埼玉県,さいたま市,リップル保育園鈴谷子育て支援センター,3380013,さいたま市中央区鈴谷9-10-6,048-767-4567,
埼玉県,さいたま市,ルミエール保育園子育て支援センター,3370041,さいたま市見沼区南中丸939-5,048-683-1216,
埼玉県,さいたま市,ルミエール保育園子育て支援ｾﾝﾀｰ,3370041,さいたま市見沼区南中丸939-5,,
埼玉県,さいたま市,七里のびのびルーム,3370012,さいたま市見沼区大字東宮下392,080-1600-8959,
埼玉県,さいたま市,七里ふたばこども園,3370012,さいたま市見沼区東宮下480,,
埼玉県,さいたま市,七里ふたばこども園子育て支援センター,3370012,さいたま市見沼区東宮下480,048-689-3852,
埼玉県,さいたま市,三室のびのびルーム,3360918,さいたま市緑区松木1-4-11,048-873-7838,
