pref,city,name,zip,addr,phone,note
大分県,中津市,なかつ・こどもいきいきプレイルーム,8710058,豊田町9番地10,0979-24-5333,
大分県,中津市,三光児童館,8710000,三光成垣421番地1,0979-43-5194,
大分県,中津市,中津市地域子育て支援センター木もれび,8710027,中津市上宮永字友ﾉ町13番地の4,,
大分県,中津市,中津市大幡子育て支援センター「こもん」,8710153,大字大貞371番地110,0979-64-9780,
大分県,中津市,中津市子育て支援センターポール,8710007,中津市蛎瀬643,0979-64-9062,
大分県,中津市,地域子育て支援センター如水保育園なずな,8710003,中津市大字是則1246-2,0979-32-5620,
大分県,中津市,子育て支援センター どうしん,8710055,殿町1380番地１（中津市村上記念児童館内）,0979-64-9005,
大分県,中津市,桜っ子広場,8710021,沖代町1丁目1-11（中津市教育福祉センター内）,0979-23-1225,
大分県,九重町,ここのえ子育て交流センター,,,0973-73-2666,
大分県,九重町,ここのえ子育て交流センター（H28.4.1～開設）,8794722,九重町引治508番地の1,,
大分県,佐伯市,かるがも仲間館「かるがも親子ひろば」,8760845,佐伯市内町1番6号,,
大分県,佐伯市,佐伯市弥生地域子育て支援センター,8760112,佐伯市弥生大字上小倉1210番地,0972-46-2677,
大分県,佐伯市,地域子育てひろば「おひさま」,8760013,佐伯市若宮町1-32,,
大分県,佐伯市,子育てひろば「あおぞら」,8761203,佐伯市鶴見大字沖松浦745-1,0972-33-0096,
大分県,佐伯市,子育てひろば「いるか」,8760804,蟹田6番7号サンロード2 101号,090-4341-3270,
大分県,佐伯市,子育てひろばいるか,8760804,佐伯市蟹田7番12号,,
大分県,佐伯市,子育て・子育ち支援室「さくらっ子広場」,8760831,大手町２丁目２番２８号（さいき城山桜ホール内）,,
大分県,佐伯市,子育て支援センター「ほほえみひろば」,8760823,字女島6930番地,0972-22-9933,
大分県,佐伯市,蒲江ふれあい広場,8762401,佐伯市蒲江大字蒲江浦5101番地25,0972-42-1620,
大分県,別府市,にじのひろば,8740930,別府市光町15番15号,,
大分県,別府市,光町15番15号,8740000,地域子育て支援センター にじのひろば,0977-23-3801,
大分県,別府市,北部子育て支援センターどれみ,8740015,別府市国立第二,0977-66-8181,
大分県,別府市,南部子育て支援センター わらべ,,,0977-25-0120,
大分県,別府市,子育て支援センター風のまち,8740931,別府市西野口町8-30,,
大分県,別府市,石垣東4丁目5番4号（矢田こどもクリニック）,8740000,地域子育て支援センター すくすくルーム ふたば,0977-22-9770,
大分県,別府市,西部子育て支援センターべるね,8740838,別府市荘園6-5,0977-27-1128,
大分県,別府市,西野口8-30（ナーサリーみにふう2階）,8740000,地域子育て支援センター 風のまち,0977-27-5466,
大分県,国東市,国東市地域子育て支援センター“さくらんぼ”,8730511,国東市国東町小原119-1,,
大分県,国東市,国東市地域子育て支援センター“ひまわり”,8730231,国東市安岐町下原1273-1,0978-67-0362,
大分県,国東市,国東市地域子育て支援センターむ・さ・し,8730405,国東市武蔵町麻田57-1,,
大分県,国東市,国東町小原119番地1（南部こども園）,8730500,国東市地域子育て支援センター“さくらんぼ”,0978-72-0413,
大分県,国東市,国見子育て支援センター（ピノキオルーム）,8721401,国東市国見町伊美2225番地の1,0978-82-1107,
大分県,国東市,武蔵町麻田57番地1（すこやか館）,8730500,国東市地域子育て支援センター む・さ・し,0978-69-0432,
大分県,大分市,佐賀関こどもルーム,8792201,大分市佐賀関1407番地の27,097-575-1140,
大分県,大分市,原新町こどもルーム,8700912,大分市原新町1番31号,097-551-2611,
大分県,大分市,坂ノ市こどもルーム,8700308,大分市坂ﾉ市南3丁目5番33号,097-593-1751,
大分県,大分市,大分南部こどもルーム,8701146,大分市曲1113番地,097-567-4145,
大分県,大分市,大南こどもルーム,8797761,大分市大字中戸次5115番地の1,097-574-7792,
大分県,大分市,大在こどもルーム,8700268,大分市政所1丁目4番3号,097-574-7682,
大分県,大分市,子育て交流センター,8700839,大分市金池南1丁目5番1号,097-576-8243,
