pref,city,name,zip,addr,phone,note
大阪府,大阪市,U-me-cafe(ウーミーカフェ),5400032,大阪市中央区天満橋京町1-1 （京阪シティモール2階）,06-6360-4616,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,YMCAとさぼり保育園 ぶどうの木,5500001,大阪市西区土佐堀1-5-6（3階301）,06-6449-4471,センター型; 開設時間:12：00～17：00
大阪府,大阪市,あさひ子育て広場 おさんぽ,5350003,大阪市旭区中宮1-11-14 （旭区民センター1階）,080-8316-0635,ひろば型; 開設時間:9：45～12：15 12：45～15：15
大阪府,大阪市,あさひ子育て広場 ｈｏｌｏｈｏｌｏ（ホロホロ）,5350022,大阪市旭区新森4-13-17大阪旭 こども病院 新館１階,080-7854-1460,ひろば型; 開設時間:9：45～16：30
大阪府,大阪市,おひさまサンサン広場,5430032,大阪市天王寺区細工谷1-1-5 （大阪府助産師会館2階）,070-5147-2200,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,おやこひろばnico,5430044,大阪市天王寺区国分町18-21 大室ハイツ102,090-1077-6810,ひろば型; 開設時間:9：30～12：00 13：00～15：30
大阪府,大阪市,おやこひろば・瑞光,5330005,大阪市東淀川区瑞光4-2-21,070-5432-1563,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,おやこひろば・相川,5330007,大阪市東淀川区相川2-13-6 アクティブ・テン1階,070-6501-3462,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,おやこひろば・菅原,5330022,大阪市東淀川区菅原7-10-3,070-5345-7395,ひろば型; 開設時間:10：00～15：00
大阪府,大阪市,きのみむすび保育園,5590016,大阪市住之江区西加賀屋4-4-10,06-6682-3001,センター型; 開設時間:9：30～15：00
大阪府,大阪市,こそだてひろば Blooming,5430043,大阪市天王寺区勝山2-19-1,070-9002-4565,ひろば型; 開設時間:9：30～14：30
大阪府,大阪市,こそだてひろば Blooming玉造,5400004,大阪市中央区玉造1-18-3,070-8564-5816,ひろば型; 開設時間:9：00～12：00 12：30～15：30
