pref,city,name,zip,addr,phone,note
奈良県,三宅町,子育て世代包括支援センター スマイル,,磯城郡三宅町伴堂689,0745-43-0667,
奈良県,三郷町,三郷町子育て支援センター ちいすてっぷ,,生駒郡三郷町勢野西1-4-4,0745-31-6639,
奈良県,三郷町,三郷町子育て支援センター ぴよぴよ,,生駒郡三郷町立野北1-45-5 西部保育園内,0745-73-7634,
奈良県,上牧町,子育てサロンぽけっと,,上牧町上牧3245-1 上牧町保健福祉センター内,0745-76-6098,
奈良県,上牧町,子育てサロン出張ぽけっと,,上牧町ささゆり台1丁目1番1号 ラスパ西大和店「上牧町ささゆりﾙｰﾑ」,0745-76-6098,
奈良県,下北山村,育児サークル,,吉野郡下北山村浦向375,07468-6-0015,
奈良県,下市町,下市町地域子育て支援センター,,吉野郡下市町善城140番地1,0747-52-6125,
奈良県,五條市,五條市子育て支援センター,,五條市今井2丁目150 イオン五條店2F,0747-25-2555,
奈良県,十津川村,村っこ広場（十津川村北部保健センター）,,吉野郡十津川村大字上野地252番地,0746-62-0911（住民課）,交付金対象外
奈良県,十津川村,村っこ広場（十津川村民ひろばﾐｰﾃｨﾝｸﾞﾙｰﾑ）,,吉野郡十津川村大字折立285番地,0746-62-0911（住民課）,交付金対象外
奈良県,大和郡山市,ととランド,,大和郡山市若槻町4-4,0743-52-2346,交付金対象外
奈良県,大和郡山市,大和郡山市子育て支援センター（やまとこども園chouchou）,,大和郡山市今国府町60-9,0743-59-4141,
奈良県,大和郡山市,大和郡山市子育て支援センター（大和郡山カトリック幼稚園）,,大和郡山市永慶寺町2-12,0743-52-4141,
奈良県,大和郡山市,大和郡山市子育て支援センター（郡山東こども園）,,大和郡山市野垣内町2-15,0743-53-3344,
奈良県,大和郡山市,大和郡山市子育て支援センター（郡山西こども園）,,大和郡山市植槻町3ｰ11,0743-52-5425,
奈良県,大和郡山市,親子たんとん みりお～の広場,,大和郡山市北郡山町248-4（交流棟）,090-1057-7548,
奈良県,大和郡山市,親子たんとん 三の丸広場,,大和郡山市南郡山町５２９－１,0743-53-3020,
奈良県,大和郡山市,親子たんとんつつい広場,,大和郡山市小泉町１０６,090-5672-6375,交付金対象外
奈良県,大和郡山市,親子たんとん広場かたぎり,,大和郡山市小泉町１０５－１,080-1507-5563,交付金対象外
奈良県,大和高田市,NPO法人マーマの里 子育てステーション,,大和高田市大谷758番地80,0745-22-1438,
奈良県,大和高田市,大和高田市子育て支援センター,,大和高田市池田418-1 総合福祉会館内,0745-23-1501,
奈良県,大和高田市,市民交流センター コスモスプラザ 親と子のすこやか広場,,大和高田市片塩町12番５号,0745-44-3213,
奈良県,大淀町,大淀町地域子育て支援センター めばえ,,吉野郡大淀町下渕３５３－１,0747-58-8222,
奈良県,天理市,Salon de kid's ネット 親子リズムひろば,,天理市嘉幡町539番地6 嘉幡コミュニティセンター,0743-25-4180,
奈良県,天理市,すこやかホール,,天理市川原城町605 (天理市こども家庭センター はぐ～る内),0743-63-1001,
奈良県,天理市,にぎわいプラザ,,天理市富堂町212番地1 シャーメゾン天理1階,0743-20-1299,
奈良県,天理市,ジブリ広場,,天理市楢町544番地 天理認定こども園カレス学園内,0743-65-0056,
奈良県,天理市,地域子育て支援センター Salon de kid's,,天理市西長柄町522-2,0743-25-4180,
奈良県,天理市,子育てゆとり創造センター・天理,,天理市遠田町511-1 柳本保育園内,0743-67-1612,
奈良県,奈良市,古市児童館「いこいのひろば」,,奈良市古市町1263,0742-62-7300,
奈良県,奈良市,子育て広場 Peace,,奈良市秋篠新町270 あかね保育園内,0742-81-3262,
奈良県,奈良市,子育て広場 Saya,,奈良市学園北1-9-1 パラディ学園Ⅱ6階,0742-47-7837,
奈良県,奈良市,子育て広場 cocot,,奈良市宝来3丁目16-3,0742-81-3898,
奈良県,奈良市,子育て広場 お陽さま,,奈良市富雄元町1-22-12 タワーア・ラ・モードＢ階5号室,0742-41-5888,
奈良県,奈良市,子育て広場 そらいろ,,奈良市三条本町13-1 奈良市保健所・教育総合センター2階,0742-33-5560,
奈良県,奈良市,子育て広場 とみお,,奈良市三松3-659-4,0742-40-2255,
奈良県,奈良市,子育て広場 にじいろ,,奈良市柏木町263番地の２ 奈良市子どもセンター ２号館１階,0742-33-1021,
奈良県,奈良市,子育て広場 ぷらんぷらん,,奈良市右京1-3-4 サンタウンプラザすずらん館2階,0742-72-1941,
奈良県,奈良市,子育て広場 ゆめの丘SAHO,,奈良市鹿野園町806 奈良佐保短期大学3号館,0742-61-5130,
奈良県,奈良市,子育て広場 りりーべるず,,奈良市藺生町1922-8 都祁福祉センター,0743-82-2624,
奈良県,奈良市,子育て広場 エンジェル,,奈良市西大寺国見町1丁目7番31号,0742-44-2291,
奈良県,奈良市,子育て広場 ノル,,奈良市南京終町212-3 岡田マンション1階,0742-24-3305,
奈良県,奈良市,子育て広場 マザーリーフ,,奈良市西大寺東町二丁目4－1 近鉄百貨店6階,0742-33-3030,
奈良県,奈良市,子育て広場 中登美,,奈良市中登美ヶ丘1丁目1994-3 D21 中登美キッズプラザみどり,0742-44-2250,
奈良県,奈良市,子育て広場 鶴舞やまとこども園,,奈良市鶴舞東町2-1,0742-45-4753,
奈良県,奈良市,東之阪児童館「親子ひろば」,,奈良市川上町461-1,0742-27-8263,
奈良県,奈良市,横井児童館「子育てひろば」,,奈良市横井5-337-2,0742-62-0307,
奈良県,宇陀市,宇陀市子育て支援センター すくすく,,宇陀市菟田野松井473-1,0745-84-9925,
奈良県,安堵町,Living Park キラリエ,,生駒郡安堵町大字東安堵８５３番地 安堵町福祉保健センター１階,0743-84-5280,
奈良県,安堵町,子育て広場 あかり,,生駒郡安堵町大字東安堵785番地 安堵町立安堵こども園内,0743-57-2823,
奈良県,山添村,山添村立山添こども園 きらり,,山辺郡山添村大字大西１３８５－１,0743-85-1001,
奈良県,川上村,やまぶき保育園,,吉野郡川上村迫1378番地の3,0746-52-0019,
奈良県,川西町,川西町こども・子育て広場,,磯城郡川西町結崎32番地の1 川西文化会館内,0745-43-2575,
奈良県,平群町,ゆめさとこども園 子育て支援室,,生駒郡平群町椿井242-1 ゆめさとこども園内,0745-45-1104,
奈良県,平群町,平群町子育て支援センター,,生駒郡平群町大字福貴1113 はなさとこども園内,0745-46-1211,
奈良県,広陵町,さわやかホール なかよし広場,,北葛城郡広陵町笠161番地2 広陵町総合保健福祉会館内,0745-55-6119,交付金対象外
奈良県,広陵町,つどいのひろば,,北葛城郡広陵町大字平尾512番地3 畿央大学付属広陵こども園 内,0745-54-5233,
奈良県,広陵町,つどいのひろば,,北葛城郡広陵町馬見中4丁目2-2 畿央大学 内,0745-54-5233,
奈良県,広陵町,広陵北かぐやこども園なかよし広場,,北葛城郡広陵町大字弁財天297番地2,0745-58-2030,
奈良県,御所市,地域子育て支援センター こひつじ,,御所市増355 恵愛保育所内,0745-66-0022,
奈良県,御杖村,みつえっ子広場,,宇陀郡御杖村大字土屋原1479-1 御杖保育所内,0745-95-3138,交付金対象外
奈良県,斑鳩町,斑鳩町つどいの広場,,生駒郡斑鳩町小吉田1-12-35 生き生きプラザ斑鳩内,0745-75-1152,
奈良県,明日香村,みらいっ子ルーム,,高市郡明日香村橘900,0744-54-5550（健康づくり課）,
奈良県,明日香村,アミィクラブ明日香,,高市郡明日香村飛鳥469 明日香保育園内,0744-54-5138,
奈良県,曽爾村,のびのび広場,,宇陀郡曽爾村大字長野140-1 曽爾保育園内,0745-94-2301,交付金対象外
奈良県,桜井市,つどいの広場,,桜井市粟殿１０００番地の１（桜井市保健福祉センター陽だまり内）,0744-43-9112,
奈良県,桜井市,ドレミの広場,,桜井市桜井１２５９ エルト桜井２階,0744-48-0242,
奈良県,桜井市,地域子育て支援センター やまぼうし,,桜井市谷280番地,0744-45-4356,
奈良県,橿原市,こども広場,,橿原市内膳町1-6-8 橿原市観光交流センター3階,0744-47-2330,
奈良県,橿原市,橿原市子育て支援センター,,橿原市白橿町8-19-2,0744-28-7200,
奈良県,河合町,つどいの広場,,北葛城郡河合町大字山坊24番地3,0745-57-0200,
奈良県,王寺町,すくすく広場,,北葛城郡王寺町久度2-2-1-501 リーベル王寺東館5階,0745-33-5000,
奈良県,王寺町,わくわく広場,,北葛城郡王寺町本町4丁目645番地の1 王寺町防災ｺﾐｭﾆﾃｨｾﾝﾀｰ内,0745-33-5000,
奈良県,生駒市,いちぶちどり保育園「ちどりであそぼ」,,生駒市壱分町83-87,0743-76-2400,
奈良県,生駒市,うみ保育園「うみのいえ」,,生駒市白庭台4丁目10番5号,0743-70-0419,
奈良県,生駒市,たかやまこども園「ＣＯＣＯテラス」,,生駒市高山町１２５９５－２,0743-78-0161,
奈良県,生駒市,つどいの広場 ほっとスマイル,,生駒市鹿畑町3013番地,0743-70-0885,
奈良県,生駒市,はばたきみっき,,生駒市上町1543番地 北コミュニティセンターISTAはばたき,0743-71-3301,
奈良県,生駒市,もり保育園「集いの森」,,生駒市上町3305-1,0743-78-0419,
奈良県,生駒市,地域子育て支援センター てくてく,,生駒市元町2-14-8 いこま乳児保育園横,0743-74-3999,
奈良県,生駒市,子育てサロン みっきランド,,生駒市元町1-6-12 生駒セイセイビル3階,0743-75-2111,
奈良県,生駒市,會津壱分保育園「こもれびひろば」,,生駒市壱分町1190－1,0743-77-0071,
奈良県,生駒市,會津生駒保育園「すくすく」,,生駒市山崎町５－６,0743-77-0071,
奈良県,田原本町,こどもはぐくみ・交流センター子育てひろばてとて,,磯城郡田原本町939トモルテたわらもと２階,080-7006-4431,
奈良県,田原本町,はぴすまひろば,,磯城郡田原本町阪手３３６－１,080-2511-7251,
奈良県,田原本町,出張ひろば,,磯城郡田原本町秦庄５１３−６ 九品寺自治会館,0744-35-3835,
奈良県,葛城市,葛城市子育て支援センター,,葛城市北花内341 新庄健康福祉センター内,0745-69-5241,
奈良県,葛城市,葛城市當麻校区児童館,,葛城市當麻604,0745-48-3600,交付金対象外
奈良県,葛城市,葛城市磐城校区児童館,,葛城市南今市53-3,0745-48-3670,
奈良県,香芝市,あけぼの・幼保学院「ゆめふうせん」,,香芝市関屋北5-8-3 あけぼの・幼保学院内,0745-71-8008,
奈良県,香芝市,きっきひろば,,香芝市旭ヶ丘２丁目３０－１１,0745-51-1217,
奈良県,香芝市,子育て交流センター「おうちのこうえん」,,香芝市逢坂一丁目374番地１ 総合福祉センター ３階,0745-79-7522(児童福祉課),
奈良県,香芝市,香芝市マミつどいの広場,,香芝市真美ヶ丘6-10 エコール・マミ南館２Fマミホール内,0745-79-7522(児童福祉課),
奈良県,香芝市,香芝市子育て支援センター,,香芝市旭ヶ丘4-12-20,0745-78-5340,
