pref,city,name,zip,addr,phone,note
宮城県,七ヶ宿町,みんなの居場所「七ヶ宿クラブ」,9890512,宮城県刈田郡七ヶ宿町字関126（七ヶ宿町役場）,0224-37-2331,town.shichikashuku.miyagi.jp/kos/
宮城県,七ヶ浜町,七ヶ浜町子育て支援センター,9850804,宮城県宮城郡七ヶ浜町東宮浜字東兼田35-10,022-362-7731,
宮城県,丸森町,丸森たんぽぽこども支援センター,9812152,宮城県伊具郡丸森町字鳥屋120,0224-86-4423,
宮城県,丸森町,丸森ひまわりこども支援センター,9812102,宮城県伊具郡丸森町舘矢間舘山字玉川136番地1,0224-87-8985,
宮城県,亘理町,子育て支援センターわたり,9892351,宮城県亘理郡亘理町字祝田1-4,0223-32-0720,
宮城県,亘理郡亘理町,地域子育て支援センターわたり,9892300,亘理郡亘理町字祝田1-4 亘理町中央児童ｾﾝﾀｰ,,
宮城県,仙台市,のびすく仙台,980-0021,仙台市青葉区中央2丁目10番24号 仙台市ガス局ショールーム3階,022-726-6181,
宮城県,仙台市,のびすく宮城野,983-0842,仙台市宮城野区五輪2丁目12-70 仙台市原町児童館内,022-352-9813,
宮城県,仙台市,のびすく泉中央,981-3133,仙台市泉区泉中央1丁目8-6 仙台市泉図書館3階・4階,022-772-7341,
宮城県,仙台市,のびすく若林,984-0811,仙台市若林区保春院前丁3-1 若林区中央市民センター別棟等複合施設2階,022-282-1516,
宮城県,仙台市,のびすく長町南,982-0011,仙台市太白区長町7丁目20-5 ララガーデン長町5階,022-399-7705,
宮城県,仙台市,はぐくみ保育園,9893126,仙台市青葉区落合4-1-10,,
宮城県,仙台市,ろりぽっぷ泉中央南園,9813126,仙台市泉区泉中央南9,,
宮城県,仙台市,コスモス将監保育所,9813132,仙台市泉区将監8-9-23,,
宮城県,仙台市,ダーナ保育園,9840826,仙台市若林区若林2-3-7,,
宮城県,仙台市,バンビの森保育園,9811104,仙台市太白区中田4-1-3-1,,
宮城県,仙台市,ワッセ森のひろば保育園,9810901,仙台市青葉区北根黒松2-8,,
宮城県,仙台市,中田児童館,9811104,仙台市太白区中田四丁目1-2,,
宮城県,仙台市,仙台岩切あおぞら保育園,9830821,仙台市宮城野区岩切字三所南1-2,,
宮城県,仙台市,仙台市上野山保育所,9820812,仙台市太白区上野山1-21-8,,
宮城県,仙台市,仙台市南小泉保育所,9840823,仙台市若林区遠見塚1-14-1,,
宮城県,仙台市,仙台市原町児童館,9830842,仙台市宮城野区五輪二丁目12-70,,
宮城県,仙台市,仙台市向山保育所,9820841,仙台市太白区向山4-27-11,,
宮城県,仙台市,仙台市子育てふれあいプラザ,9800021,仙台市青葉区中央二丁目10-24,,
宮城県,仙台市,仙台市子育てふれあいプラザ長町南,9820011,仙台市太白区長町七丁目20-5,,
宮城県,仙台市,仙台市支倉保育所,9800824,仙台市青葉区支倉町2-35,,
宮城県,仙台市,仙台市桜ヶ丘保育所,9800000,仙台市青葉区桜ヶ丘8-1-2,,
宮城県,仙台市,仙台市落合保育所,9893126,仙台市青葉区落合2-12-7,,
宮城県,仙台市,仙台市蒲町保育所,9840037,仙台市若林区蒲町24-1,,
宮城県,仙台市,仙台市長命ヶ丘保育所,9813100,仙台市泉区長命ヶ丘5-2-1,,
宮城県,仙台市,仙台市高砂保育所,9830014,仙台市宮城野区高砂1-24-13,,
宮城県,仙台市,仙台市鶴が丘保育所,9813109,仙台市泉区鶴が丘3-33-1,,
宮城県,仙台市,仙台袋原あおぞら保育園,9811102,仙台市太白区袋原4-32-1,,
宮城県,仙台市,保育所新田こばと園,9830039,仙台市宮城野区新田東2-5-5,,
宮城県,仙台市,台原児童館,9810911,仙台市青葉区台原五丁目2-5,,
宮城県,仙台市,吉成児童館,9810943,仙台市青葉区国見ヶ丘二丁目2-1,,
宮城県,仙台市,国見ヶ丘せんだんの杜保育園,9810943,仙台市青葉区国見ヶ丘7-141-9,,
宮城県,仙台市,国見児童館,9810943,仙台市青葉区国見二丁目16-48,,
宮城県,仙台市,富沢児童館,9820032,仙台市太白区富沢字中河原17-1,,
宮城県,仙台市,岩切児童館,9830821,仙台市宮城野区岩切字今市東91-1,,
宮城県,仙台市,市名坂児童館,9813117,仙台市泉区市名坂字明神31-2,,
宮城県,仙台市,幸町南児童館,9830835,仙台市宮城野区大梶10-27,,
宮城県,仙台市,折立児童館,9820261,仙台市青葉区折立三丁目20-1,,
宮城県,仙台市,新田児童館,9830038,仙台市宮城野区新田二丁目22-38,,
宮城県,仙台市,旭ケ丘児童館,9800000,仙台市青葉区旭ヶ丘三町目27-1,,
宮城県,仙台市,東四郎丸児童館,9811101,仙台市太白区四郎丸字大宮26-10,,
宮城県,仙台市,東長町児童館,9820003,仙台市太白区郡山六丁目5-2,,
宮城県,仙台市,沖野児童館,9840831,仙台市若林区沖野七丁目34-43,,
宮城県,仙台市,泉チェリー保育園,9813133,仙台市泉区泉中央2-1-56,,
宮城県,仙台市,泉中央保育園,9813131,仙台市泉区七北田字日野3-3,,
宮城県,仙台市,田子児童館,9830021,仙台市宮城野区田子二丁目4-25,,
宮城県,仙台市,福室希望園,9830005,仙台市宮城野区福室6-19-14,,
宮城県,仙台市,立華認定こども園,9830013,仙台市宮城野区中野字大貝沼20-17,,
宮城県,仙台市,若林区中央児童館,9840811,仙台市若林区保春院前丁3-4,,
宮城県,仙台市,荒井マーヤ保育園,9840032,仙台市若林区荒井字沓形85-1,,
宮城県,仙台市,西多賀チェリー保育園,9820034,仙台市太白区西多賀3-1-20,,
宮城県,仙台市,西山児童館,9830832,仙台市宮城野区安養寺三丁目15-10,,
宮城県,仙台市,通町児童館,9810915,仙台市青葉区通町一丁目1-1,,
宮城県,仙台市,長町南児童館,9820012,仙台市太白区長町南一丁目6-15,,
宮城県,仙台市,長町自由の星保育園,9820011,仙台市太白区長町4-7-15,,
宮城県,仙台市,高森サーラ保育園,9813203,仙台市泉区高森4-2-615,,
宮城県,仙台市,鶴ヶ谷希望園,9830000,仙台市宮城野区鶴ヶ谷5-17-1,,
宮城県,仙台市,黒松児童館,9818006,仙台市泉区黒松一丁目15-4,,
宮城県,伊具郡丸森町,認定こども園丸森たんぽぽこども園,9812100,伊具郡丸森町字鳥屋120,,
宮城県,刈田郡蔵王町,蔵王町円田児童館,9890800,刈田郡蔵王町大字円田字堀ﾉ内50,,
宮城県,刈田郡蔵王町,蔵王町宮児童館,9890701,刈田郡蔵王町宮字明神前60,,
宮城県,刈田郡蔵王町,蔵王町平沢児童館,9890800,刈田郡蔵王町大字平沢字上の台27,,
宮城県,刈田郡蔵王町,蔵王町永野児童館,9890921,刈田郡蔵王町円田東上3,,
宮城県,刈田郡蔵王町,蔵王町遠刈田児童館,9890916,刈田郡蔵王町遠刈田温泉字小妻坂山21-5,,
