pref,city,name,zip,addr,phone,note
宮崎県,えびの市,えびの市地域子育て支援センター,8894300,えびの市大字向江98,(0984)37-0008,
宮崎県,三股町,三股町子育て支援センター,8891901,北諸県郡三股町樺山3384-2,(0986)52-8101,
宮崎県,串間市,串間市「すこやかひろば」,8880001,串間市西方9365-8,(0987)72-8701,
宮崎県,串間市,串間市地域子育て支援センター,8880005,串間市北方7358-2,(0987)72-5623,
宮崎県,五ヶ瀬町,五ヶ瀬町子育て支援センター,8821200,西臼杵郡五ヶ瀬町大字三ヶ所9400,(0982)82-1587,
宮崎県,児湯郡新富町,子育て応援スポットあんのん舎,8891400,児湯郡新富町大字新田8339,,
宮崎県,児湯郡都農町,都農町子育て支援センター,8891200,児湯郡都農町大字川北5469-1,,
宮崎県,国富町,国富町子育て支援ひろば,8801222,東諸県郡国富町八代北俣2095-2,(0985)75-7715,
宮崎県,宮崎市,あおき子育て交流ひろば,8800841,宮崎市吉村町ﾊｼﾃ甲2386-139,,
宮崎県,宮崎市,あおぞら保育園地域子育て支援センター,8800824,宮崎市大島町前田376-7,(0985)25-6831,
宮崎県,宮崎市,おひさま保育園地域子育て支援センター,8800843,宮崎市下原町231-2,(0985)26-5216,
宮崎県,宮崎市,ふたば保育園地域子育て支援センター,8800951,宮崎市大塚町大迫詰4341-1,(0985)53-3323,
宮崎県,宮崎市,住吉児童センター子育て交流ひろば,8800121,宮崎市島之内7082-2,(0985)39-8188,
宮崎県,宮崎市,倉岡児童館子育て交流ひろば,8802231,宮崎市糸原419-20,(0985)41-0315,
宮崎県,宮崎市,加江田保育園地域子育て支援センター,8892161,宮崎市加江田4462-1,(0985)65-0067,
宮崎県,宮崎市,和保育園地域子育て支援センター,8802112,宮崎市小松237-11,(0985)47-2200,
宮崎県,宮崎市,大坪保育園地域子育て支援センター,8800913,宮崎市恒久字野中6100-1,(0985)51-1478,
宮崎県,宮崎市,大塚児童センター子育て交流ひろば,8800951,宮崎市大塚町八所3765,(0985)50-5358,
宮崎県,宮崎市,大塚台児童センター子育て交流ひろば,8802105,宮崎市大塚台西3丁目22-3,(0985)47-8885,
宮崎県,宮崎市,大島児童館子育て交流ひろば,8800824,宮崎市大島町四反田668-2,(0985)-28-1476,
宮崎県,宮崎市,宮崎市中央西地域子育て支援センター,880-0014,宮崎市鶴島3丁目93 宮崎市立小戸保育所,(0985)27-2401,
宮崎県,宮崎市,宮崎市佐土原地域子育て支援センター,8800211,宮崎市佐土原町下田島20304ｰ1,(0985)73-6755,
宮崎県,宮崎市,宮崎市別府町5-18,,,(0985)-28-1475,
宮崎県,宮崎市,宮崎市清武地域子育て支援センター,8891613,宮崎市清武町西新町1-1,(0985)39-0694,
宮崎県,宮崎市,宮崎市田野地域子育て支援センター,8891701,宮崎市田野町甲2823-3,(0985)84-2380,
宮崎県,宮崎市,宮崎市高岡地域子育て支援センター,8802221,宮崎市高岡町内山2877,(0985)82-5294,
宮崎県,宮崎市,島之内保育園地域子育て支援センター,8800121,宮崎市島之内8900,(0985)39-0694,
宮崎県,宮崎市,希望ヶ丘保育園地域子育て支援センター,8800923,宮崎市希望ｹ丘3丁目21-11,(0985)56-2881,
宮崎県,宮崎市,平和が丘児童センター子育て交流ひろば,8800041,宮崎市池内町陣ﾉ平594-5,(0985)27-3255,
宮崎県,宮崎市,平和ヶ丘保育園地域子育て支援センター,8800041,宮崎市池内町古門991,(0985)39-3377,
宮崎県,宮崎市,恒久児童館子育て交流ひろば,8800913,宮崎市恒久2丁目16-4,(0985)51-6142,
宮崎県,宮崎市,木花児童センター子育て交流ひろば,8892151,宮崎市熊野635,(0985)58-1656,
宮崎県,宮崎市,本郷児童館子育て交流ひろば,8800925,宮崎市本郷北方4029-6,,
宮崎県,宮崎市,栄町児童館子育て交流ひろば,8800802,宮崎市別府町5-18,,
宮崎県,宮崎市,檍児童センター子育て交流ひろば,8800841,宮崎市吉村町平塚甲1797,(0985)26-5557,
宮崎県,宮崎市,生目児童館子育て交流ひろば,880-2104,宮崎市大字浮田3000-1,(0985)47-6652,
宮崎県,宮崎市,生目児童館子育て交流ひろば,8802104,宮崎市浮田3000-1,(0985)-56-3001,
宮崎県,宮崎市,西原児童センター子育て交流ひろば,8800913,宮崎市恒久5124,(0985)52-3533,
宮崎県,宮崎市,跡江保育所地域子育て支援センター,8802101,宮崎市跡江2007,,
宮崎県,宮崎市,霧島児童館子育て交流ひろば,8800031,宮崎市船塚1丁目81,(0985)27-4893,
宮崎県,宮崎市,青島児童センター子育て交流ひろば,8892163,宮崎市青島西2-1 青島地域総合ｾﾝﾀｰ2F,(0985)65-1899,
宮崎県,小林市,小林子育て支援センター「チポリーノ館」,8860004,小林市細野735-1,(0984)22-2102,
宮崎県,小林市,小林市立中央保育所子育て支援センター「おひさま」,8860007,小林市真方89-1,(0984)23-3481,
宮崎県,小林市,小林市立野尻のびのび子育て支援センター,8860212,小林市野尻町東麓2166-2,(0984)44-1881,
宮崎県,川南町,川南町子育て支援センター,8891300,児湯郡川南町大字平田2395-2,(0983)27-2617,
宮崎県,延岡市,つどいの広場まちなかキッズホーム,882-0053,延岡市幸町2丁目 ｺｺﾚｯﾀ延岡1F,(0982)33-7822,
