pref,city,name,zip,addr,phone,note
富山県,上市町,子育て支援室ありんこひろば,9300300,富山県上市町中江上96,076-472-2402,
富山県,中新川郡上市,子育て支援センターありんこ広場,9300313,中新川郡上市町中江上96 認定宮川こども園向かい,,
富山県,中新川郡上市,子育て支援センターさくらんぼ広場,9300351,中新川郡上市町北島613 上市保育園内,,
富山県,中新川郡立山町,はるかぜ広場,9300221,中新川郡立山町前沢2543-1 かがやき保育園,,
富山県,中新川郡立山町,まちなか子育て支援室みらいぶ☆きっず,9300221,中新川郡立山町前沢1169 立山町元気交流ｽﾃｰｼｮﾝ｢みらいぶ｣内,,
富山県,中新川郡立山町,立山町子育て支援センター つどいの広場,9300262,中新川郡立山町蔵本新387-52 立山町子育て支援ｾﾝﾀｰ,,
富山県,中新川郡舟橋村,舟橋村子育て支援センター ぶらんこ,9300200,中新川郡舟橋村佛生寺55 舟橋村役場内,,
富山県,入善町,入善町子育て支援センター,9390626,下新川郡入善町入膳4517-3,0765-72-1990,
富山県,南砺市,ふれ愛きじま地域子育て支援室ぴよぴよ広場,9391741,南砺市高宮663 喜志麻保育園,0763-52-4647,
富山県,南砺市,子育て支援センター さくらんぼ,9391811,南砺市理休240 城端さくら保育園,0763-62-7305,
富山県,南砺市,子育て支援センター なかよし広場,9320203,南砺市岩屋155 山野保育園,0763-82-1356,
富山県,南砺市,子育て支援センターあっぷる,9391552,南砺市柴田屋209 福野おひさま保育園,0763-22-8722,
富山県,南砺市,子育て支援センターきらきら,9320231,南砺市山見2000-14 井波にじいろ保育園,,
富山県,南砺市,子育て支援センターたんぽぽ,9391517,南砺市百町101-1 福野ひまわり保育園,0763-22-8230,
富山県,南砺市,子育て支援センターひよこ広場,,富山県南砺市福光1269-1,0763-52-8200,
富山県,南砺市,子育て支援センターほほえみ,9391732,南砺市荒木1305-1 福光東部かがやき保育園,,
富山県,南砺市,子育て支援センターコスモス,9391671,南砺市小坂694-8 福光南部あおぞら保育園,,
富山県,富山市,じんぼ子育て支援センター,9392612,富山市婦中町上吉川400 じんぼ保育園内,076-469-6676,
富山県,富山市,まつわか子育て支援センター,9300812,富山市松若町16-37 幼保連携型こども園まつわか保育園内,076-441-8371,
富山県,富山市,わかば子育て支援センター,9398072,富山市堀川町455番地 幼保連携型認定こども園わかば保育園内,076-424-8833,
富山県,富山市,上滝子育て支援センター,9301312,富山市上滝499 保育所型認定こども園上滝保育園内,076-483-1043,
富山県,富山市,光陽もなみ子育て支援センター,9398208,富山市布瀬町南2-3-6 光陽もなみ保育園内,076-421-4964,
富山県,富山市,八尾子育て支援センター,9392376,富山市八尾町福島200 八尾健康福祉総合ｾﾝﾀｰ,076-455-3714,
富山県,富山市,大久保子育て支援センター,9392251,富山市下大久保2433-1 大久保児童館内,076-468-2670,
富山県,富山市,婦中中央子育て支援センター,9392706,富山市婦中町速星750-2 中中央児童館内,076-466-5012,
富山県,富山市,富山市子育て支援センター,9300002,富山市新富町1‐2‐3 CiC4階,076-444-1110,
富山県,富山市,常盤台子育て支援センター,9300951,富山市経堂3-155 常盤台保育園 みどり館内,076-424-9222,
富山県,富山市,東山子育て支援センター,9300142,富山市吉作4303-1 東山保育所内,076-436-6810,
富山県,富山市,萩浦子育て支援センター,9318336,富山市高畠町2-3-23 萩浦保育園内,076-481-7282,
富山県,射水市,ふらっと（つどいの広場）,9390361,射水市太閤町4 NPO法人ふらっと,0766-56-6661,
富山県,射水市,下村子育て支援センター,9330204,富山県射水市加茂中部838-2,0766-59-8088,
富山県,射水市,大島つばさ保育園子育て支援センター,9390284,射水市新開発380-1 大島つばさ保育園,,
富山県,射水市,大島つばさ子育て支援センター,9390284,富山県射水市新開発380-1,0766-51-6060,
富山県,射水市,大門子育て支援センター,9390241,富山県射水市中村111-1,0766-52-1303,
富山県,射水市,太閤山子育て支援センター,9390362,射水市太閤山8-4-2 認定こども園太閤山あおい園,080-1952-8975,
富山県,射水市,射水おおぞら保育園子育て支援センター,9390274,射水市小島516-1 射水おおぞら保育園,,
富山県,射水市,射水おおぞら子育て支援センター,9390274,富山県射水市小島516-1,0766-51-6262,
富山県,射水市,小杉北部子育て支援センター,,富山県射水市戸破4200-11,0766-55-5582,
富山県,射水市,戸破子育て支援センター,9390351,射水市戸破2475 戸破児童館,0766-55-0154,
富山県,射水市,新湊くらし応援団グランパ,9340011,射水市本町3-12-28 新湊SC｢ｶﾓﾝ新湊｣,,
富山県,射水市,新湊くらし応援団グランパ（つどいの広場）,9340011,富山県射水市本町3-12-28,0766-84-4077,
富山県,射水市,新湊作道子育て支援センター,9340044,富山県射水市殿村115,0766-82-8787,
富山県,射水市,新湊子育て支援センター,9340011,富山県射水市本町1-10-34,0766-82-8018,
富山県,射水市,海老江子育て支援センター,9330233,射水市海老江1057 海老江保育園,0766-86-5050,
富山県,小矢部市,わくわく子育て支援センター,9320044,小矢部市新富町4-1 わくわく小矢部,0766-67-5360,
富山県,小矢部市,地域子育て支援センターあおば,9320046,富山県小矢部市観音町5-4,0766-67-0833,
富山県,小矢部市,子育てひろば「さくらんぼ」,9320832,富山県小矢部市野端505,0766-67-0442,
富山県,小矢部市,子育て支援センターあおば,9320046,小矢部市観音町5-4 石動青葉保育園,,
富山県,小矢部市,小矢部市子ども家庭支援センター,9320821,小矢部市鷲島15 総合保健福祉ｾﾝﾀｰ,0766-67-8615,
富山県,朝日町,朝日町子育て支援センターいちご保育園,9380168,下新川郡朝日町藤塚3,0765-83-3716,
富山県,朝日町,朝日町子育て支援センターひまわり幼児園,9390746,下新川郡朝日町荒川283,0765-82-2288,
富山県,氷見市,Chu・Chu サークル,9350005,氷見市栄町18-8 ひみ中央こども舎内,,
富山県,氷見市,くらら,9350023,富山県氷見市朝日丘3-10　あさひの丘こども園内,,
富山県,氷見市,すくすくサロン,9350112,氷見市飯久保167 みどり保育園内,0766-91-1277,
富山県,氷見市,たんぽぽサロン,9350024,氷見市窪2278-1 海清保育園内,0766-91-1301,
富山県,氷見市,キラキラキッズサロン,9350065,氷見市泉287 上庄保育園内,0766-72-5674,
富山県,氷見市,マヤ子育て支援センター,9350025,氷見市鞍川1303 ｱｿｶﾅｰｻﾘｰ内,0766-74-7550,
富山県,氷見市,氷見市地域子育てセンター,9350011,氷見市中央町12-21 いきいき元気館内,0766-74-8453,
富山県,氷見市,親と子のともだちサロンはやかわ,9350263,氷見市小久米83-5 速川児童館内,0766-76-2613,
富山県,滑川市,中加積保育園ちびっ子広場,9360854,富山県滑川市小林69,076-475-3837,
富山県,滑川市,滑川市子育て支援センター,9360035,富山県滑川市四間町616,076-476-6565,
富山県,砺波市,ちゅうりっぷ子育て支援センター,9391363,砺波市太郎丸2-29-2 ちゅうりっぷ保育園,0763-32-7978,
富山県,砺波市,出町子育て支援センター,9391366,富山県砺波市表町18-3,0763-32-2679,
富山県,砺波市,北部子育て支援センター,9391345,砺波市林1086 北部こども園,0763-33-7515,
富山県,砺波市,太田子育て支援センター,9391315,砺波市太田985 太田こども園,0763-33-6288,
富山県,砺波市,庄川子育て支援センター,9320314,富山県砺波市庄川町青島3374-2,0763-82-6470,
富山県,砺波市,東般若保育園子育て支援センター,9391401,砺波市東保966 東般若保育園,0763-37-0005,
富山県,砺波市,東野尻子育て支援センター,9391333,富山県砺波市苗加4232,0763-32-2712,
富山県,砺波市,砺波市役所 認定こども園・出町認定こども園・出町子育て支援センター,9391366,砺波市表町18-8,,
富山県,立山町,つどいの広場,9300200,富山県立山町蔵本新82-52,076-463-0622,
富山県,立山町,どんぐり広場,9300273,中新川郡立山町横沢1 あおぞら保育園,076-463-0061,
富山県,立山町,みらいぶ☆きっず,9300200,富山県立山町前沢1169,076-462-9955,
富山県,立山町,ニコニコサークル,9303206,中新川郡立山町竹林45 高原保育園,076-463-1430,
富山県,立山町,子育て支援室のびのび広場,9303201,中新川郡立山町高原八ｯ屋108 みどりの森保育園,076-462-2248,
富山県,高岡市,伏木子育て支援室「フレンドリー伏木」,9330111,高岡市伏木東一宮17-3 伏木児童館内,0766-44-0595,
富山県,高岡市,戸出子育て支援室「フレンドリー戸出」,9391104,高岡市戸出町3-19-31 戸出児童ｾﾝﾀｰ内,0766-63-2370,
富山県,高岡市,福岡子育て支援センター,9390132,高岡市福岡町大滝22 福岡健康福祉ｾﾝﾀｰ内,0766-64-2090,
富山県,高岡市,西部子育て支援室「フレンドリーせいぶ」,9330847,高岡市千石町1-16 西部児童ｾﾝﾀｰ内,0766-26-1347,
富山県,高岡市,野村子育て支援室「フレンドリーのむら」,9330014,高岡市野村898-4 野村児童ｾﾝﾀｰ内,0766-23-3893,
富山県,高岡市,高岡子育て支援センター,9330029,高岡市御旅屋町101 御旅屋ｾﾘｵ内(8階),0766-28-4114,
富山県,魚津市,すずめ児童センター親子教室,9370066,魚津市北鬼江418-1 すずめ児童ｾﾝﾀｰ,0765-23-0522,
富山県,魚津市,つばめ児童センター親子教室,9370801,魚津市新金屋1-12-50 つばめ児童ｾﾝﾀｰ,0765-23-5133,
富山県,魚津市,ひばり児童センター親子教室,9370042,魚津市六郎丸1250-1 ひばり児童ｾﾝﾀｰ,0765-23-0500,
富山県,魚津市,子育て支援センターにこにこ,9391610,南砺市福光381-1 福光どんぐり保育園,,
富山県,魚津市,魚津市子育て支援センターあいあい,9370806,富山県魚津市友道1842-2,0765-25-0375,
富山県,魚津市,魚津市子育て支援センターのびのび,9370041,魚津市吉島1165 健康ｾﾝﾀｰ,0765-24-0415,
富山県,黒部市,三日市保育所子育て支援室,9380031,黒部市三日市2454-3 三日市保育所,0765-54-1064,
富山県,黒部市,宇奈月子育て支援センター,9380861,黒部市宇奈月町下立38 宇奈月健康福祉ｾﾝﾀｰ,0765-65-2455,
富山県,黒部市,田家保育所子育て支援室,9380045,黒部市田家新545 田家保育所,0765-54-1711,
富山県,黒部市,黒部子育て支援センター,9380037,黒部市新牧野311 黒部ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰﾒﾙｼｰ内,0765-57-0485,
