pref,city,name,zip,addr,phone,note
山口県,上関町,なかよし広場,7421402,熊毛郡上関町長島644,,
山口県,上関町,スマイル☆ルーム,7421402,熊毛郡上関町長島440,,
山口県,下松市,あいあいキッズ星プラザ,7440025,下松市中央町２１－３,,
山口県,下松市,下松市子育て支援センター,7440029,下松市楠木町１－１１－１４,,
山口県,下松市,子育て支援センターあいりん,7440074,下松市潮音町１－７－１５,,
山口県,下松市,子育て支援センターくだまつ,7440073,下松市美里町3-22-20,,
山口県,下関市,きらきら保育園子育て支援センターきらきらぶれいす,7595331,下関市豊北町神田2408,,
山口県,下関市,こどもはらっぱ,7510866,下関市大字綾羅木字岡４５４,,
山口県,下関市,でしまつ子ども園子育て支援センター「カンガルークラブ」,7500078,下関市彦島杉田町２－３－１０,,
山口県,下関市,はらぺこあおむし,7501144,下関市小月茶屋2-9-1,,
山口県,下関市,ひえだ保育園子育て支援センター「のびっと村」,7510856,下関市稗田中町７－１７,,
山口県,下関市,ふくふくこども館,7500025,下関市竹崎町4-3-3JR下関駅ﾋﾞﾙ3階,,
山口県,下関市,もみじこどもｃａｆｅ,7520978,下関市長府侍町1-10-1,,
山口県,下関市,もみじ幼稚園子育て支援センター「もみじこどもｃａｆｅ」,7520978,下関市長府侍町１－１０－１,,
山口県,下関市,中央子育て支援センター「わくわくクラブ」,7510830,下関市幡生新町１－１０,,
山口県,下関市,勝山保育園子育て支援センター「つくしんぼの会」,7510874,下関市秋根新町１２－１２,,
山口県,下関市,子民家「こどものとなり」,7520904,下関市大字員光１４２８,,
山口県,下関市,子民家「こどもの宙（そら）」,7520954,下関市長府古城町６－１２,,
山口県,下関市,子育て支援センター「つくしんぼの会」,7510874,下関市秋根新町12-12,,
山口県,下関市,子育て支援センターのびっと村,7510856,下関市稗田中町7-17,,
山口県,下関市,子育て支援センターカンガルークラブ,7500078,下関市彦島杉田町2-3-10,,
山口県,下関市,小月こども園子育て支援センター「OZUのいえ」,7501153,下関市清末鞍馬３－１１００－３,,
山口県,下関市,川棚子育て支援センター「どらごんキッズ」,7596301,下関市豊浦町川棚字寺田5281,,
山口県,下関市,王喜子育て支援センター「うりぼー」,7501114,下関市王喜本町2-15-1,,
山口県,下関市,聖母園子育て支援センター「芽生えの会」,7500091,下関市彦島緑町１１－６,,
山口県,下関市,聖母園子育て支援センター芽生えの会,7500091,下関市彦島緑町11-6,,
山口県,下関市,菊川子育て支援センター「いちごキッズ」,7500000,下関市菊川町大字下岡枝１５０４,,
