pref,city,name,zip,addr,phone,note
山形県,三川町,三川町子育て支援センター,997-1321,三川町押切新田字桜木8-1,0235-64-8335,
山形県,上山市,上山あいこども園子育て支援センター,999-3234,上山市藤吾字原1470-3,023-673-1108,
山形県,上山市,上山市子育て支援センター,999-3143,上山市二日町10-25,023-672-5407,
山形県,中山町,中山町子育て支援センター,990-0406,中山町柳沢2322-1,023-662-2510,
山形県,南陽市,南陽市子育て支援センター こばとキッズ,999-2262,南陽市若狭郷屋903-4,0238-27-8678,
山形県,南陽市,南陽市子育て支援センター にこにこキッズ,999-2221,南陽市椚塚1642-4,0238-50-3050,
山形県,大江町,大江町子育て支援センター,990-1164,大江町本郷丙1338-1,0237-85-0433,
山形県,大石田町,おひさまランド,999-4121,大石田町横山633番地,0237-53-1505,
山形県,大石田町,にじっこひろば,999-4112,大石田町緑町28,0237-35-3370,
山形県,大蔵村,大蔵村子育て支援センター,996-0212,大蔵村清水1457-2,0233-29-9222,
山形県,大蔵村,赤松生涯学習センターまつぼっくり,996-0213,大蔵村赤松689-1,0233-75-2212,
山形県,天童市,かしのき子育て支援センター,994-0082,天童市芳賀タウン北3-10-12,023-666-4830,
山形県,天童市,かんがるーむ,994-0083,天童市芳賀タウン南4-12-23,023-654-5528,
山形県,天童市,ながおか子育て支援センター,994-0063,天童市東長岡4-6-5,023-664-0687,
山形県,天童市,キンダー水木子育て支援センター,994-0006,天童市成生930,023-616-4877,
山形県,天童市,天童市わらべ館,994-0034,天童市本町1-1-2,023-658-8120,
山形県,天童市,天童市子育て未来館げんキッズ,994-0082,天童市芳賀タウン北2-7-18,023-651-8240,
山形県,天童市,子育て支援センターあたご,994-0016,天童市天童中3-1-32,023-687-0831,
山形県,天童市,子育て支援センターたかだま,994-0069,天童市大字清池1559番地,023-655-2345,
山形県,天童市,子育て支援センターつながり,994-0082,天童市芳賀タウン北5-12-8,023-664-2271,
山形県,天童市,子育て支援センターつばさ,994-0016,天童市東久野本2-8-77,023-652-0283,
山形県,寒河江市,「ゆめハート寒河江」,991-0021,寒河江市中央2-2-1,0237-83-3225,
山形県,小国町,小国町子育て支援センター,999-1351,小国町小国町163,090-9015-8330,
山形県,尾花沢市,地域子育て支援センター,999-4228,尾花沢市上町5-6-15,0237-23-2018,
山形県,山形市,かないにこにこ子育て支援センター,990-0864,山形市陣場3-12-60,023-681-0371,
山形県,山形市,このみ子育て支援センター,990-0067,山形市花楯2-44-1,023-687-0855,
山形県,山形市,さくら子育て支援センター,990-0041,山形市緑町1-9-45,023-622-5682,
山形県,山形市,つくも保育園子育て支援センター,990-0051,山形市銅町2-19-1,023-674-0010,
山形県,山形市,つばさ子育て支援センター,990-0038,山形市幸町11-3,023-634-6253,
山形県,山形市,とちの実子育て支援センター,990-2444,山形市南四番町3-11,023-666-8899,
山形県,山形市,ひまわり子育て支援センター,990-2316,山形市山形市大字片谷地59,023-688-7351,
山形県,山形市,べにっこひろば子育て支援センター,990-0815,山形市樋越22,023-674-0220,
山形県,山形市,べにばな保育園子育て支援センター,990-2163,山形市伊達城2-9-7,023-686-4808,
山形県,山形市,ほほえみ支援センター,990-0822,山形市北山形1-6-5,023-643-7176,
山形県,山形市,まりあこまくさ支援センター,990-2421,山形市上桜田5-11-16,023-676-7822,
山形県,山形市,みどりのもりこども園子育て支援センター,990-0041,山形市緑町3-7-7,023-623-7800,
山形県,山形市,キンダー南館子育て支援センター,990-2461,山形市南館5-7-50,023-644-2030,
山形県,山形市,キンダー子育て支援センター,990-0057,山形市宮町2-4-13,023-622-7438,
山形県,山形市,コパル子育て支援センター,990-2316,山形市大字片谷地580-1,023-676-9876,
山形県,山形市,セロン北保育園子育て支援センター,990-2251,山形市立谷川2-938-18,023-686-2040,
山形県,山形市,出羽子育て支援センター,990-2172,山形市大字千手堂字沢田203-5,023-684-3018,
山形県,山形市,大谷たけのこ組子育て支援センター,990-2172,山形市千手堂545-1,023-684-7956,
山形県,山形市,子育てランドあ～べ,990-0042,山形市七日町1-1-1,023-615-1930,
山形県,山形市,子育て支援センターきのみせいぶ,990-0836,山形市南石関30-1,023-647-4883,
山形県,山形市,子育て支援センターすくすく,990-2313,山形市松原159-1,023-689-1182,
山形県,山形市,子育て支援センターののはな,990-0067,山形市花楯2-12-2,023-666-4666,
山形県,山形市,子育て支援センターはやぶさ,990-2474,山形市大字沼木1139-16,023-664-1701,
山形県,山形市,子育て支援センター木の実北,990-0047,山形市旅篭町1-9-5,023-674-6500,
山形県,山形市,嶋こども園支援センター,990-0885,山形市嶋北2-11-18,023-679-5028,
山形県,山形市,杉の子子育て支援センター,990-0881,山形市瀬波1-2-7,023-681-8120,
山形県,山形市,飯塚はらっぱ保育園子育て支援センター,990-0845,山形市飯塚町1447-4,023-666-6835,
山形県,山辺町,めんごっこ広場,990-0301,山辺町山辺2212,023-664-5066,
山形県,川西町,川西町子育て支援センター,999-0214,川西町吉田5476-3,0238-44-2822,
山形県,庄内町,庄内町子育て支援センター「こっころ」,999-7781,庄内町余目字町132-1,0234-42-2268,
山形県,戸沢村,戸沢村子育て支援センター こさぁーべ,999-6401,戸沢村古口199-3,0233-72-2112,
山形県,新庄市,ぴよこクラブ,996-0088,新庄市桧町25-2,0233-22-0260,
山形県,新庄市,パリス子ども文化センター,996-0002,新庄市金沢1917-7,0233-23-7880,
山形県,新庄市,子育て支援センターmoco's,996-0027,新庄市本町1-7,080-5552-7324,
山形県,新庄市,新庄市地域子育て支援センター,996-0027,新庄市本町4-33,0233-22-5115,
山形県,最上町,子育て支援センターひまわり,999-6101,最上町向町680-2,0233-43-4422,
山形県,朝日町,子育て支援センターあさひ,990-1442,朝日町宮宿2272,0237-67-2268,
山形県,村山市,子育て支援センター どんぐり広場,995-0208,村山市大字富並2119-2,0237-57-2429,
山形県,村山市,子育て支援センター ポポーのひろば,995-0034,村山市楯岡五日町14-20,0237-53-0901,
山形県,村山市,村山市子育て支援センターぐんぐん,995-0201,村山市長善寺1636-1,0237-56-2002,
山形県,東根市,ひがしねあそびあランド,999-3721,東根市東根乙1119-1,0237-43-5551,
山形県,東根市,東根市子育て支援センター,999-3796,東根市中央1-5-1,0237-43-0731,
山形県,河北町,かほくあい子育てセンター,999-3511,河北町谷地字霊堂399-1,0237-85-1211,
山形県,河北町,ひなの子育てセンター,999-3511,河北町谷地字月山堂1344,0237-85-1451,
山形県,河北町,河北町子育てサロン「つどいの広場」,999-3511,河北町谷地乙72,0237-73-5255,
山形県,河北町,河北町総合子育て支援センター,999-3511,河北町谷地甲79,0237-73-5282,
山形県,白鷹町,白鷹町子育て支援センター,992-0771,白鷹町鮎貝7002,0238-87-0083,
山形県,真室川町,真室川町子育て支援センター,999-5312,真室川町新町233-1,0233-62-2278,
山形県,米沢市,子育て支援室 おひさま,992-0025,米沢市通町4-11-20,0238-23-3416,
山形県,米沢市,米沢地域子育て支援センター 「くれよん」,992-0047,米沢市徳町1-38-1,0238-26-1515,
山形県,米沢市,米沢地域子育て支援センター つむぎ,992-0055,米沢市御廟2-3-17,0238-40-0188,
山形県,米沢市,米沢市東部地区子育て支援センター『ろけっと』,992-1125,米沢市万世町片子343,0238-21-1020,
山形県,米沢市,米沢市西部地区子育て支援センター 「ぴっころ」,992-0059,米沢市西大通1-6-56,0238-40-0701,
山形県,舟形町,舟形町子育て支援センター「みらい」,999-4601,舟形町舟形4550-1,0233-32-0528,
山形県,西川町,西川町子育て支援センター,990-0702,西川町海味1294,0237-74-2303,
山形県,遊佐町,遊佐町子育て支援センター,999-8301,遊佐町遊佐字広表6-8,0234-72-2809,
山形県,酒田市,八幡子育て支援センター,999-8235,酒田市麓字上川原35,0234-64-2068,
山形県,酒田市,平田子育て支援センター,999-6711,酒田市飛鳥字堂之後75,0234-61-7228,
山形県,酒田市,松山子育て支援センター,999-6861,酒田市字山田20-1,0234-61-4821,
山形県,酒田市,西荒瀬子育て支援センター,998-0005,酒田市宮海字新林661,0234-34-2255,
山形県,酒田市,酒田子育て支援センター,998-0842,酒田市亀ケ崎6-10-1,0234-24-8575,
山形県,酒田市,酒田市つどいの広場「にこっと」,998-0045,酒田市二番町7-8,0234-23-6330,
山形県,酒田市,酒田市児童センター「親子ふれあいサロン」,998-0044,酒田市中町3-4－5,0234-26-5613,
山形県,金山町,金山町地域子育て支援センター,999-5402,金山町金山571,0233-52-2272,
山形県,長井市,くるんと子育て支援センター,993-0007,長井市本町1-1-1,0238-87-3261,
山形県,長井市,子育てでつながる家「いろは」長井市子育て支援センター,993-0086,長井市十日町1-6-49-2,0238-87-0814,
山形県,飯豊町,飯豊町子育て支援センター こどもみらい館,999-0605,飯豊町添川2929-16,0238-74-2305,
山形県,高畠町,高畠町子育て支援センター,999-2174,高畠町福沢196,0238-49-7586,
山形県,鮭川村,さけっ子広場,999-5201,鮭川村京塚1324-2,0233-55-3051,
山形県,鶴岡市,あつみ子育て支援センター,999-7205,鶴岡市温海字荻田177-1,0235-43-3901,
山形県,鶴岡市,おおやま子育て支援センター,997-1124,鶴岡市大山2-20-1,0235-33-2778,
山形県,鶴岡市,くしびき子育て支援センター,997-0346,鶴岡市上山添字成田21－9,0235-57-5081,
山形県,鶴岡市,たがわ子育て支援センター,997-0753,鶴岡市田川字高田9,0235-35-2715,
山形県,鶴岡市,まんまルーム,997-0015,鶴岡市末広町3-1,0235-24-5635,
山形県,鶴岡市,三瀬森の保育園ぽかぽか森の小さなおうち,999-7463,鶴岡市三瀬字殿田233-1,0235-73-3500,
山形県,鶴岡市,子育て ともにひろば,999-7621,鶴岡市長沼字宮前163,0235-64-8623,
山形県,鶴岡市,小堅わんぱくルーム,999-7461,鶴岡市堅苔沢字淵ノ上533,0235-73-2330,
山形県,鶴岡市,常念寺保育園地域子育て支援センター「るんびにー園」 常念寺保育園隣,997-0817,鶴岡市睦町1-2,0235-24-9055,
山形県,鶴岡市,朝日子育て支援センター,997-0404,鶴岡市下名川字落合5,0235-58-1504,
山形県,鶴岡市,栄子育て支援室「なかよしルーム」,997-0002,鶴岡市播磨字若松83,0235-29-2102,
山形県,鶴岡市,民田子育てひろば「あそぼ」,997-0361,鶴岡市民田字五百刈77-1,0235-24-4517,
山形県,鶴岡市,羽黒子育て支援センター,997-0157,鶴岡市,,
山形県,鶴岡市,鶴岡市こども家庭センター,997-0033,鶴岡市泉町5-30,0235-25-2741,
山形県,鶴岡市,鶴岡市中央児童館,997-0809,鶴岡市苗津町1-1,0235-24-4608,
山形県,鶴岡市,鶴岡市南部児童館,997-0816,鶴岡市文園町1-8,0235-64-1900,
山形県,鶴岡市,鶴岡市大山児童館,997-1124,鶴岡市大山3-34-16,0235-38-0260,
山形県,鶴岡市,鶴岡市暘光児童館,997-0833,鶴岡市柳田字田中28-3,0235-64-8640,
山形県,鶴岡市,鶴岡市鶴岡西部児童館,997-0835,鶴岡市淀川町9-15,0235-24-0031,
