pref,city,name,addr,phone,note
山梨県,上野原市,上野原子育て支援センター,上野原市上野原3195,0554-56-8351,
山梨県,上野原市,巌子育て支援センター,上野原市四方津940-2,0554-62-6201,
山梨県,中央市,ちゃいるど広場,中央市成島1072-1,055-273-3522,
山梨県,中央市,みかさ子育て支援センター,中央市臼井阿原813-6,055-273-6386,
山梨県,中央市,中央市子育て支援センター「しん☆ちび」,中央市成島2266,055-269-8212,
山梨県,中央市,認定こども園わかば幼稚園,中央市井之口937-2,055-273-5737,
山梨県,丹波山村,丹波山村子育て支援センター,丹波山村丹波山村2554-1,0428-88-0304,
山梨県,北杜市,たんぽぽルーム,北杜市武川町牧原1243,0551-26-3021,
山梨県,北杜市,はっぴいたんたん,北杜市高根町箕輪697,0551-42-1401,
山梨県,北杜市,ひまわりルーム,北杜市小淵沢町6266,0551-36-8280,
山梨県,北杜市,ひよこルーム,北杜市長坂町大八田3531,0551-32-8288,
山梨県,北杜市,子育て支援センター「こあらルーム」,北杜市白州町白須1140,0551-35-2306,
山梨県,北杜市,子育て支援センター「つくしんぼルーム」,北杜市長坂町白井沢4160,0551-42-5550,
山梨県,北杜市,子育て支援センター「ニコニコスマイルルーム」,北杜市須玉町大蔵795,0551-42-5631,
山梨県,南アルプス市,あん・はーもにー,南アルプス市百々3013-1,055-269-7568,
山梨県,南アルプス市,さくらんぼ保育園子育て支援センター,南アルプス市桃園337,055-282-8111,
山梨県,南アルプス市,たのしさ創造センター「のの」,南アルプス市鮎沢1063-1,055-282-1307,
山梨県,南アルプス市,マコト愛児園子育て支援センター,南アルプス市下今井841-5,055-282-1510,
山梨県,南アルプス市,蔵　ku-ra,南アルプス市西野1758,080-1352-9386,
山梨県,南アルプス市,豊保育所子育て支援センター,南アルプス市吉田804,055-282-0189,
山梨県,南部町,のんたんのへや,南部町大和360,0556-62-9292,
山梨県,南部町,ピッピルーム,南部町福士2700-18,0556-64-4830,
山梨県,大月市,大月市子ども家庭総合支援センター,大月市大月町花咲10,0554-23-1152,
山梨県,富士吉田市,つどいの広場にじいろ,富士吉田市下吉田7-29-19,0555-22-5155,
山梨県,富士吉田市,つどいの広場ハーモニー,富士吉田市上吉田2-5-1,0555-23-8994,
山梨県,富士吉田市,ぽくぽくクラブ,富士吉田市上吉田7-7-1,0555-22-0971,
山梨県,富士川町,ぴよぴよクラブ,富士川町最勝寺555,0556-22-4834,
山梨県,富士川町,ぴよぴよクラブ,富士川町鰍沢1091-1,0556-22-0809,
山梨県,富士川町,子育て広場,富士川町最勝寺555,0556-22-4834,
山梨県,富士川町,子育て広場,富士川町鰍沢1091-1,0556-22-0809,
山梨県,富士河口湖町,富士河口湖町つどいの広場,富士河口湖町船津1754,0555-72-1174,
山梨県,小菅村,子育て支援「ありんこ」,小菅村小菅村4633,0428-87-0314,
山梨県,山中湖村,つどいの広場じゃんけんぽん,山中湖村山中865-292,0555-62-2010,
山梨県,山中湖村,山中湖村子育て支援センター,山中湖村山中865-292,0555-62-2010,
山梨県,山梨市,つどいの広場「たっち山梨」,山梨市小原西843,0553-23-1801,
