pref,city,name,zip,addr,phone,note
岐阜県,七宗町,第１保育園（子育て支援センター）,5090401,加茂郡七宗町上麻生2489-4,0574-48-1069,
岐阜県,下呂市,おさかこども園（子育て支援センター）,5093106,下呂市小坂町大島622-1,,
岐阜県,下呂市,おさかこども園（小坂子育て支援センター）,509-3106,下呂市小坂町大島622-1,0576-62-3767,
岐阜県,下呂市,かなやまこども園（子育て支援センター）,5091622,下呂市金山町金山2301-3,,
岐阜県,下呂市,かなやまこども園（金山子育て支援センター）,509-1622,下呂市金山町金山2301-3,0576-32-2373,
岐阜県,下呂市,かみはら子育て・保育ステーション（上原子育て支援センター）,509-2424,下呂市門和佐3688,0576-27-1205,
岐阜県,下呂市,きたこども園（萩原北子育て支援センター）,509-2507,下呂市萩原町野上768番地,0576-54-1176,
岐阜県,下呂市,みなみこども園（子育て支援センター）,5092517,下呂市萩原町萩原600-1,,
岐阜県,下呂市,みなみこども園（萩原南子育て支援センター）,509-2517,下呂市萩原町萩原599,0576-52-3535,
岐阜県,下呂市,わかあゆ子育て・保育ステーション（馬瀬子育て支援センター）,509-2612,下呂市馬瀬名丸1041,0576-47-2107,
岐阜県,下呂市,わかばこども園（下呂子育て支援センター）,509-2203,下呂市小川1048-1,0576-25-5011,
岐阜県,下呂市,下呂中央児童館,5092202,下呂市森883-1,,
岐阜県,不破郡垂井町,垂井東こども園（垂井北子育て支援センター）,5032100,不破郡垂井町地蔵2-41,,
岐阜県,不破郡垂井町,表佐保育園（子育て支援センター）,5032122,不破郡垂井町表佐1506,,
岐阜県,中津川市,にぎわいプラザ子育て支援センター,5080032,中津川市栄町1-11,,
岐阜県,中津川市,中津川市子育て支援センターどーなっつ,5080201,中津川市田瀬1533-1(発達支援ｾﾝﾀｰどんぐり内),,
岐阜県,中津川市,中津川市子育て支援センターほっとけーき,5080013,中津川市柳町5-11 中津川保育園内,,
岐阜県,中津川市,加子母子育て支援センターくるりんぱ,5080421,中津川市加子母3427-1(加子母ｺﾐｭﾆﾃｨｾﾝﾀｰ),,
岐阜県,八百津町,八百津町子育て支援センター,505-0301,加茂郡八百津町八百津3836-3,0574-43-2111,
岐阜県,加茂郡八百津町,八百津町福祉センター,5050301,加茂郡八百津町八百津3836-3,,
岐阜県,加茂郡川辺町,第３保育所（子育て支援センター）,5090315,加茂郡川辺町比久見1032-5,,
岐阜県,加茂郡東白川村,みつば保育園（子育て支援室）,5091302,加茂郡東白川村神土535-1,,
岐阜県,北方町,かわせみこども園,501-0431,本巣郡北方町北方73-1,058-260-6070,
岐阜県,北方町,ままプラザほっと,5010431,本巣郡北方町北方1331-3,058-323-2675,
岐阜県,北方町,北方きた子ども館（子育て支援センター）,5010431,本巣郡北方町北方1641-5,058-324-0254,
岐阜県,北方町,北方みなみ子ども館（子育て支援センター）,5010453,本巣郡北方町高屋分木2-20-1,058-322-2350,
岐阜県,可児市,すみれ楽園,5090203,可児市下恵土2838,,
岐阜県,可児市,ひろみ保育園にこにこ「いちご」,509-0202,可児市中恵土2235-1,0574-66-8881,
岐阜県,可児市,兼山児童館,505-0130,可児市兼山674-1    観光交流館２階,0574-59-2113,
岐阜県,可児市,可児さくら保育園「あっぷっぷ」,509-0251,可児市広見1352-2,0574-62-6688,
岐阜県,可児市,帷子児童センター,509-0256,可児市東帷子1024-6,0574-65-7111,
岐阜県,可児市,広見保育園,5090214,可児市広見751,,
岐阜県,可児市,桜ケ丘児童センター,509-0236,可児市皐ケ丘6-1-1,0574-64-4001,
岐阜県,可児市,絆る～む,509-0209,可児市下恵土1丁目100番地,0574-62-1111,
岐阜県,可児市,認定こども園すみれ楽園,509-0203,可児市下恵土2819-６,0574-62-1836,
岐阜県,可児市,認定こども園はぐみの森保育園「いちご」,509-0251,可児市塩1272,0574-60-0893,
岐阜県,可児市,認定こども園ひろみ保育園すくすく「いちご」,509-0214,可児市広見751,0574-62-8884,
岐阜県,各務原市,あさひ子ども館,5090145,各務原市鵜沼朝日町3-163-2,058-370-0500,
岐阜県,各務原市,うぬま子ども館,509-0135,各務原市鵜沼羽場町2-53,058-379-1177,
岐阜県,各務原市,うぬま東子ども館,5090111,各務原市鵜沼羽場町2-53,,
岐阜県,各務原市,かわしま子ども館,5016026,各務原市川島松原町405-5,0586-89-2634,
岐阜県,各務原市,さくら子ども館,5040912,各務原市那加桜町2-163,058-383-7613,
岐阜県,各務原市,そはら子ども館,5040854,各務原市蘇原野口町1-1-3,058-383-5285,
岐阜県,各務原市,那加保育所（たんぽぽ）,5040043,各務原市那加手力町62,,
岐阜県,土岐市,つまぎ保育園（子育て支援センター）,5095301,土岐市妻木町1357,,
岐阜県,土岐市,土岐市立ひだ保育園,5095403,土岐市肥田町肥田2285-1,,
岐阜県,坂祝町,坂祝町つどいの広場,5050075,加茂郡坂祝町取組35-4,0574-25-0095,
岐阜県,垂井町,垂井こども園（垂井町子育て支援センターつくしんぼ）,503-2121,不破郡垂井町1007-1,0584-22-0076,
岐阜県,垂井町,垂井東こども園 （垂井町子育て支援センターさくらんぼ）,503-2100,不破郡垂井町地蔵2-41,0584-23-4484,
岐阜県,多治見市,共栄保育園（共栄地域子育て支援センター）,5070018,多治見市高田町3-64,0572-23-2199,
岐阜県,多治見市,多治見市役所駅北庁舎（駅北親子ひろば）,5070037,多治見市音羽町1-71-1,0572-23-5551,
岐阜県,多治見市,池田保育園（池田地域子育て支援センター）,5070048,多治見市池田町3-120,0572-24-7117,
岐阜県,多治見市,笠原保育園（笠原地域子育て支援センター）,5070901,多治見市笠原町1974-1,0572-44-1971,
岐阜県,大垣市,わかたけ保育園（ニュー・ジェネレーションセンター）,5030018,大垣市西之川町1-110,,
岐阜県,大垣市,墨俣保育園（墨俣地域子育て支援センター）,5030103,大垣市墨俣町上宿483-1,,
岐阜県,大垣市,大垣市子育て総合支援センター,5030954,大垣市外花6-45,,
岐阜県,大垣市,牧田保育園（上石津地域子育て支援センター）,5031602,大垣市上石津町牧田2101,,
岐阜県,大垣市,荒崎幼保園（荒崎地域子育て支援センター）,5030997,大垣市長松町771-1,,
岐阜県,大野町,子育てはうす ぱすてる,501-0532,揖斐郡大野町大字下磯313番地2,0585-34-1010,
岐阜県,大野町,幼保連携型認定こども園   東さくらこども園（子育て支援センターすくすく）,501-0522,揖斐郡大野町相羽763番地8,0585-35-8533,
岐阜県,大野町,認定こども園   大野クローバー幼稚園（レインボークラブ）,501-0515,揖斐郡大野町桜大門30番地,0585-35-9680,
岐阜県,大野町,豊木認定こども園（子育て支援センターももたろう）,501-0515,揖斐郡大野町桜大門538番地,0585-32-0029,
岐阜県,安八町,結こども園（結子育て支援センター）,503-0111,安八郡安八町西結1060,0584-62-7885,
岐阜県,安八郡安八町,中央保育園（子育て支援センターひまわり）,5030126,安八郡安八町中須230,,
岐阜県,安八郡安八町,結保育園（子育て支援センターたんぽぽ）,5030111,安八郡安八町西結1060,,
岐阜県,安八郡輪之内町,仁木こども園,5030206,安八郡輪之内町下大榑新田261-2,,
岐阜県,安八郡輪之内町,大藪こども園,5030202,安八郡輪之内町大藪1117,,
岐阜県,安八郡輪之内町,福束こども園,5030234,安八郡輪之内町里983-1,,
岐阜県,富加町,富加町子育て支援センター,501-3301,加茂郡富加町加治田350,0574-54-2108,
岐阜県,山県市,こどもげんきはうす,501-2192,山県市高木1000-1,0581-23-2323,
岐阜県,山県市,子育て支援センター(子どもげんきはうす),5012104,山県市東深瀬17番地1,,
岐阜県,山県市,高富児童館,501-2105,山県市高富1276-2,0581-22-4750,
岐阜県,岐南町,すくすくサロン,501-6012,羽島郡岐南町八剣5-114,058-240-0081,
岐阜県,岐南町,にこにこサロン,5016004,羽島郡岐南町野中8-75,058-240-2100,
岐阜県,岐南町,リフレッシュサロン,5016019,羽島郡岐南町みやまち4-96,058-271-4424,
岐阜県,岐阜市,くれまちす（地域子育て支援センター）,500-8288,岐阜県岐阜市中鶉1-38,058-278-4170,
岐阜県,岐阜市,ながさわこども園（やすらぎの森）,5030833,大垣市長沢町3-63,0584-73-5186,
岐阜県,岐阜市,わかたけ保育園（わくわく!Angel Garden）,503-0018,大垣市西之川町1-110,0584-73-2530,
岐阜県,岐阜市,京町保育所（地域子育て支援センター）,5008804,岐阜市京町2-11,058-265-2943,
岐阜県,岐阜市,墨俣こども園（墨俣地域子育て支援センター）,503-0103,大垣市墨俣町上宿483-1,0584-62-5153,
岐阜県,岐阜市,大垣市三城地区センター子育てサロン,503-0006,大垣市加賀野4-37-1,0584-89-1232,
岐阜県,岐阜市,大垣市中川ふれあいセンター子育てサロン,503-0017,大垣市中川町4-668-1,0584-89-1232,
岐阜県,岐阜市,大垣市児童館（南部子育て支援センター）,503-0954,大垣市外花6-45,0584-89-1232,
岐阜県,岐阜市,大垣市宇留生地区センター子育てサロン,503-0034,大垣市荒尾町1438,0584-89-1232,
岐阜県,岐阜市,大垣市安井地区センター子育てサロン,503-0835,大垣市東前3-10,0584-89-1232,
岐阜県,岐阜市,大垣市綾里地区センター子育てサロン,503-0984,大垣市綾野6-111-1,0584-89-1232,
岐阜県,岐阜市,大垣市西地区センター子育てサロン,503-0976,大垣市南若森町438,0584-89-1232,
岐阜県,岐阜市,大垣市赤坂地区センター子育てサロン,503-2213,大垣市赤坂町3342-1,0584-89-1232,
岐阜県,岐阜市,岐阜聖徳学園大学”くれまちす”,5008288,岐阜市中鶉1-38,,
岐阜県,岐阜市,市橋保育所（地域子育て支援センター）,5008388,岐阜市今嶺2-10-16,058-271-5707,
岐阜県,岐阜市,木の花保育園,5030002,大垣市開発町5-658-1,0584-84-7326,
岐阜県,岐阜市,牧田こども園（上石津地域子育て支援センター）,503-1602,大垣市上石津町牧田2101,0584-47-2625,
岐阜県,岐阜市,聖徳保育園（地域子育て支援センター）,5008054,岐阜市大門町1,058-262-5058,
岐阜県,岐阜市,荒崎こども園（荒崎地域子育て支援センター）,503-0997,大垣市長松町771-1,0584-92-3008,
岐阜県,岐阜市,鷺山保育所（地域子育て支援センター）,5020858,岐阜市下土居2-9-12,058-231-8950,
岐阜県,岐阜市,黒野こども園（地域子育て支援センター）,5011121,岐阜市古市場106-4,058-239-0134,
岐阜県,川辺町,川辺町子育て支援センター,509-0315,川辺町比久見1032-5,0574-53-4388,
岐阜県,御嵩町,御嵩町子育て支援センター（ぽっぽかん）,5050122,可児郡御嵩町顔戸1176-2,0574-67-5221,
岐阜県,恵那市,やまびこ子育て支援センター,509-7206,恵那市長島町久須見182,0573-26-6918,
岐阜県,恵那市,上矢作子育て支援センター,509-7512,恵那市上矢作町下720-1,0573-26-2118,
岐阜県,恵那市,中野方子育て支援センター,509-8231,恵那市中野方町1811-2,0573-26-6918,
岐阜県,恵那市,山岡こども園（子育て支援センター）,509-7603,恵那市山岡町上手向1155,0573-26-2118,
岐阜県,恵那市,山岡保育園（子育て支援センター）,5097603,恵那市山岡町上手向1155,,
