pref,city,name,zip,addr,phone,note
岡山県,久米南町,わくわくサロン,709-3626,久米郡久米南町上神目14-2,,
岡山県,久米南町,子育てサロンカッピーＢaby's,7093614,久米郡久米南町下弓削515-1,,
岡山県,久米郡美咲町,美咲町加美児童館,7093717,久米郡美咲町原田1184-1,,
岡山県,井原市,いずえ子育て支援センター,7150021,井原市上出部町186,,
岡山県,井原市,たかや子育て支援センター,7150024,井原市高屋町4-24-1,,
岡山県,井原市,つどいの広場,7150021,井原市上出部町658-2,,
岡山県,井原市,井原市井原児童会館,7150013,井原市北山町196,,
岡山県,井原市,井原市子育て支援センター,7150006,井原市西江原町1414,,
岡山県,井原市,井原市木之子児童会館,7150004,井原市木之子町3191-1,,
岡山県,井原市,井原市芳井児童会館,7142111,井原市芳井町吉井4110-1,,
岡山県,井原市,井原市高屋児童会館,7150024,井原市高屋町3丁目22-2,,
岡山県,倉敷市,あまき子育て支援センター,7100132,倉敷市藤戸町天城2388-12,,086-428-7830
岡山県,倉敷市,さくよう森の広場「どんぐりっこ」,701-0292,倉敷市玉島長尾3524-5,,086-436-0201
岡山県,倉敷市,ちゃやっこひろば・チカク,710-1101,倉敷市茶屋町269-1 植野ビル２階,,070-5050-7730
岡山県,倉敷市,ひろば・ぽっかぽか,7100046,倉敷市中央2-7-1,,
岡山県,倉敷市,ひろば・わたぼうし,7138103,倉敷市玉島乙島1105-13,,090-4148-5808
岡山県,倉敷市,みんなの広場・ぽっかぽか,710-0052,倉敷市美和1-8-5,,086-427-5550
岡山県,倉敷市,交流スペース「ピョンピョンひろば」,712-8014,倉敷市連島中央5-30-12,,086-441-2282
岡山県,倉敷市,倉敷市子育て支援センター,710-0834,倉敷市笹沖180,,086-434-9865
岡山県,倉敷市,倉短ひろば“くららっこ”,711-0937,倉敷市児島稗田町160 市立短期大学内1号館2階,,086-441-1088
岡山県,倉敷市,地域子育て支援センターよしうら,7138102,倉敷市玉島1898-1,,090-2293-3246
岡山県,倉敷市,地域子育て支援センター三宝すくすくらんど,7110914,倉敷市児島味野城2-1-5,,086-473-5063
