pref,city,name,zip,addr,phone,note
岩手県,一戸町,一戸町子育て支援センター,,,,https://www.town.ichinohe.iwate.jp/soshikikarasagasu/kenkofukushika/jidohan/2715.html
岩手県,一関市,こども家庭課子育て応援係,0210063,一関市山目字前田13-1,,
岩手県,一関市,大東子育てひろば（大東保健センター）,,,,
岩手県,一関市,室根子育てひろば（室根こども園）,,,,
岩手県,一関市,東山子育てひろば（東山こども園）,,,,
岩手県,一関市,睦保育園子育て支援センター,0210885,一関市田村町2-14,,
岩手県,一関市,花泉子育てひろば(わくつこども園）,,,,
岩手県,一関市,藤沢子育てひろば（藤沢こども園）,0210027,一関市竹山町7番2号,,
岩手県,下閉伊郡岩泉町,いわいずみ子育て支援センター,0270501,下閉伊郡岩泉町岩泉字三本松7-6,,
岩手県,下閉伊郡普代村,普代村子育て支援センター 「はまゆり子ども園」,0288300,下閉伊郡普代村第13地割字普代156番地4,,
岩手県,久慈市,しあわせSUNつどいの広場,0280062,久慈市二十八日町1-12,,
岩手県,久慈市,久慈市子育て支援センター,0280051,久慈市川崎町11-1,,ページ取得失敗 https://www.city.kuji.iwate.jp/kosodate/kosodate/shiensenta/index.html
岩手県,九戸村,九戸村子育て支援センター,,,,http://www.kunohe-shakyo.jp/service/jidou/index.html
岩手県,九戸郡洋野町,(福）青翠会なかの保育園地域子育てセンター,0287906,九戸郡洋野町中野9-29-22,,
岩手県,九戸郡洋野町,洋野町 大野こども園子育て支援センター,0288802,九戸郡洋野町大野第8地割36-3,,
岩手県,九戸郡洋野町,洋野町役場種市庁舎種市こども園子育て支援センター,0287912,九戸郡洋野町種市第３７地割２１−８,,
岩手県,九戸郡軽米町,軽米子育て支援ひろば「ぴよぴよ広場」,0286300,九戸郡軽米町大字軽米2-42-5,,
岩手県,二戸市,乳幼児の親子の遊び・コミュニティの場として子育てを応援するため子育て支援センター開設しています。,0286103,二戸市石切所字荒瀬18番地,0195-23-0818,
岩手県,二戸市,二戸市子育て支援ひろば「にこにこ」,0286101,二戸市福岡字橋場19,,
岩手県,二戸市,二戸市子育て支援センター,0286103,二戸市石切所荒瀬18,,
岩手県,二戸市,子育て支援センター,0286103,二戸市石切所字荒瀬18番地,0195-23-0818,
岩手県,二戸市,岩手県二戸市子育て支援センター 岩手県二戸市,,,,
岩手県,二戸郡一戸町,子育て支援ひろば「のびのび」,0285311,二戸郡一戸町高善寺字大川鉢24-9,,
岩手県,八幡平市,たからっこ広場,0287111,八幡平市大更25-55-13(大更学童保育ｸﾗﾌﾞ施設内),,
岩手県,八幡平市,八幡平市子育て支援センター,,,,ページ取得失敗 https://www.city.hachimantai.lg.jp/site/kosodate/1208.html
岩手県,八幡平市,森の子育て支援センター,0287111,八幡平市大更18-301,,
岩手県,北上市,おにやなぎ保育園地域子育て支援センター,0240056,北上市鬼柳町都鳥13-1,0197-67-1021,
岩手県,北上市,おにやなぎ保育園地域子育て支援センター,,,,
岩手県,北上市,ときわだい保育園地域子育て支援センター,0240013,北上市藤沢21-180-1,0197-72-6856,
岩手県,北上市,ときわだい保育園地域子育て支援センター,,,,
岩手県,北上市,北上市地域子育て支援センター（おやこセンター）,0240092,北上市新穀町一丁目4－1ツインモールプラザ西館　hoKko1階,0197-63-2118,
岩手県,北上市,北上市地域子育て支援センター（おやこセンター）,,,0197-63-3118,
岩手県,北上市,江釣子保育園地域子育て支援センター,0240071,北上市上江釣子17-201-2,0197-77-3920,
岩手県,北上市,江釣子保育園地域子育て支援センター,,,0197-77-3920,
岩手県,大槌町,大槌町地域子育て支援センター「かりん」,0281131,大槌町小鎚第26地割161-5,0193-42-2570,
岩手県,大船渡市,いかわこども園子育て支援センター「おひさまひろば」,,,,
岩手県,大船渡市,つどいの広場「ドライヘッドリンパケア」,,,,
岩手県,大船渡市,つどいの広場『おでかけひろばゆるりinおおふなぽーと』,,,,
岩手県,大船渡市,つどいの広場【２月カレンダー】,,,,
岩手県,大船渡市,地域子育て支援センター「おひさま広場」,,,,
