pref,city,name,zip,addr,phone,note
島根県,出雲市,いずも子育て支援センター,6930021,出雲市塩冶町641-9,0853-21-5772,
島根県,出雲市,こりょう子育て支援センター,6990812,出雲市湖陵町二部1745-2(ﾊﾏﾅｽ保育園),0853-43-2621,
島根県,出雲市,さだ子育て支援センター,6930503,出雲市佐田町須佐1146(須佐保育所),0853-84-0166,
島根県,出雲市,さんぴーの広場,6930082,出雲市中野美保南2-15(さんぴｰの出雲),,
島根県,出雲市,たいしゃ子育て支援センター,6990711,出雲市大社町杵築南1397-2(大社健康福祉ｾﾝﾀｰ),0853-53-2666,
島根県,出雲市,たき子育て支援センター,6990903,出雲市多伎町小田50-5(多伎こども園),0853-86-2711,
島根県,出雲市,ひかわ子育て支援センター,6990505,出雲市斐川町上庄原1760-1(まめなが一番館),0853-73-7375,
島根県,出雲市,ひらた子育て支援センター,6910001,出雲市平田町2112-1,0853-63-3990,
島根県,出雲市,中央保育所「れもん組」,6930001,出雲市今市町828-2,,
島根県,出雲市,中央保育所れもん組,6930001,出雲市今市町828-2中央保育所,0853-21-0597,
島根県,出雲市,子育て支援センターはぐはぐ,6930073,出雲市西林木町151島根県立大学出雲キャンパス2号館1階,0853-22-6570,
島根県,出雲市,駅ナカ赤ちゃんルーム,6930007,出雲市駅北町10-3,0853-21-1496,
島根県,吉賀町,子育て交流サロン,6995513,鹿足郡吉賀町六日市263番地吉賀町養護老人ホーム銀杏寮付設作業所内,080-2889-7889,
島根県,大田市,仁摩子育て支援センター,6992301,大田市仁摩町仁万559-1仁摩保育園内,0854-88-4933,
島根県,大田市,仁摩子育て支援センター（仁摩保育所内）,6992301,大田市仁摩町仁万559−1,,
島根県,大田市,大田子育て支援センター,6940063,大田市大田町吉永1313-1あゆみ保育園内,0854-82-1791,
島根県,大田市,大田子育て支援センター（あゆみ保育園内）,6940063,大田市大田町吉永1355-1,,
島根県,大田市,温泉津子育て支援センター,6992511,大田市温泉津町小浜イ306-1温泉津保育所内,0855-65-2075,
島根県,大田市,温泉津子育て支援センター（温泉津保育所内）,6992511,大田市温泉津町小浜ｲ306-1,,
島根県,奥出雲町,よこた子育て支援センター,6991802,仁多郡奥出雲町大呂1127-4鳥上幼児園,0854-52-2296,
島根県,奥出雲町,仁多子育て支援センター,6991511,仁多郡奥出雲町三成690-1三成幼児園,0854-54-0200,
島根県,安来市,つどいの広場,6920011,安来市安来町583安来市親子交流センター,0854-23-7050,
島根県,安来市,地域子育て支援センター,6920011,安来市安来町924-3みゆきこども園,0854-22-3567,
島根県,安来市,地域子育て支援センター,6920017,安来市下坂田町197-1ふたばこども園,0854-23-1577,
島根県,安来市,地域子育て支援センター,6920051,安来市切川町624-2切川保育所,0854-26-4782,
島根県,安来市,安来市子育て支援センター,6920404,安来市広瀬町広瀬1930-1 [広瀬保健ｾﾝﾀｰ内 1F],0854-23-3222,
島根県,川本町,川本町子育てサポートセンター,6960000,邑智郡川本町大字川本332-16,0855-72-1570,
島根県,松江市,おもちゃの広場,6900061,松江市白潟本町43市民活動ｾﾝﾀｰ2階,0852-32-1195,
島根県,松江市,たまゆつどいの広場,6990202,松江市玉湯町湯町683-8ｻﾝ･ｴｰﾙたまゆ内,0852-62-9546,
島根県,松江市,やくも子育て支援センター,6902102,松江市八雲町東岩坂404-1たけのこ館内,0852-67-3251,
島根県,松江市,子育て支援センター「あいあい」,6900045,松江市乃白町32-2保健福祉総合ｾﾝﾀｰ1階,,
島根県,松江市,宍道子育て支援センター,6990406,松江市宍道885-3,0852-66-1428,
島根県,松江市,東出雲子育て支援センター,6990101,松江市東出雲町揖屋1216-1東出雲保健相談ｾﾝﾀｰ内,0852-52-9583,
島根県,松江市,松江市子育て支援センター・あいあい,6900045,松江市乃白町32-2保健福祉総合センター1階,0852-60-8143,
島根県,松江市,松江市立しんじ幼保園,6990401,松江市宍道町宍道 458−2,,
島根県,松江市,松江市立城西幼保園,6900851,松江市堂形町520,,
島根県,松江市,松江市立幼保園のぎ,6900058,松江市田和山町108番地,,
島根県,松江市,松江赤十字乳児院(育児サロン),6900884,松江市南田町162,,
島根県,松江市,美保関子育て支援センター,6901313,松江市美保関町下宇部尾61-2美保関支所内,0852-55-5751,
島根県,松江市,育児サロン（松江赤十字乳児院）,6900884,松江市南田町162松江赤十字乳児院内,0852-24-6418,
島根県,松江市,鹿島子育て支援センター,6900804,松江市鹿島町北講武885-5鹿島福祉ｾﾝﾀｰ内,0852-82-9334,
島根県,江津市,あさりこども園子育て支援センター「わくわく広場」,6950002,江津市浅利町336-4あさりこども園内,0855-55-1024,
島根県,江津市,あさり保育園,6950002,江津市浅利町336-4,,
島根県,江津市,さくらえ保育園子育て支援センター「ほのぼのひろば」,6994225,江津市桜江町小田536-1,0855-92-1068,
島根県,江津市,のぞみ保育園,6950021,江津市都野津町2325-3,,
島根県,江津市,のぞみ保育園子育て支援センター「のぞみひろば」,6950021,江津市都野津町2325-3のぞみ保育園内,0855-52-7888,
島根県,江津市,江津市子育てサポートセンター,6950011,江津市江津町1518-1,0855-52-0569,
島根県,津和野町,子育てふれあいルームぶどうの木,6995605,鹿足郡津和野町後田ロ66番地津和野幼花園,0856-72-0218,
島根県,津和野町,屋外型子育て拠点でこぼこ広場,6995202,鹿足郡津和野町左鐙1476番地山のこども園うしのしっぽ,0856-76-0180,
島根県,津和野町,日原子育て支援センター,6995221,鹿足郡津和野町日原22番地1日原保育園,0856-74-0742,
島根県,津和野町,津和野子育て支援センター,6995602,鹿足郡津和野町直地78番地2直地保育園,0856-72-0640,
島根県,浜田市,ひなしっこクラブ,6971322,浜田市日脚町771,0855-27-1230,
島根県,浜田市,やさか子育て支援センター,6971211,浜田市弥栄町長安本郷552-17,0855-48-2613,
島根県,浜田市,子育て支援センターあさひなないろクラブ,6970426,浜田市旭町丸原155-15認定こども園あさひ子ども園内,0855-45-8181,
島根県,浜田市,子育て支援センターおひさま,6993212,浜田市三隅町向野田605番8,0855-28-7907,
島根県,浜田市,浜田市子育て世代包括支援センター「すくすく」,6970016,浜田市野原町859-1,0855-22-1253,
島根県,海士町,つぼみ（海士町子育て支援センター）,6840400,隠岐郡海士町大字海士3980-31けいしょう保育園,08514-2-0540,
島根県,益田市,益田市立子育て支援センター,6980023,益田市常盤町11番1号,0856-22-2851,
島根県,益田市,益田市立子育て支援センターカンガルーくらぶ,6980023,益田市常盤町11番1号,,
島根県,知夫村,知夫村保健センター,6840100,隠岐郡知夫村1065番地知夫村保健センター,08514-8-2211,
島根県,美郷町,美郷町子育て支援センター,6994621,邑智郡美郷町粕渕37-4おおち保育園内,0855-74-2270,
島根県,西ノ島町,子育て支援センター「シオン」,6840302,隠岐郡西ﾉ島町別府149-9,08514-7-8566,
島根県,邑南町,瑞穂子育て支援センター,6960224,邑智郡邑南町上亀谷2183-11東光保育園,0855-83-0506,
島根県,邑南町,石見子育て支援センター,6960102,邑智郡邑南町中野2310東保育所,080-2910-1972,
島根県,邑智郡邑南町,瑞穂子育て支援センター（東光保育園内）,6960224,邑智郡邑南町上亀谷2185-3,,
島根県,隠岐の島町,地域子育て支援センター「カンガルー」,6850017,隠岐郡隠岐の島町下西166-2隠岐共生学園第二保育所内,08512-2-0144,
島根県,隠岐の島町,子育て支援センター「さんさん」,6850011,隠岐郡隠岐の島町栄町345隠岐の島町子育て交流センター内,08512-3-1200,
島根県,隠岐郡知夫村,ポンポコクラブ,6840100,隠岐郡知夫村1065番地知夫村保健ｾﾝﾀｰ,,
島根県,隠岐郡隠岐の島町,今津子育て支援センター,6850022,隠岐郡隠岐の島町今津548-37,,
島根県,雲南市,三刀屋子育て支援センター,6902404,雲南市三刀屋町三刀屋1212-3(三刀屋健康福祉ｾﾝﾀｰ内),0854-45-9500,
島根県,雲南市,加茂子育て支援センター,6991106,雲南市加茂町加茂中1001-4,0854-49-8355,
島根県,雲南市,大東子育て支援センター,6991223,雲南市大東町下阿用691番地2(あおぞら保育園内),0854-43-9500,
島根県,雲南市,掛合子育て支援センター,6902701,雲南市掛合町掛合2150(掛合保育所内),0854-62-9900,
島根県,雲南市,木次子育て支援センター,6991311,雲南市木次町里方924-1,0854-42-2030,
島根県,雲南市,木次子育て支援センター“くりおね”,6991311,雲南市木次町里方915-1(斐伊保育所併設),,
島根県,飯南町,子育て支援センター,6903401,飯石郡飯南町野萱774-2来島保育所内,0854-76-2213,
島根県,飯石郡飯南町,飯南町子育て支援センター,6903401,飯石郡飯南町野萱774-2来島保育所内,,
島根県,鹿足郡津和野町,日原子育て支援センター（日原保育園内）,6995221,鹿足郡津和野町日原25番地,,
島根県,鹿足郡津和野町,津和野子育て支援センター（直地児童館内）,6995602,鹿足郡津和野町直地70番地,,
