pref,city,name,zip,addr,phone,note
徳島県,つるぎ町,おひさまランド,,美馬郡つるぎ町半田字田井487-2（半田保育所内）,0883-64-3607,
徳島県,つるぎ町,チビッコわんぱくひろば,,美馬郡つるぎ町貞光字西山148番地1（貞光保育所内）,0883-62-2179,
徳島県,つるぎ町,子育てひろば「あんりーる」,,美馬郡つるぎ町貞光字町86番地1　町並み屋内公園,0883-68-9888,
徳島県,三好市,三好市子育て支援センター,,三好市池田町シンマチ1474番地　三好市子育て支援課2Ｆ（旧池田児童館）,0883-72-7648,
徳島県,三好市,三野地域子育て支援センター,,三好市三野町芝生1293-8（三野認定こども園内）,0883-77-2041,
徳島県,三好市,三野地域子育て支援センター　王地分館＜休止中＞,,三好市三野町加茂野宮1378（王地保育所内）,,
徳島県,三好市,政友保育所＜子育て支援拠点事業は休止中＞,,三好市山城町政友42,0883-87-2239,
徳島県,三好市,東祖谷認定こども園,,三好市東祖谷下瀬202-3,0883-88-2535,
徳島県,三好市,池田第一保育所,,三好市池田町マチ2155-1,0883-72-0147,
徳島県,三好市,西井川保育所,,三好市井川町西井川383,0883-76-3180,
徳島県,三好市,西祖谷認定こども園,,三好市西祖谷山村一宇262-1,0883-87-2239,
徳島県,上勝町,地域子育て支援センター「彩保育園」,,勝浦郡上勝町大字正木字平間179,0885-45-0470,
徳島県,上板町,上板町子育て支援センター「さくらっこひろば」,,板野郡上板町西分字日吉前20-1（さくら保育所内）,088-694-8180,
徳島県,佐那河内村,わんぱく広場（佐那河内保育所内）,,名東郡佐那河内村下字中河原13-1,088-679-2271,
徳島県,勝浦町,子育てサロン「こあら組」,,勝浦郡勝浦町大字三渓字川原28番地1,0885-42-2246,
徳島県,北島町,みどり子育てステーション,,板野郡北島町中村字中内29-1,088-698-2339,
徳島県,北島町,子育て支援室（めばえルーム）,,板野郡北島町中村字前田道添11-6,090-3786-5545,
徳島県,吉野川市,地域子育て支援センター「かもめ元気クラブ」,,吉野川市鴨島町西麻植字大東98-1（鴨島かもめこども園内）,0883-24-2856,
徳島県,吉野川市,地域子育て支援センター「山瀬わんぱく広場」,,吉野川市山川町諏訪266-5（山瀬かもめこども園内）,0883-30-1212,
徳島県,吉野川市,子育て支援「なかよしくらぶ」,,吉野川市鴨島町鴨島乙897-9（鴨島中央認定こども園内）,0883-24-2356,
徳島県,吉野川市,子育て支援センター「ちびっこプラザ」,,吉野川市鴨島町鴨島252-1（日本フネン市民プラザ4階）,0883-22-2440,
徳島県,吉野川市,子育て支援室「ちびっこドーム」,,吉野川市川島町桒村2421−1（ 川島こども園3階）,0883-25-6690,
徳島県,吉野川市,子育て支援室「ほたるルーム」,,吉野川市山川町町94（高越こども園2階）,0883-42-5758,
徳島県,吉野川市,子育て支援室「もうもうあいランド」,,吉野川市鴨島町牛島888-1（鴨島東こども園1階）,0883-24-8914,
徳島県,吉野川市,子育て支援館「ぶどうの木」,,吉野川市鴨島町鴨島440-2（認定こども園めぐみ幼稚園めぐみ保育園北）,0883-38-9117,
徳島県,小松島市,さかの認定こども園みんなのひろば,,小松島市坂野町字根上り13-1,0885-37-1770,
徳島県,小松島市,地域子育て支援センター“にこにこひろば”,,小松島市中田町字新開2-8,0885-32-0266,
徳島県,小松島市,子育て支援センターこやすっ子ひろば,,小松島市田浦町字子安73番地,08835-32-3462,
徳島県,小松島市,子育て支援センタースマイルピア,,小松島市小松島町領田20番地,0885-33-4143,
徳島県,小松島市,花しんばり子ども園,,小松島市大林町字金岡70番地1,0885-37-1015,
徳島県,徳島市,丈六在宅育児家庭相談室「あーち」,,徳島市丈六町休場6-6（丈六保育所2階）,088-645-1031,
徳島県,徳島市,助任なかよし認定こども園,,徳島市中吉野町1丁目65,088-626-1927,
徳島県,徳島市,勝占在宅育児家庭相談室　「ほっぺ」,,徳島市勝占町中須155番地の2,088-669-3002,
徳島県,徳島市,北井上在宅育児家庭相談室「たんたん」,,徳島市国府町西黒田字南傍示275番地の1（徳島市立北井上認定こども園2階）,088-642-6330,
徳島県,徳島市,名東在宅育児家庭相談室「たっち」,,徳島市名東町3丁目398番地の2,088-631-1120,
徳島県,徳島市,国府在宅育児家庭相談室「あいあい」,,徳島市国府町早渕池久保10（国府保育所併設）,088-642-3656,
徳島県,徳島市,城西在宅育児家庭相談室「わおん」,,徳島市北佐古二番町2-18（城西保育所2階）,088-634-3105,
徳島県,徳島市,徳島市子育て安心ステーションすきっぷ,,徳島市元町1-24　アミコビル5階,088-654-4460 託児予約専用 088-654-4459,
徳島県,徳島市,徳島市親子ふれあいプラザ,,徳島市沖浜東2丁目16番地 ふれあい健康館1階,088-657-0065,
徳島県,徳島市,津田在宅育児家庭相談室「あっぷ」,,徳島市津田町4丁目4-7　津田保育所2階,088-662-0246,
徳島県,東みよし町,みかも保育所内地域子育て支援センター,,三好郡東みよし町西庄字戎堂7-1（みかも保育所内）,0883-82-2145,
徳島県,東みよし町,みのり乳児園内地域子育て支援センター,,三好郡東みよし町加茂1454-1（みのり乳児園内）,0883-82-3150,
徳島県,松茂町,松茂町地域子育て支援センター,,板野郡松茂町広島字三番越2-4,088-699-3116,
徳島県,板野町,板野町地域子育て支援センター,,板野郡板野町大寺岡ノ前20,088-672-7171,
徳島県,海陽町,海陽町地域子育て支援センター　あのね,,海部郡海陽町奥浦字新町44 　海陽町役場　海部庁舎3階,0884-74-3112,
徳島県,牟岐町,あそびの広場,,海部郡牟岐町大字川長字市宇谷2-1,0884-72-1750,
徳島県,石井町,さくら認定こども園　にじぐみ,,名西郡石井町高川原字高川原1254-1（さくら認定こども園内）,088-675-0280,
徳島県,石井町,特定非営利活動法人　こどもねっといしい 　子育てサロン,,名西郡石井町高川原字高川原130-1（石井中学校西隣）,088-635-5799,
徳島県,神山町,ぱんだぐみ（地域子育て支援センター）,,名西郡神山町阿野字広野154-1（広野保育所内）,088-678-0556,
徳島県,神山町,鮎喰川コモン,,名西郡神山町神領字大埜地374-1,050-2024-4990,
徳島県,美波町,ももほっぺ,,海部郡美波町西の地字東地97-5,0884-78-1792,
徳島県,美馬市,さくらんぼルーム,,美馬市脇町字拝原700-1（江原認定こども園内）,0883-53-3070,
徳島県,美馬市,なかよし広場,,美馬市美馬町字中東原70-1（美馬認定こども園内）,0883-63-3030,
徳島県,美馬市,にこにこ広場,,美馬市穴吹町穴吹福戸原1（穴吹認定こども園内）,0883-53-1300,
徳島県,美馬市,美馬市子育て支援センター みらい,,美馬市脇町猪尻西分116-1（美馬市地域交流センターミライズ2階）,0883-53-1108,
徳島県,藍住町,あいずみ保育園地域子育て支援センター,,板野郡藍住町東中富字龍池傍示44-1,088-692-0234,
徳島県,藍住町,藍住ひまわり保育園地域子育て支援センター,,板野郡藍住町勝瑞字西勝地285,088-641-3045,
徳島県,藍住町,藍住南ひまわり保育園,,板野郡藍住町奥野字乾104,088-676-2210,
徳島県,藍住町,認可保育園　おひさま,,板野郡藍住町住吉字江端8-1,088-693-3317,
徳島県,那賀町,那賀町地域子育て支援センター,,那賀郡那賀町阿井字寺西7,0884-64-1220,
徳島県,阿南市,あおぞらほいく,,阿南市宝田町今市金剛寺35-1,0884-22-9558,
徳島県,阿南市,なかよしひろば（平島こどもセンター）,,阿南市那賀川町刈屋370-5,0884-21-2002,
徳島県,阿南市,にこにこひろば（今津こどもセンター）,,阿南市那賀川町今津浦喜来65-1,0884-42-0720,
徳島県,阿南市,ふれあいひろば（橘こどもセンター）,,阿南市橘町久保38-3,0884-28-1725（子育て支援センター）,
徳島県,阿南市,みんなのひろば（岩脇こどもセンター）,,阿南市羽ノ浦町岩脇神代地85番地1,0884-44-5059,
徳島県,阿南市,子育て支援スペースＮｕｕＮ,,阿南市富岡町今福寺49-10,080-4037-2844,
徳島県,阿南市,宝田こどもセンター,,阿南市宝田町久保田97-1,0884-22-8099,
徳島県,阿南市,新野こどもセンター,,阿南市新野町片山54,0884-36-2241,
徳島県,阿南市,認定こども園はのうら幼稚園,,阿南市羽ノ浦町宮倉太田40-3,0884-44-5563,
徳島県,阿南市,阿南市子育て家庭支援センター,,阿南市羽ノ浦町明見295-1,0884-44-2205,
