pref,city,name,zip,addr,phone,note
愛媛県,上島町,上島町子育て世代包括支援センター,7942550,愛媛県越智郡上島町生名621番地1,0897-77-2500,town.kamijima.lg.jp/reiki_int/.../r034RG00000828.html
愛媛県,上浮穴郡久万高原町,地域子育て支援センターHappyHouse,7911201,上浮穴郡久万高原町久万1444-5,,
愛媛県,久万高原町,久万高原町つどいの広場,7911201,上黒岩2913,0892-56-0182,
愛媛県,久万高原町,地域子育て支援センター（Happy House）,7911201,久万1444-5,0892-21-3192,
愛媛県,今治市,おぉきくなぁれ,7991502,今治市喜田村8丁目4番48号,,
愛媛県,今治市,にこにこ広場おぉきくなぁれ,,喜田村8-4-48,0898-47-4022,
愛媛県,今治市,ばりっこ広場,7940043,今治市南宝来町1-9-8,0898-22-6026,
愛媛県,今治市,ハルモニア広場,7940821,立花町2-6-11,0898-24-2370,
愛媛県,今治市,今治市社会福祉協議会子育て支援センターたまがわたまっこらんど,7940102,今治市玉川町大野甲86-1,0898-36-8140,
愛媛県,今治市,今治虎岳保育園地域子育て支援センター　とらっこくらぶ,7940004,鐘場町1-3-8,0898-24-2500,
愛媛県,今治市,子育てひろば ハピ,7940068,にぎわい広場1-1（イオンモール今治新都市１階）,0898-24-2951,
愛媛県,今治市,子育て広場あそぼーの,7992101,波方町波方甲2029（なみっこ交流館内）,0898-41-9770,
愛媛県,今治市,子育て広場しましま,7942304,伯方町北浦甲2255（鎮守の杜内）,070-1920-4662,
愛媛県,今治市,山路白鳩つどいの広場,7940072,今治市山路783-5,0898-52-8335,
愛媛県,今治市,志々満おひさまセンター,7991522,今治市桜井6丁目2-1,0898-48-0254,
愛媛県,今治市,輪い和い親子広場,7992203,大西町新町甲734-10,0898-53-5731,
愛媛県,伊予市,伊予市子育て支援課子育て支援センター,7993127,伊予市尼崎3-1 伊予市総合保健福祉ｾﾝﾀｰ内,,
愛媛県,伊予市,子育て支援拠点「あおぞら」,7993127,尾崎3-1,080-2997-1313,
愛媛県,伊予郡松前町,松前町地域子育て支援センター,7913120,伊予郡松前町筒井710-1,,
愛媛県,伊方町,子育て交流広場　スマイルルーム,7960300,湊浦1992-1,0894-38-0217,
愛媛県,八幡浜市,保内児童センター,7960202,保内町宮内1-36-1,0894-21-2846,
愛媛県,八幡浜市,八幡浜市子育て支援センター,7968008,八幡浜市栗野浦463-1,,
愛媛県,内子町,内子町子育て支援センター,7913310,喜多郡内子町城廻275-1,0893-44-6355,
愛媛県,北宇和郡鬼北町,鬼北町子育て支援センター「ゆめぽっけ」,7981366,北宇和郡鬼北町東仲613-2,,
愛媛県,南宇和郡愛南町,はまゆう乳幼児保育所地域子育て支援センター,7984110,南宇和郡愛南町御荘平城5274,,
愛媛県,南宇和郡愛南町,御荘子育て支援センター,7984110,南宇和郡愛南町御荘平城2510-2,,
愛媛県,四国中央市,みしま乳児保育園子育て支援センターひよこ,7990422,四国中央市中之庄町542,0896-28-1512,
愛媛県,四国中央市,乳児保育所こども村子育て支援センター,7990112,四国中央市金生町山田井107,0896-56-1310,
愛媛県,四国中央市,四国中央市子育て支援センター　すくすく,7990405,三島中央2-1-18（みしま児童センター内）,0896-28-6155,
愛媛県,四国中央市,土居おやこ広場,7990712,土居町入野178-1（土居こども館内）,0896-28-6394,
愛媛県,四国中央市,親子のくつろぎスペースにこにこルーム,7990101,四国中央市川之江町1814-5,0896-58-8726,
愛媛県,四国中央市,親子ふれあい広場ふわりん,7990405,三島中央3-14-31,0896-23-2526,
愛媛県,大洲市,喜多地域子育て支援センター,7950052,若宮625-4,0893-24-2722,
愛媛県,大洲市,大和保育所地域子育て支援センター,7993441,大洲市長浜町下須戒8-2,,
愛媛県,大洲市,大和地域子育て支援センター,7950000,長浜町下須戒8-2,0893-59-3773,
愛媛県,大洲市,大洲保育所地域子育て支援センター,7950012,大洲市大洲810-1,,
愛媛県,大洲市,大洲地域子育て支援センター,7950012,大洲830-1,0893-24-2285,
愛媛県,大洲市,徳森地域子育て支援センター,7950061,徳森1809-1,0893-25-4735,
愛媛県,宇和島市,げんきっこ倶楽部,7980023,宇和島市伊吹町馬場甲418-3,,
愛媛県,宇和島市,こばとルーム,7980070,宇和島市神田川原新3-1,,
愛媛県,宇和島市,なつめルーム,7980083,宇和島市夏目町1丁目12-12,,
愛媛県,宇和島市,ひまわりルーム,7980037,宇和島市丸穂町3丁目2-30,,
愛媛県,宇和島市,れんげルーム,7980078,宇和島市祝森甲811,,
愛媛県,宇和島市,丸穂保育園「まるおルーム」,7980038,丸穂甲900-1,0895-25-7285,
愛媛県,宇和島市,宇和島済美保育園「ひまわりルーム」,7980037,丸穂町3-2-30,0895-22-0512,
愛媛県,宇和島市,尾串保育園「なつめルーム」,7980083,夏目町1-12-12,0895-22-7039,
愛媛県,宇和島市,石丸保育園「れんげルーム」,7980078,祝森甲811,0895-27-2260,
愛媛県,宇和島市,立正保育園「こばとルーム」,7980070,神田川原新3-1,0895-22-1377,
愛媛県,宇和島市,認定こども園元気の泉「げんきっこ倶楽部」,,伊吹町馬場甲418-3,0895-25-0415,
愛媛県,愛南町,はまゆう乳幼児保育所地域子育て支援センター「どんぐりの会」,7984100,御荘平城5274,0895-72-4328,
愛媛県,愛南町,子育て支援グループ　こぶたたんぽぽポケットとんぼ「こぶたの広場」,7984100,城辺甲2652,0895-73-7321,
