pref,city,name,zip,addr,phone,note
愛知県,あま市,七宝つどいの広場,4970004,あま市七宝町桂弥勒28   あま市高齢者生きがい活動ｾﾝﾀｰ,,
愛知県,あま市,七宝子育て支援センター,4901200,あま市七宝高齢者生きがい活動センター あま市七宝町桂弥勒28番地,052-442-2420,
愛知県,あま市,甚目寺子育て支援センター,4901111,あま市甚目寺二伴田76番地 あま市昭和保育園内,052-444-6663,
愛知県,あま市,美和つどいの広場,4901222,あま市木田五反田124-1 あま市美和児童館,052-442-3515,
愛知県,あま市,美和子育て支援センター,4901205,あま市花正中之割2番地 あま市美和保健ｾﾝﾀｰ,052-444-7778,
愛知県,みよし市,きたよし地区子育て支援センター,4700206,みよし市莇生町仲田48-1 莇生保育園,,
愛知県,みよし市,なかよし地区子育て支援センター,4700224,みよし市三好町大坪54 わかば保育園,,
愛知県,みよし市,なかよし地区子育て支援センター 子育て総合支援センター,4700221,みよし市西陣取山130,0561-34-0500,
愛知県,みよし市,みなよし地区子育て支援センター,4700213,みよし市打越町畦違311 打越保育園,,
愛知県,みよし市,みなよし地区子育て支援センター 打越保育園,4700213,みよし市打越町畦違311,0561-34-1867,
愛知県,みよし市,三好丘地区子育て支援センター,4700204,みよし市三好丘桜四丁目11-1 みどり保育園,,
愛知県,みよし市,三好丘地区子育て支援センター みどり保育園,4700204,みよし市三好丘桜四丁目11－1,0561-36-0785,
愛知県,みよし市,黒笹地区子育て支援センター,4700207,みよし市福谷町西大山1-31 黒笹保育園,,
愛知県,みよし市,黒笹地区子育て支援センター 黒笹保育園,4700207,みよし市福谷町西大山1－31,0561-36-5722,
愛知県,一宮市,一宮市役所 千秋子育て支援センター,4910817,一宮市千秋町天摩字山畑370-56,,
愛知県,一宮市,中央子育て支援センター 尾張一宮駅前ビル5階,4910858,一宮市栄３－１－２（ｉ-ビル５階）,0586-85-7026,
愛知県,一宮市,丹陽子育て支援センター,4910827,一宮市三ﾂ井3-2-37 丹陽公民館敷地内,,
愛知県,一宮市,丹陽子育て支援センター 丹陽公民館敷地内,4910827,一宮市三ツ井３－２－３７,0586-28-9146,
愛知県,一宮市,千秋子育て支援センター 千秋子育て支援センター・児童クラブ複合 施設,4910817,一宮市千秋町天摩字山畑３７０－５６,0586-28-9771,
愛知県,一宮市,子育てひろばかもめ,4910918,一宮市末広1-21-10 かもめ保育園,0586-45-3839,
愛知県,一宮市,子育てひろば若の宮,4910121,一宮市島村字下老光寺44-1 若の宮保育園,0586-51-2727,
愛知県,一宮市,東五城子育て支援センター,4940008,一宮市東五城字備前12 尾西庁舎2階,,
愛知県,一宮市,東五城子育て支援センター 尾西庁舎2階,4940008,一宮市東五城字備前１２（尾西庁舎２階）,0586-85-9339,
愛知県,一宮市,浅井子育て支援センター 旧浅井中保育園,4910105,一宮市浅井町大日比野字東屋敷２４１５番地,0586-28-9727,
愛知県,一宮市,里小牧子育て支援センター,4930005,一宮市木曽川町里小牧字神明東5-1 里小牧保育園併設,,
愛知県,一宮市,黒田北子育て支援センター,4930001,一宮市木曽川町黒田字篭守西108 黒田北保育園併設,0586-28-9769,
愛知県,丹羽郡扶桑町,すくすくらんど,4800100,丹羽郡扶桑町大字斎藤字県149 斎藤保育園,,
愛知県,丹羽郡扶桑町,にこにこらんど,4800100,丹羽郡扶桑町大字高雄字北東川102 高雄保育園,,
愛知県,刈谷市,きらきら広場,4480013,刈谷市恩田町3丁目163番地1 かりがね子育て支援ｾﾝﾀｰ,,
愛知県,刈谷市,くまっこルーム,4480831,刈谷市熊野町4-8-7 親愛の里保育園,,
愛知県,刈谷市,すくすく広場,4480043,刈谷市小山町4丁目50番地 小山託児ﾙｰﾑ,,
愛知県,刈谷市,すくすく広場 小山託児ルーム,4480043,刈谷市小山町4丁目50番地,0566-23-8877,
愛知県,刈谷市,のびのび広場,4480806,刈谷市松栄町2丁目16番地1 東刈谷市民ｾﾝﾀｰ,,
愛知県,刈谷市,わくわく広場,4480007,刈谷市東境町住吉78番地2 北部市民ｾﾝﾀｰ,,
愛知県,刈谷市,中央子育て支援センター,4910858,一宮市栄3-1-2 尾張一宮駅前ﾋﾞﾙ5階,,
愛知県,刈谷市,中央子育て支援センター 中央子育て支援センター,4480858,刈谷市若松町3丁目8番地2 総合健康センター2階,0566-61-2719,
愛知県,刈谷市,刈谷市子育て支援課,4480000,刈谷市民センター 刈谷市松栄町2丁目16番地1,0566-23-8877,
愛知県,刈谷市,刈谷市子育て支援課,4480013,刈谷市恩田町3丁目163番地1,0566-23-8877,
愛知県,刈谷市,刈谷市子育て支援課,4480007,刈谷市東境町住吉78番地2,0566-23-8877,
愛知県,刈谷市,刈谷市子育て支援課,4480831,刈谷市熊野町4丁目8番地７,0566-21-0893,
愛知県,刈谷市,北部子育て支援センター,4760002,東海市名和町池西45番地の1 東海市立名和保育園内,,
愛知県,刈谷市,北部子育て支援センター 北部子育て支援センター,4480005,刈谷市今川町1丁目707番地,0566-61-9011,
愛知県,刈谷市,南部子育て支援センター,4770032,東海市加木屋町東大堀28番地の34 東海市立大堀保育園内,,
愛知県,刈谷市,南部子育て支援センター 南部子育て支援センター,4480804,刈谷市半城土町西裏63番地5,0566-63-5881,
愛知県,刈谷市,子育て支援センター「ひだまり」,4480854,刈谷市富士見町3丁目304号 こぐま保育園内,080-7713-6938,
