pref,city,name,zip,addr,phone,note
新潟県,三条市,あそぼって,955-0046,興野１丁目２－３０,0256-36-2181,
新潟県,三条市,きらきら保育園,955-0861,北新保２丁目１－１５,0256-31-1188,
新潟県,三条市,すまいるランド,959-1192,新堀１３１１,0256-45-5687,
新潟県,三条市,つくし保育園,955-0033,西大崎２丁目27番66号,0256-38-5302,
新潟県,三条市,三条市,955-0803,月岡3丁目13－14,0256-35-1585,
新潟県,三条市,三条市,955-0021,下保内４９７,0256-39-6130,
新潟県,三条市,土日祝日 午前8時～午後6時,959-1117,帯織北3,0256-45-2223,
新潟県,三条市,本成寺保育園,955-0845,西本成寺１丁目１７－２８,0256-32-3791,
新潟県,三条市,条,955-0152,笹岡230－1,0256-46-5565,
新潟県,三条市,田島わくわくこども園,955-0044,田島２丁目１９－２９,0256-33-0034,
新潟県,上越市,いたくら子育てひろば,944-0131,板倉区針668-3,0255-78-2190,
新潟県,上越市,うらがわら子育てひろば,942-0314,浦川原区顕聖寺767,025-595-3301,
新潟県,上越市,かすが子育てひろば,943-0807,春日山町1-3-23,025-524-1404,
新潟県,上越市,きよさと子育てひろば,943-0507,清里区岡嶺新田57,025-528-3205,
新潟県,上越市,くびき子育てひろば,942-0145,頸城区上吉1787-1,025-530-3778,
新潟県,上越市,さんわ子育てひろば,943-0317,三和区浮島57,025-532-2123,
新潟県,上越市,たにはま子育てひろば,949-1702,有間川424-1,025-546-2277,
新潟県,上越市,なかよし子育てひろば,943-0154,稲田3-6-6,025-523-2338,
新潟県,上越市,はまっこ子育てひろば,949-3112,大潟区土底浜1889-1,025-534-2413,
新潟県,上越市,ほたる子育てひろば,943-0896,飯1955,025-523-3451,
新潟県,上越市,まつかぜ子育てひろば,949-3102,大潟区九戸浜374甲,025-534-2871,
新潟県,上越市,フランシスコ,943-0834,西城町2-3-12,025-523-6006,
新潟県,上越市,上越市,943-0835,田城址公園オーレンプラザ,025-525-0355,
新潟県,上越市,中郷子育てひろば,949-2306,中郷区八斗蒔178－2,0255-74-2029,
新潟県,上越市,大島子育てひろば,942-1103,大島区大平5114-1,025-594-3032,
新潟県,上越市,市民プラザこどもセンター,943-0821,,025-527-3617,
