pref,city,name,zip,addr,phone,note
東京都,あきる野市,子育てひろば いつかいち,1970164,あきる野市五日市414-5,042-588-5524,
東京都,あきる野市,子育てひろば ここるの 空き店舗,197-0804,東京都あきる野市秋川1-8,042-550-3314,
東京都,あきる野市,子育てひろば るぴああきる野っ子 空き店舗,197-0804,東京都あきる野市秋川1-8,042-533-3818,
東京都,あきる野市,子育てひろばにしあきる,1970832,あきる野市上代継300 西秋留保育園,042-558-1105,
東京都,あきる野市,子育てひろばるぴああきる野っ子,1970804,あきる野市秋川1-8 あきる野ﾙﾋﾟｱ1階,,
東京都,あきる野市,子育てひろば秋川あすなろ,1970811,あきる野市原小宮二丁目6-5 秋川あすなろ保育園,042-532-3811,
東京都,三宅村,三宅村子育て広場,1001212,東京都三宅島三宅村阿古1906番地,04994-5-0615,
東京都,三鷹市,6-37-1三鷹市中央防災公園・元 子ども発達支援センター親子ひろばひよこ,181-0004,,0422-45-1122,
東京都,三鷹市,HOT・ホッと・きらきら,181-0004,東京都三鷹市新川6-7-8,0422-71-2211,
東京都,三鷹市,HOT・ホット・きらきら（市立こじか保育園内）,1810004,三鷹市新川6-7-8,,
東京都,三鷹市,あけぼの保育園,1810012,三鷹市上連雀4-11-21,,
東京都,三鷹市,おやこひろばえふえふ 民家,181-0004,東京都三鷹市新川4-18-2 えんがわ家1階,070-8360-3258,
東京都,三鷹市,しいのみクラブ,181-0015,東京都三鷹市大沢4-8-8,0422-32-4103,
東京都,三鷹市,ちきんえっぐ,181-0011,東京都三鷹市井口1-23-9,0422-30-5923,
東京都,三鷹市,ちどりこども園,1810012,三鷹市上連雀4-12-26,,
東京都,三鷹市,つぎあてポッケ,1810015,三鷹市大沢1-16-26,,
東京都,三鷹市,つぎあてポッケ 民家,181-0015,東京都三鷹市大沢1-16-26,0422-34-0040,
東京都,三鷹市,つくつくひろば,181-0004,東京都三鷹市新川1-10-20,03-5384-2441,
東京都,三鷹市,つくつくひろば（運営：つくしんぼ保育園）,1810004,三鷹市新川1-10-20,,
東京都,三鷹市,なのはな園親子ひろばつぼみ,181-0001,東京都三鷹市井の頭2-27-7,0422-79-4590,
東京都,三鷹市,ひまわり（子ども家庭支援センター内）,1810013,三鷹市下連雀3-30-12-3F,,
東京都,三鷹市,ひろばぴっぴ,181-0001,東京都三鷹市井の頭5-23-8,0422-45-4558,
東京都,三鷹市,ひろばぴっぴ（運営：みたか小鳥の森保育園）,1810001,三鷹市井の頭5-23-8,,
東京都,三鷹市,むらさき子どもひろば,1810013,三鷹市下連雀1-25-2,,
東京都,三鷹市,三鷹市むらさき子どもひろば,181-0013,東京都三鷹市下連雀1-25-2,0422-49-5500,
東京都,三鷹市,三鷹市上連雀保育園,181-0012,東京都三鷹市上連雀5-1-27,0422-40-7168,
東京都,三鷹市,三鷹市立あけぼの保育園,181-0012,東京都三鷹市上連雀4-11-21,0422-40-7555,
東京都,三鷹市,三鷹市立下連雀保育園,181-0013,東京都三鷹市下連雀4-19-4,0422-40-7160,
東京都,三鷹市,三鷹市立中原保育園,181-0005,東京都三鷹市中原4-35-4-101,0422-40-7170,
東京都,三鷹市,三鷹市立南浦東保育園,181-0013,東京都三鷹市下連雀6-12-1,0422-40-7166,
東京都,三鷹市,三鷹市立山中保育園,181-0012,東京都三鷹市上連雀7-19-1-100,0422-40-7542,
東京都,三鷹市,三鷹市立新川保育園,181-0004,東京都三鷹市新川5-7-2,0422-40-7553,
東京都,三鷹市,三鷹市立東多世代交流センター,181-0002,東京都三鷹市牟礼2-13-19,0422-44-2150,
東京都,三鷹市,三鷹市立野崎保育園,181-0014,東京都三鷹市野崎3-12-11,0422-39-7050,
東京都,三鷹市,三鷹市西多世代交流センター,181-0016,三鷹市深大寺2-3-5,0422-31-6039,
東京都,三鷹市,三鷹市西多世代交流センター（にしじどうかん）,1810016,三鷹市深大寺2-3-5,,
東京都,三鷹市,三鷹赤とんぼ保育園,1810015,三鷹市牟礼3-9-3,,
東京都,三鷹市,三鷹駅前保育園,1810013,三鷹市下連雀3-30-12-2F,,
東京都,三鷹市,上連雀保育園,1810012,三鷹市上連雀5-1-27,,
