pref,city,name,zip,addr,phone,note
栃木県,2,いちごクラブ,3230007,小山市松沼121-1 (小山西保育園),0285-37-0102,
栃木県,2,えくぼちゃんクラブ,3230012,小山市羽川456-4 (さくら保育園),0285-23-7068,
栃木県,2,ミッキークラブ,3230826,小山市雨ヶ谷417 (こばと保育園),0285-27-0209,
栃木県,2,毎週月曜日～金曜日午前９時30分～午後３時30分,3290203,小山市大字西黒田480-3（黒田保育園）,0285-32-8254,
栃木県,3,佐野市子育て支援まちなかプラザゆめぽけっと,3270846,佐野市若松町481-4,0283-27-0224,
栃木県,3,呑竜幼稚園子育て支援室SWAC(スワック）・遊びの広場,3270006,佐野市上台町2151-5（呑竜幼稚園サッカー場敷地内、ド・マーマ）,0283-27-0051,
栃木県,3,地域子育て支援センターさくらんぼ,3270804,佐野市犬伏下町2424-1 (大栗保育園),080-9587-3792（直通）,
栃木県,3,子育て支援センター　re.（リードット）,3270104,佐野市赤見町2041,0283-25-4033,
栃木県,3,子育て支援拠点事業もりのひろば,3270831,佐野市浅沼町146-5（フロム浅沼２階交流スペース）,070-1304-3947,
栃木県,3,子育て支援救世軍佐野保育園,3270831,佐野市浅沼町182（救世軍佐野保育園２階）,0283-22-4081,
栃木県,3,毎週月曜日～金曜日午前10時～午後３時,3270821,佐野市高萩町1319-1（風の子保育園敷地内）,0283-24-2235,
栃木県,5,上松山子育て支援センター どんぐりひろば,3291311,さくら市氏家3776-2 (上松山児童ｾﾝﾀｰ),028-616-3660,
栃木県,5,毎日（第３日曜日は休み）午前９時～午後６時,3291412,さくら市喜連川3936-1（喜連川児童センター）,028-678-2651,
栃木県,5,氏家子育て支援センターおひさまひろば,3291321,さくら市馬場96-1 (氏家児童ｾﾝﾀｰ),028-612-6145,
栃木県,6,毎日（年末年始を除く)午前８時30分～午後５時,3230025,小山市城山町3-7-5（城山・サクラ・コモン内）,0285-24-1012,
栃木県,さくら市,にこにこサロン,3291303,さくら市松山796-1 (たいよう保育園),028-681-1331,
栃木県,さくら市,わくわくサロン,3291332,さくら市蒲須坂595-2 (ｱｯﾌﾟﾙ保育園),028-682-9957,
栃木県,さくら市,サンサンサロン,3291324,さくら市草川42 (あおぞら保育園),028-681-1336,
栃木県,さくら市,喜連川子育て支援センターひまわり,3291412,さくら市喜連川3936-1 (喜連川児童ｾﾝﾀｰ),,
栃木県,さくら市,子育て支援YOU,3291301,さくら市箱森新田154-1（こどもの森YOU保育園）,028-612-5783,
栃木県,上三川町,上三川町子育て支援センター「あったかひろば」,3290611,上三川町上蒲生34,0285-56-2043,
栃木県,下野市,子育て支援センターつくし,3290414,下野市小金井789番地 (ゆうゆう館),0285-43-1233,
栃木県,下野市,子育て支援センターみるく,3290502,下野市下古山3025番地1 (わかば保育園内),0285-39-6305,
栃木県,下野市,子育て支援センターゆりかご,3290431,下野市薬師寺1584番地6 (あおば保育園),0285-48-5530,
栃木県,佐野市,ぴよぴよルームあさぬま,3270831,佐野市浅沼町578-３（あさぬま保育園内）,0283-85-8225（直通）,
栃木県,佐野市,ぴよぴよルームくずう,3270501,佐野市葛生東1-15-20 (くずう保育園),,
栃木県,佐野市,ぴよぴよルームたぬま,3270306,佐野市戸室町692 (たぬま保育園),0283-62-7041（直通）,
栃木県,佐野市,佐野市子育て支援まちなかプラザ,3270846,佐野市若松町481-4,,
栃木県,佐野市,地域子育て支援センターつめくさ,3270821,佐野市高萩町1319-1 (風の子保育園),,
栃木県,佐野市,子育て支援NPOre. （リードット）,3270104,佐野市赤見町2041 (あかみ幼稚園),,
栃木県,佐野市,救世軍佐野保育園子育て支援,3270831,佐野市浅沼町182 (救世軍佐野保育園),,
栃木県,塩谷町,塩谷町子育て支援センター,3292221,塩谷町大字玉生1057-83 (認定しおやこども園),,
栃木県,塩谷町,塩谷町子育て支援センター「たんぽぽ広場」,3292200,塩谷町大字玉生1057-83（認定しおやこども園）,0287-45-0513,
栃木県,壬生町,子育て支援センター☆ひよこ☆,3210214,壬生町大字壬生甲3843-1 (壬生町保健福祉ｾﾝﾀｰ),0282-82-3309,
栃木県,壬生町,子育て支援センターつばめ,3210200,壬生町大字安塚1179-1,0282-86-01320282-25-7773,
栃木県,大田原市,くろばね子育て支援センター,3240235,大田原市堀之内641-1,,
栃木県,大田原市,しんとみ子育て支援センター,3240055,大田原市新富町3-6-8,0287-22-5577,
栃木県,大田原市,すくすくきっずくろばね子育て支援センター,3240235,大田原市堀之内641-1（くろばね保育園）,0287-59-1077,
栃木県,大田原市,つどいの広場さくやま,3240032,大田原市佐久山2268-1,,
栃木県,大田原市,つどいの広場トコトコ,3240056,大田原市中央1-3-15,0287-47-7660,
栃木県,大田原市,ゆづかみ子育て支援センター,3240403,大田原市湯津上3724-1,0287-98-3881,
栃木県,大田原市,子育て支援センターひかり,3240051,大田原市山の手2-11-13,0287-23-5533,
栃木県,宇都宮市,子育てサロンとまつり,3200056,宇都宮市戸祭1-4-12,028-612-7868,
