pref,city,name,zip,addr,phone,note
沖縄県,中城村,中城みなみ保育園幼稚園 地域子育て支援センター,9012424,沖縄県中頭郡中城村字南上原786番地,098-895-3178,
沖縄県,中城村,吉の浦保育所 地域子育て支援センター,9012406,沖縄県中頭郡中城村字当間847番地1,098-988-0134,
沖縄県,八重瀬町,子育て支援センター「ぴっぴ」,9010401,沖縄県島尻郡八重瀬町字東風平1426番地20,098-840-7870,八重瀬町公式（子育て支援センターぴっぴ案内PDF）
沖縄県,南城市,子育て支援センター「にこにこ広場」,9011400,沖縄県南城市大里字仲間918番地1（大里こども園2階）,080-3377-0646,南城市公式（子育て支援センターにこにこ広場）
沖縄県,南風原町,南風原町地域子育て支援センター「ふくぎの家」,9011104,沖縄県島尻郡南風原町字宮平9番地（宮平保育所内）,098-889-3928,南風原町公式（地域子育て支援センター案内・ふくぎの家だより）
沖縄県,名護市,やまびこ保育園 子育て広場ヤッホーハウス,9050007,沖縄県名護市屋部1697番地1,080-6495-7875,名護市公式（地域子育て支援拠点センター）
沖縄県,嘉手納町,嘉手納町子育て支援センター『ひまわり』,9040203,沖縄県中頭郡嘉手納町字嘉手納290-9,098-956-2361,https://www.town.kadena.okinawa.jp/facility/shi35.html
沖縄県,沖縄市,あけぼの子育て支援センター,9040021,沖縄県沖縄市胡屋5-16-1 胡屋あけぼの保育所2階,098-933-9330,
沖縄県,沖縄市,たんぽぽ保育園 子育て支援センター たんぽぽ広場,9042142,沖縄県沖縄市登川1-33-3,098-938-9379,
沖縄県,浦添市,当山こども園子育てひろば「にこにこ」,9012104,沖縄県浦添市当山2-34-2,098-877-7876,浦添市公式（子育て支援センター・公立こども園子育て支援事業）
沖縄県,石垣市,大川保育所（こっこーま）,9070022,沖縄県石垣市大川70,0980-88-5219,石垣市公式（地域子育て支援）
沖縄県,糸満市,子育て支援センター「ぬくぬく」,9010314,沖縄県糸満市座波611（兼城こども園隣接）,098-852-3633,糸満市公式（子育て支援センターぬくぬく）
沖縄県,豊見城市,地域子育て支援センター「ぐっぴ～」,9010221,沖縄県豊見城市座安238番地（座安保育所隣）,098-850-9214,豊見城市公式（地域子育て支援センターぐっぴ～）
沖縄県,那覇市,あじゃ保育園 子育て支援センター「むるが家」,9000003,沖縄県那覇市安謝2-15-2,098-862-2584,
沖縄県,那覇市,あやめ保育園 子育て支援センター「南風」,9010152,沖縄県那覇市小禄4-11-14,098-858-2005,
沖縄県,那覇市,つどいの広場「てくてく」,9020063,沖縄県那覇市三原2-1-43,070-5813-8993,
沖縄県,那覇市,つどいの広場「わくわく」,9020067,沖縄県那覇市字安里381番地（栄町市場内）,098-886-6623,
沖縄県,那覇市,みどり保育園 子育て支援センター「なんくる家」,9030804,沖縄県那覇市首里石嶺町4-216-3,098-886-6044,
沖縄県,那覇市,久場川みらいこども園 子育て支援センター「はっぴぃ」,9030807,沖縄県那覇市首里久場川町2-18-10,098-887-4188,
沖縄県,那覇市,古波蔵児童館 つどいの広場「にこにこ」,9020075,沖縄県那覇市字国場1169-4,098-831-6786,
沖縄県,那覇市,国場児童館 つどいの広場「ソレイユ」,9020075,沖縄県那覇市国場353,098-855-2696,
