pref,city,name,zip,addr,phone,note
熊本県,上天草市,つどいの広場「ログ」,8693602,上天草市大矢野町上3148-163 みつる保育園内,0964-56-6455,
熊本県,上天草市,みんなのいえ,8616102,上天草市松島町合津1481-1 松島保育園内,0969-56-1380,
熊本県,上天草市,ママ応援センター,8693602,上天草市大矢野町上1539 大矢野自然休養村管理センター2階,0964-56-4300,
熊本県,上天草市,上天草市ママ応援センター,8693602,上天草市大矢野町上1539,,
熊本県,上天草市,上天草市姫戸町子育て支援センター(なかよし広場),8660101,上天草市姫戸町姫浦683番地2,,
熊本県,上天草市,上天草市子育て支援センターいちご広場,8693601,上天草市大矢野町登立9249-2 いずみ保育園内,,
熊本県,上天草市,姫戸町子育て支援センター（なかよし広場）,8660101,上天草市姫戸町姫浦683番地2 姫戸ひかり保育園内,0969-58-2246,
熊本県,上天草市,子育て支援センター いちご広場,8693601,上天草市大矢野町登立9249-2 いずみ保育園内,0964-56-2778,
熊本県,上益城郡山都町,山都町地域子育て支援センター,8613514,上益城郡山都町城原162-7,,
熊本県,上益城郡御船町,御船町子育て支援センター,8613207,上益城郡御船町御船779 御船昭和保育園内,,
熊本県,上益城郡甲佐町,甲佐町子育て支援センター「ふれあいクラブ」,8614622,上益城郡甲佐町上早川1128 竜野保育園内,,
熊本県,人吉市,ほっとステーション九ちゃんクラブ,8680015,人吉市下城本町1578番地1 カルチャーパレス2階,0966-32-9566,
熊本県,八代市,こどもプラザすくすく,8660861,八代市本町3丁目1-29 マックスバリュ八代店2F,0965-32-0404,
熊本県,八代市,こどもプラザわくわく,8660013,八代市沖町3987-3 イオン八代店2F,0965-30-7140,
熊本県,八代市,八代市ひまわり子育て支援センター,8660825,八代市井上町330 八代ひまわり保育園内,0965-34-7008,
熊本県,八代市,八代市北部子育て支援センター,8660012,八代市高小原町1507-1 しらぬい保育園内,0965-34-1056,
熊本県,八代市,八代市千丁子育て支援センター,8694703,八代市千丁町新牟田1357-3 千丁みどり保育所内,0965-45-0088,
熊本県,八代市,八代市南部子育て支援センター,8695163,八代市三江湖町1427 ひので保育園内,0965-33-2393,
熊本県,八代市,八代市子育て支援センター,8660063,八代市豊原上町2920-2-4 高田東部保育園内,0965-31-7468,
熊本県,八代市,八代市鏡子育て支援センター,8694222,八代市鏡町両出65-2 文政保育園内,0965-52-1219,
熊本県,南小国町,ぬくもり,8692401,阿蘇郡南小国町赤馬場1965-2 市原保育園内,0967-42-0135,
熊本県,南関町,南関町子育て支援センターメイプル,8610811,玉名郡南関町小原1821-1 南関こどもの丘保育園内,0968-53-6668,
熊本県,南阿蘇村,南阿蘇村子育て支援センター「わくわく広場」,8691400,南阿蘇村河陰145-3,0967-65-8580,
熊本県,合志市,つどいの広場 ぽっぽの部屋,8611116,合志市福原2922合志市総合センターヴィーブル内,096-247-3668,
熊本県,合志市,つどいの広場わかば,8611102,合志市須屋2273-2 このみ坂保育園内,096-247-6630,
熊本県,合志市,地域子育て支援センター,8611102,合志市須屋2251-1 保健福祉ｾﾝﾀｰふれあい館内,096-242-7000,
熊本県,合志市,子育て支援センター福音広場「ひかりの子」,8611115,合志市豊岡311-1 合志中部保育園内,096-248-0080,
熊本県,和水町,ピノッキオ,8650126,玉名郡和水町前原285-1番地 きくすい保育園内,0968-86-5655,
熊本県,和水町,和水町子育てひろば,8610913,玉名郡和水町板楠70番,0968-34-3111,
熊本県,嘉島町,嘉島町子育てひろば「あいあい」,8613100,嘉島町上島551,096-237-5559,
熊本県,多良木町,むつみ保育園子育て支援センター,8680501,多良木町多良木1581-2 むつみ保育園内,0966-42-5096,
熊本県,多良木町,光台寺保育園地域子育て支援センター,8680501,球磨郡多良木町多良木3326-1 光台寺保育園内,0966-42-3417,
熊本県,多良木町,地域子育て支援センターくろっ子広場,8680501,多良木町黒肥地1671-1 黒肥地保育園内,0966-42-2448,
熊本県,大津町,あぽり美咲野広場,8691233,大津町美咲野2丁目8番2号,096-294-7604,
熊本県,大津町,大津町子育て支援センター,8691233,大津町大字大津1156-3 大津町子育て・健診センター内,096-294-9511,
熊本県,天草市,かるがも,8631901,天草市牛深町1047-13 幸愛保育園かるがも館内,0969-72-2804,
