pref,city,name,zip,addr,phone,note
石川県,かほく市,うさちゃん親子広場（宇ノ気子育て支援センター）,929-1125,かほく市宇野気二110-1,076-283-4320,
石川県,かほく市,ピヨちゃん親子広場（高松子育て支援センター）,929-1215,かほく市高松ク20-2,076-281-3582,
石川県,かほく市,ラッコちゃん親子広場（七塚子育て支援センター）,929-1173,かほく市遠塚ロ57-6,076-285-2701,
石川県,かほく市,七塚子育て支援センター,9291173,かほく市遠塚口57-6,,
石川県,かほく市,宇ノ気子育て支援センター,9291125,かほく市宇野気ﾆ110-1,,
石川県,かほく市,高松子育て支援センター,9291215,かほく市高松ｸ20-2,,
石川県,かほく市,（木津幼稚園となり）,929-1171,かほく市木津ニ133番地,070-8786-7703,
石川県,七尾市,ななおあいじ子育て支援センター,9260022,七尾市天神川原町ﾛ32-1(ななおあいじ保育園内),0767-52-3508,
石川県,七尾市,のとじま子育て支援センター,9260212,七尾市能登島佐波町15-5(のとじま保育園内),0767-84-0123,
石川県,七尾市,ゆうかり子育て支援センター,9260175,七尾市和倉町3-24(和倉保育園内),0767-62-3360,
石川県,七尾市,チャイルドケアハウス小丸山,9260855,七尾市小丸山台1-82,,
石川県,七尾市,中島子育て支援センター,9292222,七尾市中島町中島乙39-1(中島保育園内),0767-66-1231,
石川県,七尾市,子育ちサロン いくたまの杜,926-0814,七尾市所口町ハ -47-1,0767-58-6358,
石川県,七尾市,小丸山子育て支援センター,926-0852,七尾市小島町イ58-1（小丸山認定こども園内）,0767-53-3700,
石川県,七尾市,田鶴浜子育て支援センター,929-2111,七尾市高田町マ部80番地,,
石川県,七尾市,親子ふれあいランド,926-0021,七尾市本府中町ヲ38（矢田郷地区コミュニティセンター1階）,0767-52-1476,
石川県,中能登町,とりやのの子ども園,929-1703,鹿島郡中能登町春木11-38,0767-74-0135,
石川県,中能登町,町立あおば保育園,929-1811,鹿島郡中能登町二宮カ部58,0767-76-8181,
石川県,内灘町,おひさま,920-0266,河北郡内灘町字大根布7-7（大根布保育園内）,076-255-3791,
石川県,内灘町,カンガルーム内灘,920-0272,河北郡内灘町字向陽台1-97,076-238-3233,
石川県,内灘町,トットちゃん,9200268,河北郡内灘町ﾊﾏﾅｽ2-18(内灘はまなす保育園内),076-286-0133,
石川県,内灘町,ニコニコ,920-0271,河北郡内灘町字鶴ケ丘1-52（誠美幼稚園内）,076-286-0255,
石川県,内灘町,事業実施施設一覧      55 ひまわりクラブ,920-0272,河北郡内灘町字向陽台1-145-1（向陽台保育園内）,076-237-2677,
石川県,内灘町,地域子育て支援拠点     54 なないろ,920-0269,河北郡内灘町白帆台2-130,,
石川県,内灘町,子育て支援センター ちどり,920-0277,河北郡内灘町字千鳥台4-143（千鳥台幼稚舎内）,076-255-0031,
石川県,内灘町,子育て支援センター）   56 ゆりかごルーム,920-0271,河北郡内灘町字鶴ケ丘5-1-191（鶴が丘こども園内）,076-255-1038,
石川県,内灘町,（白帆台保育園内）             （076）,286-5401,,076-286-5401,
石川県,加賀市,なかよしひろば,922-0412,加賀市片山津温泉井6,,
石川県,加賀市,なかよし広場,9220412,加賀市片山津温泉井6(いなみえんｸﾞﾘｰﾝﾊｳｽ内),,
石川県,加賀市,加賀市子育て支援センターすこやか,922-0411,加賀市潮津ソ1番地2（スワトン保育園内）,0761-74-2820,
石川県,加賀市,親子つどいの広場すまいる,922-0245,加賀市山代温泉山背台1-24-1,0761-76-1085,
石川県,加賀市,親子つどいの広場まんま,922-0012,加賀市下河崎町79番地2（親子ほっとステーション内）,0761-75-7933,
石川県,宝達志水町,宝達志水町子育て支援センター（どんぐり）,9291344,羽咋郡宝達志水町今浜えびすが丘31番地(相見保育所内),,
石川県,小松市,こばと保育園,923-0802,小松市上小松町乙62,0761-21-0173,
石川県,小松市,こまつ親子つどいの広場,923-0001,小松市大島町丙42-3（北部児童センター内）,0761-24-6102,
石川県,小松市,すくすくルーム,923-0303,小松市島町カ20,,
石川県,小松市,荒屋子育てセンター（通称ポプラの家）,923-0032,小松市荒屋町丁42-2,0761-25-1122,
石川県,川北町,町立川北保育所,9231200,能美郡川北町字土室丙129-1,076-277-1451,
石川県,志賀町,すばる幼稚園,925-0141,羽咋郡志賀町高浜町クの17番地6,0767-32-2640,
