pref,city,name,zip,addr,phone,note
神奈川県,三浦市,三浦市子育て支援センター,,三浦市南下浦町上宮田3190-1　上宮田小羊保育園内,046-888-5414,〒238-0101
神奈川県,中井町,中井町子育て支援センター,,足柄上郡中井町比奈窪137-2,0465-81-3365,〒259-0153
神奈川県,二宮町,二宮町中里子育てサロン,,中郡二宮町中里736-5,0463-71-5479,〒259-0131
神奈川県,二宮町,二宮町栄通り子育てサロン,,中郡二宮町二宮832-17,0463-71-1120,〒259-0123
神奈川県,伊勢原市,つどいの広場いせはら,,伊勢原市桜台1-36-5　大原保育園内,0463-74-5558,〒259-1132
神奈川県,伊勢原市,つどいの広場なるせ,,伊勢原市石田878－4 石田西集会所内,0463-74-5558,〒259-1116
神奈川県,伊勢原市,つどいの広場ひびた,,伊勢原市坪ノ内８０－１　比々多保育園内,0463-74-5558,〒259-1104
神奈川県,伊勢原市,伊勢原市子育て支援センター,,伊勢原市田中323　市役所分室１F,0463-95-8181,〒259-1142
神奈川県,南足柄市,南足柄市子育て支援センター,,南足柄市関本５６９番地 ヴェルミ２ ３階,0465-73-8850,〒250-0105
神奈川県,厚木市,ほっとれもんてぃ,,厚木市恩名1-10-38　あゆのこ保育園内,046-222-6055,〒243-0032
神奈川県,厚木市,厚木市子育て支援センターもみじの手,,厚木市中町２-12-15　アミューあつぎ８階,046-225-2922,〒243-0018
神奈川県,大井町,大井町子育て支援センター,,足柄上郡大井町金子2833　大井町ふれあい館１階,0465-82-6046,〒258-0019
神奈川県,大和市,大和市こどもーる中央林間,,大和市中央林間1-3-1　大和市北部文化・スポーツ・子育てセンター(市民交流拠点ポラリス),080-6742-5958,〒242-0007
神奈川県,大和市,大和市こどもーる大和,,大和市中央一丁目５番１４号,046-204-7021,〒242-0021
神奈川県,大和市,大和市こどもーる高座渋谷,,大和市渋谷6-6-1　イオン大和店3階,080-6561-4958,〒242-8610
神奈川県,大和市,大和市こどもーる鶴間,,大和市下鶴間1-2-1　イオンモール大和４階,090-3685-2288,〒242-0001
神奈川県,大和市,大和市子育て支援センター,,大和市柳橋2-11　大和市まごころ地域福祉センター2階,046-267-9985,〒242-0022
神奈川県,大磯町,大磯町横溝千鶴子記念子育て支援総合センター,,中郡大磯町国府新宿131,0463-71-3377,〒259-0112
神奈川県,大磯町,石坂巻子記念子育て支援センター,,中郡大磯町大磯387-3,0463-61-4150,〒255-0003
神奈川県,寒川町,寒川町子育て支援センター,,高座郡寒川町岡田7-3-3　こすもすの郷３階,0467-75-4571,〒253-0105
神奈川県,小田原市,いずみ子育て支援センター,,小田原市飯田岡382-2　城北タウンセンターいずみ3階,0465-37-9077,〒250-0854
神奈川県,小田原市,おだぴよ子育て支援センター,,小田原市城山1-6-32,0465-34-6181,〒250-0045
神奈川県,小田原市,こゆるぎ子育て支援センター,,小田原市羽根尾281-3　橘タウンセンターこゆるぎ3階,0465-43-0251,〒256-0804
神奈川県,小田原市,マロニエ子育て支援センター,,小田原市中里273-6　川東タウンセンターマロニエ1階,0465-48-8698,〒250-0872
神奈川県,山北町,山北町子育て支援センター,,足柄上郡山北町山北1971-2　健康福祉センター２階,0465-75-0818,〒258-0113
神奈川県,川崎市,地域子育て支援センターあいいく,,川崎市川崎区本町１-１-１ 夜間保育所あいいく内,044-222-7555,〒210-0001
神奈川県,川崎市,地域子育て支援センターあさだ,,川崎市川崎区浅田3-7-10　浅田こども文化センター内,044-223-6905,〒210‐0847
神奈川県,川崎市,地域子育て支援センターあすなろ,,川崎区日進町20ー3　ゆめいく日進町保育園内,044-221-7037,〒210-0024
神奈川県,川崎市,地域子育て支援センターおおしま,,川崎市川崎区大島4-17-2 川崎区保育・子育て総合支援センター内,044-244-7730,〒210-0834
神奈川県,川崎市,地域子育て支援センターおおと,,川崎市中原区上小田中２－２４－１　大戸こども文化センター内,070-5454-1415,〒211-0053
神奈川県,川崎市,地域子育て支援センターおかがみ,,川崎市麻生区岡上２７７ 　岡上こども文化センター内,044-281-3378,〒215-0027
神奈川県,川崎市,地域子育て支援センターおぐら,,川崎市幸区小倉5-17-59　小倉こども文化センター内,070-3608-8479,〒212-0054
神奈川県,川崎市,地域子育て支援センターかきお,,川崎市麻生区上麻生7‐18‐32　柿生こども文化センター内,050-3748-6651,〒215-0011
神奈川県,川崎市,地域子育て支援センターかじがや,,川崎市高津区梶ヶ谷４－１２梶ヶ谷小学校隣,044-866-0105,〒213-0015
神奈川県,川崎市,地域子育て支援センターかたひら,,川崎市麻生区片平５－２５－１　片平こども文化センター内,044-281-3560,〒215-0023
神奈川県,川崎市,地域子育て支援センターかみさくのべ,,川崎市高津区上作延１１４２－４　上作延こども文化センター内,070-5567-3839,〒213-0034
神奈川県,川崎市,地域子育て支援センターかるがも,,川崎市麻生区上麻生３－２２－１４　あさのみ保育園内,044-969-0225,〒215-0021
神奈川県,川崎市,地域子育て支援センターかんがるー,,川崎市幸区北加瀬1-31-5　どりーむ保育園内,044-580-3020,〒212-0057
神奈川県,川崎市,地域子育て支援センターさいわい,,川崎市幸区戸手本町１-１１-５　幸こども文化センター内,070-4561-5477,〒212-0023
神奈川県,川崎市,地域子育て支援センターしぼくち,,川崎市高津区子母口９８３　子母口こども文化センター内,070-6453-2700,〒213-0023
神奈川県,川崎市,地域子育て支援センターしんまるこ,,川崎市中原区新丸子町６９１－７　新丸子こども文化センター内,070-3343-9880,〒211-0005
神奈川県,川崎市,地域子育て支援センターすえなが,,川崎市高津区末長１２８９　末長こども文化センター内,070-6969-6936,〒213-0013
神奈川県,川崎市,地域子育て支援センターすがお,,川崎市宮前区菅生5-4-10,044-977-2051,〒216-0015
神奈川県,川崎市,地域子育て支援センターそよかぜ,,川崎市高津区久地３－１３－１　うめのき保育園内,044-829-1832,〒213-0032
神奈川県,川崎市,地域子育て支援センターたいら,,川崎市宮前区平２－１３－１　平こども文化センター内,070-5089-2051,〒216-0022
神奈川県,川崎市,地域子育て支援センターたじま,,川崎市川崎区田島町20番23　田島こども文化センター内,080-7616-5505,〒210-0853
神奈川県,川崎市,地域子育て支援センターたつのこのこ,,川崎市宮前区土橋４－７－１　たつのこのはら保育園内,044-920-9222,〒216-0005
神奈川県,川崎市,地域子育て支援センターたまご,,川崎市高津区溝口４－１９－２　みぞのくち保育園内,044-811-5763,〒213-0001
神奈川県,川崎市,地域子育て支援センターちとせやまゆり,,川崎市高津区千年９７０－１　ちとせ山ゆり保育園内,044-755-9211,〒213-0022
神奈川県,川崎市,地域子育て支援センターちゃちゃ,,川崎市中原区今井仲町３６９－１　茶々いまい保育園内,070-1323-3739,〒211-0065
神奈川県,川崎市,地域子育て支援センターちよがおか,,川崎市麻生区千代ヶ丘1-20-60　千代ヶ丘 こども文化センター内,080-3460-0694,〒215-0005
神奈川県,川崎市,地域子育て支援センターつちはし,,川崎市宮前区土橋2-14-1　宮前区保育・子育て総合支援センター内,044-855-1751,〒216-0005
神奈川県,川崎市,地域子育て支援センターできの,,川崎市川崎区出来野６－７　出来野ルーテル保育園内,044-201-1146,〒210-0825
神奈川県,川崎市,地域子育て支援センターとのまち,,川崎市川崎区殿町1丁目18番13　殿町こども文化センター内,044-201-6322,〒210-0821
神奈川県,川崎市,地域子育て支援センターとも,,川崎市中原区下新城１－１５－３　田園調布学園大学みらいこども園内,044-751-9000,〒211-0042
神奈川県,川崎市,地域子育て支援センターなかのしま,,川崎市多摩区中野島４－２２－７　中野島こども文化センター内,090-4203-4897,〒214-0012
神奈川県,川崎市,地域子育て支援センターなかはら,,川崎市中原区小杉陣屋町2-3-1　中原区保育・子育て総合支援センター内,044-733-5122,〒211-0062
神奈川県,川崎市,地域子育て支援センターにしかせ,,川崎市中原区西加瀬10-5　西加瀬こども文化センター内,080-3082-2407,〒211-0024
神奈川県,川崎市,地域子育て支援センターにしきがおか,,川崎市多摩区栗谷３－２８－２　錦ヶ丘こども文化センター内,080-6702-4177,〒214-0039
神奈川県,川崎市,地域子育て支援センターのがわ,,川崎市宮前区野川３１８２－１　野川こども文化センター内,070-5020-6458,〒216-0001
神奈川県,川崎市,地域子育て支援センターひがしたかつ,,川崎市高津区下野毛１－３－２　東高津こども文化センター内,070-6451-2700,〒213-0006
神奈川県,川崎市,地域子育て支援センターひらま,,川崎市中原区上平間１３２３　平間こども文化センター内,080-7605-7295,〒211-0013
神奈川県,川崎市,地域子育て支援センターふるいちば,,川崎市幸区古市場1-1-1,044-533-3378,〒212-0052
神奈川県,川崎市,地域子育て支援センターぶるーべりー,,川崎市幸区鹿島田1-21-8　ふくじゅ保育園内,044-201-8083,〒212-0058
神奈川県,川崎市,地域子育て支援センターますがた,,川崎市多摩区枡形６－３－１　枡形こども文化センター内,080-9868-4676,〒214-0032
神奈川県,川崎市,地域子育て支援センターみなみすげ,,川崎市多摩区菅馬場３－２６－１　南菅こども文化センター内,080-6702-4183,〒214-0004
神奈川県,川崎市,地域子育て支援センターみなみゆりがおか,,川崎市麻生区王禅寺西1-26-2　南百合丘小学校隣り,044-966-2239,〒215-0017
神奈川県,川崎市,地域子育て支援センターみやうち,,川崎市中原区宮内３－４－３　宮内こども文化センター内,070-6459-2700,〒211-0051
神奈川県,川崎市,地域子育て支援センターみやざき,,川崎市宮前区宮崎１－７　宮崎こども文化センター内,070-5024-8525,〒216-0033
神奈川県,川崎市,地域子育て支援センターゆずりは,,川崎市幸区戸手2-12-10　かわの風保育園内,044-542-8133,〒212-0005
神奈川県,川崎市,地域子育て支援センターゆりの音（ね）,,川崎市麻生区百合丘１－１８－３至誠館ゆりがおか保育園内,044-966-8855,〒215-0011
神奈川県,川崎市,地域子育て支援センターろば,,川崎市川崎区桜本1丁目5番6　ふれあい館・桜本こども文化センター内,044-276-4800,〒210-0833
