pref,city,name,zip,addr,phone,note
福井県,あわら市,あわら市子育て支援センター,9104115,あわら市国影13-13(市総合福祉施設内),0776-77-1163,
福井県,あわら市,こぐまクラブ,910-4124,あわら市田中々3-7-6,0776-78-7885,
福井県,おおい町,佐分利子育て支援センター,9192125,大飯郡おおい町石山20-14(佐分利保育園内),0770-78-1260,
福井県,おおい町,名田庄子育て支援センター,9170371,大飯郡おおい町名田庄小倉16-10-4(名田庄保育園内),0770-67-2236,
福井県,おおい町,大島子育て支援センター,9192101,大飯郡おおい町大島60-26(大島保育園内),0770-77-0210,
福井県,おおい町,本郷子育て支援センター,9192111,大飯郡おおい町本郷110-5(本郷保育園内),0770-77-4152,
福井県,三方上中郡若狭町,梅の里子育て支援センター,9191462,三方上中郡若狭町田井24-2-2(梅の里保育園内),,
福井県,丹生郡越前町,はぎの保育園子育て支援センター,9160202,丹生郡越前町細野73(はぎの保育園内),,
福井県,勝山市,勝山市地域子育て支援センター,911-0811,勝山市片瀬町1-402,0779-87-3830,
福井県,勝山市,勝山市地域子育て支援センター「カンガルーのお部屋」,9110811,勝山市片瀬町1丁目402(勝山市市民交流ｾﾝﾀｰ内),,
福井県,南越前町,今庄子育て支援センター「わかば」,9190131,南条郡南越前町今庄28-10-2(今庄なないろこども園内),0778-45-0788,
福井県,南越前町,南条子育て支援センター,9190292,南条郡南越前町東大道23-14-4 南条こども園内,0778-47-2411,
福井県,南越前町,河野子育て支援センター,9151113,南条郡南越前町甲楽城16-1-27(河野児童館内),0778-48-2321,
福井県,吉田郡永平寺町,松岡地区子育て支援センター,9101142,吉田郡永平寺町松岡兼定島38-6(御陵幼児園内),,
福井県,坂井市,つどいの広場 キッズハウスゆり,919-0473,坂井市春江町本堂27-1-1,0776-51-8850,
福井県,坂井市,もみじアソビーノサロン,9100325,坂井市丸岡町板倉45-9(もみじ保育園内),0776-67-6760,
福井県,坂井市,キッズハウスゆり,9190473,坂井市春江町本堂27-1-1,,
福井県,坂井市,ハーツきっずはるえひよこるーむ,9190413,坂井市春江町随応寺25-1(ﾊｰﾂはるえ併設),10,
福井県,坂井市,三国子育て支援センター らっこルーム,913-0047,坂井市三国町運動公園1-4-1,0776-81-6550,
福井県,坂井市,丸岡子育て支援センター,9100224,坂井市丸岡町八ｹ郷21-7-1(いきいきﾌﾟﾗｻﾞ霞の郷内),,
福井県,坂井市,丸岡子育て支援センター ピュアHOTルーム,910-0301,坂井市丸岡町八ケ郷21-7-1,0776-67-4157,
福井県,坂井市,坂井子育て支援センター,9190522,坂井市坂井町上新庄28-5-3(坂井健康ｾﾝﾀｰ内),,
福井県,坂井市,坂井子育て支援センター にこにこルーム,919-0522,坂井市坂井町上新庄28-5-3,0776-68-4188,
福井県,大野市,大野市地域子育て支援センター,9120084,大野市天神町1-19(結とぴあ内),0779-65-7188,
福井県,大野市,子育て交流広場 「ちっくたっく」,912-0071,大野市鍬掛17-17-1,0779-66-3775,
福井県,小浜市,そらのとり広場,917-0024,小浜市和久里33-6,0770-56-5677,
福井県,小浜市,はましんわくわくステーションわくわく広場,9170069,小浜市小浜白鬚112,,
福井県,小浜市,わくわく広場,917-0241,小浜市遠敷9丁目501 ハーツタウンわかさ2階,0770-56-4880,
福井県,小浜市,エンジェル広場,917-0072,小浜市千種二丁目9-22,0770-52-0995,
福井県,小浜市,小浜市子育て支援センター,917-0025,小浜市木崎14-1-1,0770-56-3386,
福井県,小浜市,小浜市浜っ子こども園子育て支援室,9170081,小浜市川崎1丁目4-3,0770-52-0142,
福井県,敦賀市,おやこきらりんひろば,914-0121,敦賀市野神1-74,0770-24-7517,
福井県,敦賀市,敦賀市子育て総合支援センター,9140051,敦賀市本町2丁目5-20,0770-22-0147,
福井県,敦賀市,敦賀市粟野子育て支援センター,9140122,敦賀市新和町1丁目3番10号,0770-25-5647,
福井県,永平寺町,上志比子育て支援センター,9101313,吉田郡永平寺町石上28-35(上志比保健ｾﾝﾀｰ内),0776-64-3100,
福井県,永平寺町,松岡子育て支援センター,910-1142,吉田郡永平寺町松岡吉野堺15-44,0776-61-0750,
福井県,永平寺町,永平寺子育て支援センター,910-1212,吉田郡永平寺町東古市10-5,0776-63-3113,
福井県,池田町,池田町子育て支援センター,9102516,今立郡池田町山田20-16-1(いけだ保育所内),0778-44-8181,
福井県,福井市,AOSSA子ども家庭センター子育て支援室,9100858,福井市手寄1丁目4-1(ｱｵｯｻ内),,
福井県,福井市,AOSSA子ども家庭センター子育て支援室・相談室,910-0858,福井市手寄1丁目4-1アオッサ5階,0776-20-1540,
福井県,福井市,おやこの広場「あ・の・ね」,9100017,福井市文京1丁目26-10(福井市ｼﾙﾊﾞｰ人材ｾﾝﾀｰﾜｰｸﾌﾟﾗｻﾞ内),0776-27-0801,
福井県,福井市,きのこルーム,9103143,福井市砂子坂町5-58(たけのこ児童館内),0776-83-0160,
福井県,福井市,すくすくキッズ,9103604,福井市ｸﾞﾘｰﾝﾊｲﾂ1丁目128(清水台保育園内),0776-98-2135,
福井県,福井市,たんぽぽ広場,9188035,福井市江守の里2丁目119,0776-35-7517,
福井県,福井市,ぱんだルーム,9188105,福井市木田1丁目1406,0776-36-0063,
福井県,福井市,ひよこ広場,9188052,福井市明里町9-1,0776-36-0064,
福井県,福井市,ぴょんぴょんルーム,9102347,福井市境寺町36-3(みやま保育園内),0776-90-1362,
福井県,福井市,ハーツきっず学園ひよこるーむ,9100028,福井市学園2丁目9-22(ﾊｰﾂ学園2階),0120-17-3415,
福井県,福井市,ハーツきっず志比口ひよこるーむ,9100845,福井市志比口2丁目11-13(ﾊｰﾂ志比口2階),0120-39-3415,
福井県,福井市,ハーツきっず羽水 ひよこるーむ,918-8114,福井市羽水1丁目117,0120-82-3415,
福井県,福井市,赤とんぼ,9103622,福井市風巻町28-8-1,,
福井県,美浜町,美浜町子ども・子育てサポートセンター,919-1141,三方郡美浜町郷市25-20,0770-32-0192,
福井県,若狭町,三方子育て支援センター,9191333,三方上中郡若狭町中央1-5(若狭町三方保健ｾﾝﾀｰ内),0770-62-2704,
福井県,若狭町,梅の里保育園 にこにこひろば,919-1462,三方上中郡若狭町田井24-2-2,0770-46-1030,
福井県,若狭町,若狭子育て支援センター,9191541,三方上中郡若狭町市場18-18(ﾊﾟﾚｱ若狭内),0770-62-2704,
福井県,越前市,地域子育て支援センター ハーツきっずたけふ,915-0805,越前市芝原四丁目6-21,0120-54-3415,
福井県,越前市,地域子育て支援センター ピノキオ,915-0071,越前市府中一丁目11-2,090-9761-9436,
福井県,越前市,地域子育て支援センターいまだて,9150242,越前市粟田部町46-2(認定こども園あわたべ内),0778-42-2511,
福井県,越前市,地域子育て支援センターフォルマシオーン,9150084,越前市村国一丁目9-8(国高保育園内),0778-23-6318,
福井県,越前市,地域子育て支援センター一陽,9150832,越前市行松町第26号2番地の2,090-3764-0862,
福井県,越前市,（ＮＰＯ）子どもセンターピノキオ,9150071,越前市府中1丁目11-2(福祉健康ｾﾝﾀｰ内),,
福井県,越前町,はぎの子育て支援センター,916-0202,丹生郡越前町細野73-2,0778-36-0396,
福井県,越前町,宮崎子育て支援センター,9160255,丹生郡越前町江波76-5-1(宮崎児童館),0778-32-2323,
福井県,越前町,朝日子育て支援センター,9160141,丹生郡越前町気比庄60-43 朝日児童ｾﾝﾀｰ内,0778-34-7123,
福井県,越前町,織田子育て支援センター,916-0215,丹生郡越前町織田109-55,0778-36-2232,
福井県,越前町,越前子育て支援センター,9160311,丹生郡越前町梅浦60-15-3(四ヶ浦保育園内),0778-37-0900,
福井県,高浜町,子育て支援センター にこにこ広場,919-2226,大飯郡高浜町立石15-18,0770-50-9050,
福井県,高浜町,高浜町子育て支援センター,9192201,大飯郡高浜町和田117-68(高浜町保健福祉ｾﾝﾀｰ内),0770-72-6154,
福井県,鯖江市,鯖江市子育て支援センター,9160027,鯖江市本町4-6-17,0778-51-3527,
