pref,city,name,zip,addr,phone,note
福岡県,うきは市,うきは地域子育て支援センター「遊林ランド」,8391406,うきは市浮羽町高見679-2,0943-77-4336,地域子育て支援拠点
福岡県,うきは市,うきは市地域子育て支援センター「こども交流室」,8391321,うきは市吉井町347-1,0943-75-5530,地域子育て支援拠点
福岡県,みやこ町,「ぴよぴよキッズ」,8240800,みやこ町豊津2174番地1「すどりの里」,0930-33-4152,地域子育て支援拠点
福岡県,みやこ町,「バンビーノ」,8240800,みやこ町勝山黒田849番地「認定こども園　太陽の森」,0930-32-2176,地域子育て支援拠点
福岡県,みやこ町,みやこ町子育て支援センター 「なかよしキッズ」,8240800,みやこ町犀川古川50番地「いこいの里」,0930-42-0733,地域子育て支援拠点
福岡県,みやま市,つどいの広場（みやま市）,8350000,―,―,地域子育て支援拠点
福岡県,上毛町,上毛町子育て支援ｾﾝﾀｰ,8710900,上毛町大字東下1512番地,0979-72-3130,地域子育て支援拠点
福岡県,中間市,ハピネス中間,8090018,中間市通谷1丁目36-10,093-245-8686,地域子育て支援拠点
福岡県,中間市,子育て支援センターくるり,8090014,中間市蓮花寺3-1-3,093-245-5557,地域子育て支援拠点
福岡県,久山町,久山町子育て支援センター「木子里」,8112500,久山町大字久原1701番地１,092-976-3438,地域子育て支援拠点
福岡県,久留米市,三潴子育て支援センター,8300112,久留米市三潴町玉満1938,0942-65-2255,地域子育て支援拠点
福岡県,久留米市,信愛つどいの広場,8390851,久留米市御井町2278−1,0942-43-4532,地域子育て支援拠点
福岡県,久留米市,児童センター,8300031,久留米市六ツ門町3−11,0942-35-3809,地域子育て支援拠点
福岡県,久留米市,北野子育て支援センター,8301104,久留米市北野町大城121−1,0942-78-7222,地域子育て支援拠点
福岡県,久留米市,善導寺子育て支援センター,8390824,久留米市善導寺町飯田562,0942-47-2021,地域子育て支援拠点
福岡県,久留米市,城島子育て支援センター,8300211,久留米市城島町楢津743−2,0942-62-2341,地域子育て支援拠点
福岡県,久留米市,子育て交流プラザくるるん,8300033,久留米市天神町8番地,0942-34-5571,地域子育て支援拠点
福岡県,久留米市,松柏子育て支援センター,8390862,久留米市野中町690,0942-33-5360,地域子育て支援拠点
福岡県,久留米市,江南子育て支援センター,8300042,久留米市荘島町11−1,0942-33-4441,地域子育て支援拠点
福岡県,久留米市,田主丸子育て支援センター,8391232,久留米市田主丸町常盤1111−1,0943-72-4550,地域子育て支援拠点
福岡県,久留米市,白峯子育て支援センター,8390813,久留米市山川市ノ上町3−33,0942-43-5200,地域子育て支援拠点
福岡県,久留米市,荒木子育て支援センター,8300063,久留米市荒木町荒木1484,0942-26-0064,地域子育て支援拠点
福岡県,八女市,出張ひろば　「トゥインクル」,8340201,"八女市星野村１０７７５番地１４  
総合保健センター「そよかぜ」内",090-3320-2196,地域子育て支援拠点
福岡県,八女市,子育て支援施設　「きらきら」,8340085,八女市立花町北山2747番地5,0943-24-9090,地域子育て支援拠点
福岡県,八女市,子育て支援施設　「ピコロ」,8341216,八女市黒木町桑原207番地,0943-42-3301,地域子育て支援拠点
福岡県,八女市,"子育て支援総合施設
やめっこ未来館「みらい広場」",8340047,八女市稲富４９９番地,0943-24-8814,地域子育て支援拠点
福岡県,北九州市八幡東区,八幡東さくら保育所（北九州市）,8050000,八幡東区祇園一丁目5番1号,093-663-5885,地域子育て支援拠点
福岡県,北九州市八幡東区,八幡東区親子ふれあいルーム,8050000,八幡東区中央一丁目2番4号,093-661-1112,地域子育て支援拠点
福岡県,北九州市八幡西区,八幡西区親子ふれあいルーム,8060000,八幡西区黒崎三丁目15番3号,093-645-6226,地域子育て支援拠点
福岡県,北九州市八幡西区,子どもの館,8060000,八幡西区黒崎三丁目15番3号 COM CITY７階,093-642-5555,地域子育て支援拠点
福岡県,北九州市小倉北区,子育てふれあい交流プラザ,8020000,小倉北区浅野三丁目８番１号 AIMビル３階,093-522-4150,地域子育て支援拠点
福岡県,北九州市小倉北区,小倉北区親子ふれあいルーム,8020000,小倉北区大手町1番1号,093-581-1886,地域子育て支援拠点
福岡県,北九州市小倉南区,北方地域子育て支援センター,8020000,小倉南区北方三丁目50番2号,093-931-4623,地域子育て支援拠点
