pref,city,name,addr,phone,note
福島県,いわき市,いわき市内郷子育て支援センター,いわき市内郷高坂町四方木田188,0246-26-0452,
福島県,いわき市,いわき市総合保健福祉センター内プレイルーム,いわき市内郷高坂町四方木田191,0246-27-8599,
福島県,いわき市,こども元気センター,いわき市植田町本町1-12,0246-63-2884,
福島県,いわき市,カンガルーひろば,いわき市平字菱川町1-3,0246-21-3733,
福島県,いわき市,チャイルドハウスふくまる,いわき市四倉町字5-218-1,0246-88-9940,
福島県,いわき市,小名浜児童センター,いわき市小名浜寺廻町10-3,0246-53-3695,
福島県,三春町,三春町地域子育て支援センター,三春町字大町７－１,0247-62-0555,
福島県,下郷町,下郷町地域子育て支援センター,下郷町大字豊成字林中6110-3,0241-69-1137,
福島県,二本松市,地域子育て支援センターDen,二本松市油井字鶴巻138番地,0243-24-6745,
福島県,二本松市,地域子育て支援センターぷらす,二本松市油井字石倉80-1,0243-24-8347,
福島県,二本松市,岩代地域小浜子育て支援センター,二本松市小浜字藤町283,0243-55-2124,
福島県,二本松市,東和地域子育て支援センター,二本松市針道字大町西46-7,0243-24-8125,
福島県,伊達市,伊達子育て支援センター,伊達市箱崎川端7,070-7547-4984,
福島県,伊達市,伊達市子育て支援センター,伊達市梁川町字山城舘7-1,024-577-0345,
福島県,伊達市,保原中央子育て支援センター,伊達市保原町大泉字道城場84-1,024-563-3089,
福島県,伊達市,保原北子育て支援センター,伊達市保原町大泉字前原内246-1,024-529-7611,
福島県,伊達市,保原南子育て支援センター,伊達市保原町上保原字上ノ原22-2,024-573-0947,
福島県,伊達市,霊山子育て支援センター,伊達市霊山町掛田字北谷津7-3,024-586-3725,
福島県,会津坂下町,会津坂下町子育てふれあい交流センター,会津坂下町大字福原字福川原913,0242-84-1784,
福島県,会津美里町,会津美里町子育て支援センター,会津美里町字東川原3281,0242-54-6648,
福島県,会津若松市,あいづ博愛こども園,会津若松市本町8-40,0242-27-3636,
福島県,会津若松市,いちごランド,会津若松市宝町2-16,0242-27-3945,
福島県,会津若松市,すくすく園子育て支援センター,会津若松市東千石二丁目4-15,0242-28-4131,
福島県,会津若松市,つるが保育園子育て支援センター,会津若松市居合町8-48,0242-24-6334,
福島県,会津若松市,とうみょう 子育て支援・地域支援センター「いどばた」,会津若松市大町2-1-45,0242-25-3636,
福島県,会津若松市,ひよこちゃんクラブ,会津若松市門田町大字中野字屋敷191-3,0242-26-3144,休止中
福島県,会津若松市,みなみ若葉こども園,会津若松市門田町大字日吉字小金井63,0242-27-8911,
福島県,会津若松市,やまがみらいこども園子育て支援センター,会津若松市山鹿町4-37,0242-27-1647,
福島県,会津若松市,わんぱくらんど,会津若松市滝沢町4-26,0242-24-9272,
福島県,会津若松市,アップル子育て支援センター,会津若松市中町3-20,0242-26-3555,
福島県,会津若松市,ピョン太の広場,会津若松市門田町大字面川字舘堀74,0242-28-0216,
福島県,会津若松市,中央保育所子育て支援センター,会津若松市花春町2-1,0242-27-3370,
福島県,会津若松市,会津報徳保育園子育て支援センター,会津若松市材木町一丁目3-15,0242-27-2805,休止中(R6.4.1再開)
福島県,会津若松市,南町こども園子育て支援センター,会津若松市南花畑2-7,0242-27-1965,
福島県,会津若松市,地域子育て支援センター「かむかむ＆よむよむ」,会津若松市西栄町1-52,0242-28-1514,
福島県,会津若松市,子育て支援センターなのはな,会津若松市門田町大字黒岩字大坪68-1,0242-28-0772,
福島県,会津若松市,学校法人白梅認定こども園榎の木ひがしぎょうにん幼稚園アリスルーム,会津若松市千石町８－１６,0242-32-6386,
福島県,会津若松市,広田保育所子育て支援センター,会津若松市河東町広田字横堀15,0242-7 5-2155,
福島県,会津若松市,慈光第二こども園,会津若松市東年貢二丁目７－３,0242-27-3114,
福島県,会津若松市,木育広場もくれん,会津若松市町北町大字上荒久田字石尻216,0242-23-7178,
福島県,会津若松市,若松第一保育園子育て支援センター,会津若松市日新町16-36,0242-27-9271,
福島県,会津若松市,若松第三保育園子育て支援センター,会津若松市城前9-6,0242-27-1479,
福島県,会津若松市,菅原若葉こども園,会津若松市柳原町４－５－２０,0242-26-2384,
福島県,会津若松市,認定こども園こばとらんど,会津若松市町北町大字上荒久田字石尻107,0242-24-5810,
福島県,会津若松市,認定こども園会津若葉幼稚園,会津若松市湯川町３－74,0242-27-5195,
福島県,会津若松市,認定こども園北会津こどもの村幼保園子育て支援センター,会津若松市北会津町中荒井字山道4-1,0242-23-8585,
福島県,会津若松市,認定こども園子どもの森子育て支援センター,会津若松市一箕町大字亀賀字北柳原42-1,0242-85-7761,
福島県,会津若松市,認定こども園若松第一幼稚園 子育て支援センター「つばめっこ」,会津若松市中央一丁目1-5,0242-22-1835,休止中(R6.4.10再開)
福島県,会津若松市,認定こども園若松第三幼稚園,会津若松市湯川町３－53,0242-27-2747,
福島県,会津若松市,認定こども園若松第二幼稚園星の子ランド,会津若松市日新町8-26,0242-36-7081,
福島県,南会津町,つどいの広場,南会津町永田字枇杷影1-1,0241-62-9703,
福島県,南会津町,びわのかげ子育て支援センター,南会津町永田字枇杷影1-1,0241-62-9703,
福島県,南会津町,田島保育園子育て支援センター,南会津町田島字向川原甲1210-114,0241-62-1046,
福島県,南相馬市,かしま子育て支援センター,南相馬市鹿島区山下字中ノ内273-1（旧上真野幼稚園内）,0244-47-2147,
福島県,南相馬市,原町子育て支援センター,南相馬市原町区東町三丁目7-4（旧原町あずま保育園内）,0244-24-4558,
福島県,只見町,只見町子育て世代包括支援センター,只見町大字長浜字久保田31,0241-84-7005,
福島県,喜多方市,地域子育て支援センター「きらり広場」,喜多方市塩川町小府根字蓮沼24-1,0241-23-7571,
福島県,喜多方市,地域子育て支援センター「にじ」,喜多方市字石田4041-2,0241-21-1303,
福島県,喜多方市,地域子育て支援センター「のびやかルーム」,喜多方市塩川町字古戸城451-3,0241-28-1150,
福島県,喜多方市,子どもステーション,喜多方市字稲清水２３３３-１アイデミきたかた１F,0241-22-5577,
福島県,国見町,国見町地域子育て支援センター藤田保育所,国見町大字山崎字舘東12-1,024-585-2374,
福島県,天栄村,わんぱく広場,天栄村大字下松本字東田23,0248-82-3800,
福島県,富岡町,富岡町子育て支援センター,富岡町大字小浜字大膳町152,0240-22-2358,
福島県,小野町,おのまち認定こども園,小野町大字谷津作字谷津98-1,0247-73-8321,
福島県,小野町,小野町子育て世代包括支援センター,小野町大字小野新町字中通2,0247-72-2212,
福島県,川俣町,かわまた認定こども園,川俣町字川原田46,024-572-6188,
福島県,川俣町,子育てほっとステーション,川俣町字樋ノ口12,024-566-2111,
福島県,平田村,平田村こども家庭センター「あるくす」,平田村大字永田字広町34,0247-55-3119,"ひらたこども園内
子育て支援室"
福島県,広野町,広野町子育て世代包括支援センター,広野町大字下北迫字苗代替35,0240-27-2115,
福島県,新地町,新地町児童館,新地町小川字北原15番地の1,0244-62-4432,
福島県,本宮市,さくらんぼひろば,本宮市本宮字中條16,0243-34-5270,
福島県,本宮市,本宮市五百川幼保総合施設 地域子育て支援センター,本宮市荒井字山神23-1,0243-33-4370,
福島県,本宮市,本宮市民元気いきいき応援プラザ「えぽか」,本宮市本宮字千代田60-1,0243-63-2780,
福島県,桑折町,桑折町地域子育て支援センター,桑折町大字上郡字弁慶20-1,024-582-1133,R7.3.31廃止
福島県,棚倉町,棚倉町子どもセンター,棚倉町大字棚倉字城跡３４－１,0247-57-5310,
福島県,楢葉町,楢葉町子育て支援センター,楢葉町大字北田字中満296-1,0240-26-0808,
福島県,浅川町,にこにこ広場,浅川町大字簑輪字坂前137,0247-36-4123,
福島県,猪苗代町,子育てサロン日向ぼっこ,猪苗代町字五百苅132-2,0242-62-5167,
福島県,田村市,田村市子育て支援センター,田村市船引町船引字下川原1-18,0247-82-1510,
福島県,田村市,認定こども園 わかくさ,田村市船引町船引字平舘66,0247-82-4111,
福島県,白河市,おひさまひろば,白河市本町2 マイタウン白河内,0248-27-2090,
福島県,白河市,たんぽぽサロン,白河市久田野城内31 サンフレッシュ白河内,0248-21-7337,
福島県,白河市,ひがし子育て広場,白河市東釜子狐内47 東図書館内,0248-27-2090,
福島県,白河市,大信子育て広場,白河市大信町屋字沢田18 大信保健センター,0248-27-2090,
福島県,相馬市,相馬愛育園,相馬市中野字清水172-2,0244-36-5591,
福島県,矢吹町,矢吹町子育て支援センターにこにこひろば,矢吹町小松14,0248-21-8722,
福島県,矢祭町,カンガルーくらぶ,矢祭町大字中石井字御殿川原１,0247-34-1050,
福島県,石川町,いしかわスキッズひろば,石川町字関根165番地,0247-26-9150,"文教複合施設
モトガッコ内"
福島県,福島市,あいあい子育て支援センター,福島市松川町字石合町19-1,090-7424-2838,
福島県,福島市,あすなろ子育て支援センター,福島市田沢字姥懐3-1,024-549-1280,
福島県,福島市,あづま子育て支援センター,福島市笹木野字下屋敷46-3,024-557-3366,
福島県,福島市,あゆみ子育て支援センター,福島市南矢野目字中屋敷62-1,024-555-6810,
福島県,福島市,いいざか子育て支援センター,福島市飯坂町字桜下１１－９,024-597-6679,
福島県,福島市,おかやま子育て支援センター,福島市岡部字倉ノ内89,024-535-8846,
福島県,福島市,こじか子育て支援センター,福島市方木田字前白家9-12,024-545-7675,
福島県,福島市,ごうのめ子育て支援センター,福島市郷野目字上１４,024- 563-4740,
福島県,福島市,さくらみなみ子育て支援センター,福島市平石字堰ノ上34,024-546-2844,
福島県,福島市,さくらんぼ子育て支援センター,福島市野田町五丁目4-50,024-597-6309,
福島県,福島市,さくら子育て支援センター,福島市渡利字大豆塚7,024-563-7222,
福島県,福島市,さゆり子育て支援センター,福島市上野寺字東1-1,024-533-1013,
福島県,福島市,せのうえ子育て支援センター,福島市瀬上町字寺後6,024-553-5390,
福島県,福島市,たんぽぽ第二子育て支援センター,福島市泉字仲田8-9,024-555-0045,
福島県,福島市,ちゅうりっぷ子育て支援センター,福島市大森字日蔭92,024-545-8718,
福島県,福島市,とやの子育て支援センター,福島市鳥谷野字梅ノ木内15,024-545-2832,
福島県,福島市,にわさか子育て支援センター,福島市町庭坂字呑塚28,024-591-5340,
福島県,福島市,ふくしま信陵子育て支援センター,福島市北沢又字上日行壇3-43,024-563-4005,
福島県,福島市,ほくしん子育て支援センター,福島市北矢野目字江下2-1,024-552-2774,
福島県,福島市,ゆかり子育て支援センター,福島市丸子字沢目42-1,024-552-1315,
福島県,福島市,わかば子育てセンター,福島市浜田町4-5,024-525-6449,
福島県,福島市,三育子育て支援センター,福島市笹谷字城場6-2,024-558-3319,
福島県,福島市,子育て支援センターみんなの家＠ふくしま,福島市笹谷字清水１４－１２,024-572-4690,
福島県,西会津町,西会津町子育て支援センター,耶麻郡西会津町尾野本字新森野53,0241-45-4332,
福島県,西郷村,つどいの広場,西郷村大字熊倉字折口原96-1,0248-25-5454,
福島県,西郷村,子ども子育ち応援センター,西郷村大字真船字芝原530番地1,080-6046-0257,
福島県,郡山市,北部地域子育て支援センター,郡山市富久山町久保田字伊賀河原44-1,024-924-0055,
福島県,郡山市,南部地域子育て支援センター,郡山市安積町荒井字南赤坂268-2,024-945-2404,
福島県,郡山市,東部地域子育て支援センター,郡山市緑ヶ丘東三丁目2-1,024-943-0411,
福島県,郡山市,西部地域子育て支援センター,郡山市大槻町字宮ノ前78-4,024-951-7800,
福島県,郡山市,郡山市こども総合支援センター,郡山市桑野一丁目2-3,024-924-2525,
福島県,鏡石町,つどいの広場,鏡石町東町286,0248-62-7278,
福島県,鏡石町,岡ノ内保育園,鏡石町岡ノ内14-8,0248-62-7068,
福島県,鏡石町,認定こども園 ぶどうの木,鏡石町前山72,0248-92-3213,
福島県,鏡石町,認定こども園こどもの杜岡ノ内幼稚園,鏡石町岡ノ内556,0248-62-5035,
福島県,須賀川市,プリムラこども園子育て支援センター「にこにこひろば」,須賀川市森宿字安積田184-1,0248-76-4218,
福島県,須賀川市,大東こども園子育て支援センター,須賀川市雨田字高屋敷8-1,0248-79-3318,
福島県,須賀川市,天泉こども園子育て支援センター「つぼみ」,須賀川市上北町18,0248-76-1653,
福島県,須賀川市,白江こども園子育て支援センター,須賀川市大久保字室貫26,0248-65-2177,
福島県,須賀川市,白鳩保育園子育て支援センター「ぽっぽクラブ」,須賀川市南町170,0248-73-4541,
福島県,須賀川市,認定こども園くるみの木 子育て支援センター「くるみ」,須賀川市日向町194,0248-94-2129,
福島県,須賀川市,長沼こども園子育て支援センター,須賀川市長沼字南延命寺1,0248-94-2047,
福島県,須賀川市,須賀川市民交流センター こどもセンター内子育て支援センター,須賀川市中町4番地1,0248-76-6687,
福島県,鮫川村,鮫川村地域子育て支援センター,鮫川村大字赤坂西野字酒垂3-3,0247-29-1010,
