pref,city,name,addr,phone,note
秋田県,三種町,三種町子育て支援センター,山本郡三種町豊岡金田字森沢1-2（みっしゅ）,0185-74-7758,
秋田県,五城目町,五城目町地域子育て支援センターこどもの木,五城目町字羽黒前76-1(もりやまこども園),018-852-3805,
秋田県,井川町,わいわい広場さくらっこ,井川町坂本字山崎49-1(子育て支援多世代交流館「みなくる」),018-838-6913,
秋田県,八峰町,八峰町子育て支援センターあいあい,八峰町峰浜水沢字稲荷堂後116-1,0185-74-6173,
秋田県,八郎潟町,八郎潟町子育て支援センターにゃんぱち子育てらんど 八郎潟町字中田67-4(八郎潟町えきまえ交流館はちパル),,018-827-5602,
秋田県,大仙市,うさちゃんひろば,大仙市北長野字袴田95(中仙市民会館),080-2845-9267,
秋田県,大仙市,つなっこひろば,大仙市刈和野字愛宕下24-1(大綱交流館内 幼児室),080-8214-8159,
秋田県,大仙市,にこにここども園子育て支援室なかよしルーム,仙北市西木町門屋字六本杉2-1,0187-47-2525,
秋田県,大仙市,ひのきないこども園子育て支援室さくらんぼルーム,仙北市西木町桧木内字高屋137,0187-48-2345,
秋田県,大仙市,まるこのひろば,大仙市大花町1-7(大花都市再生住宅),0187-63-2344,
秋田県,大仙市,中仙子育て支援センターわんぱく広場,大仙市長野字新山131(なかせんワイワイらんど),0187-56-4139,
秋田県,大仙市,仙北市地域子育て支援拠点事業「さくラッコ」,仙北市角館町田町上丁69-1(仙北市子育て支援施設),080-1663-4494,
秋田県,大仙市,千畑子育て支援センター,美郷町土崎字上野乙31(千畑なかよし園),0187-85-3115,
秋田県,大仙市,協和子育て支援センターきらきらひろば,大仙市協和荒川字下谷地53(協和まほろばこども園),018-892-3426,
秋田県,大仙市,南外子育て支援センターぞうさんくらぶ,大仙市南外字梨木田96-1(つきの木こども園),0187-73-1088,
秋田県,大仙市,生保内地区子育て支援センターだしっこルーム,仙北市田沢湖生保内字武蔵野117-263(だしのこ園),0187-43-1025,
秋田県,大仙市,神代地区子育て支援センタ-わいわい広場,仙北市田沢湖神代字珍重屋敷89-3(神代こども園),0187-44-2502,
秋田県,大仙市,西仙北子育て支援センター みつばっ子げんきひろば 大仙市大沢郷宿字山田178-1(みつば保育園),,0187-87-7130,
秋田県,大仙市,角館地区子育て支援センターおひさまルーム,仙北市角館町中菅沢91-1(角館こども園),0187-53-2918,
秋田県,大潟村,おおた子育て支援センターたんぽぽ広場,大仙市太田町横沢字窪関南515-4(おおたわんぱくランド・すくすく園),0187-86-9110,
秋田県,大潟村,仁賀保子育て支援センターなかよし,にかほ市院内字嶋田70(にかほ保育園),0184-32-3200,
秋田県,大潟村,仙北子育て支援センターわくわく広場,大仙市高梨字大嶋367(せんぼくちびっこらんど・わかば園),0187-63-1143,
秋田県,大潟村,四ツ屋こども園よつやっこ広場,大仙市四ツ屋字西下瀬159,0187-66-1517,
秋田県,大潟村,大曲中央こども園めんちょこ広場,大仙市大曲花園町4-88,0187-62-1027,
秋田県,大潟村,大曲駅前こども園かがやき広場,大仙市大曲通町1-43,0187-63-5118,
秋田県,大潟村,大潟村子育て支援センター,大潟村字中央5-1(大潟こども園),0185-45-2345,
秋田県,大潟村,岩城子育て支援センター,由利本荘市岩城内道川字水呑場27-1(岩城児童センター),0184-73-3612,
秋田県,大潟村,本荘子育て支援センターあいあい,由利本荘市石脇字田尻30-12(本荘子育て支援センターあいあい),0184-28-5535,
秋田県,大潟村,本荘子育て支援センターあおぞら,由利本荘市桜小路1-5(由利本荘市こどもプラザ「あおぞら」),0184-22-3489,
秋田県,大潟村,矢島子育て支援センター,由利本荘市矢島町城内字八森下515(矢島保育園),0184-27-5656,
秋田県,大潟村,神岡子育て支援センターおひさまひろば,大仙市神宮寺字中瀬古川敷31-4(すくすくだけっこ園),0187-72-2148,
秋田県,大潟村,象潟上郷地域子育て支援センター星城ひろば,にかほ市象潟町小滝字舞台64-2（星城こども園）,0184-44-2314,
秋田県,大潟村,象潟子育て支援センターぐぅちょきぱぁ,にかほ市象潟町字浜ノ田1(象潟保健センター),0184-74-6204,
秋田県,大潟村,金浦子育て支援センターにこにこ,にかほ市金浦字木の浦山17-11(勢至保育園),0184-38-2291,
秋田県,東成瀬村,なるせっ子夢センター,東成瀬村田子内字上野8-1(なるせ児童館),0182-38-8711,
秋田県,横手市,つどいの広場ひらか,横手市平鹿町浅舞字蒋沼291(アイリスハウス),0182-24-3155,
秋田県,横手市,十文字町子育て支援センター,横手市十文字町字海道下12番地5（十文字市民サービス課）,0182-42-5114,
秋田県,横手市,増田町子育て支援センターひよこルーム,横手市増田町増田字七日町66(ますだ保育園),0182-45-4637,
秋田県,横手市,大森町子育て支援センタ-たんぽぽ,横手市大森町字菅生田245-34(大森子どもと老人のふれあいセンター),0182-26-3520,
秋田県,横手市,山内子育て支援センタ-,横手市山内土渕字菅生37-7(さんない保育園),0182-53-2172,
秋田県,横手市,皆瀬子育て支援センター,湯沢市皆瀬字沢梨台47-2(皆瀬保育園),0183-46-2446,
秋田県,横手市,稲川子育て支援センター,湯沢市三梨町字古三梨155(あおぞらこども園),0183-42-5222,
秋田県,湯沢市,おがち子育て支援センター,湯沢市横堀字土渕28(おがち保育園),0183-52-5610,
秋田県,湯沢市,ふたば子育て支援センターにこにこ,湯沢市表町4丁目5番23号(ふたば子育て支援センターにこにこ),0183-56-6247,
秋田県,湯沢市,湯沢市子育て支援総合センター,湯沢市柳町二丁目1-39(湯沢市子育て支援総合センター),0183-72-3501,
秋田県,男鹿市,潟上市出戸子育て支援センター,潟上市天王字北野231-2(出戸こども園),018-878-4420,
秋田県,男鹿市,潟上市天王子育て支援センター,潟上市天王字持長根116－1(天王こども園),018-878-9809,
秋田県,男鹿市,潟上市昭和子育て支援センター,潟上市昭和大久保字堤の上1-3(昭和こども園),018-838-0150,
秋田県,男鹿市,潟上市若竹子育て支援センター,潟上市飯田川下虻川字八ッ口80(若竹幼児教育センター),018-877-4050,
秋田県,男鹿市,男鹿市地域子育て支援センター,男鹿市船川港比詰字大沢田44-4(船川北公民館内),0185-23-2551,
秋田県,秋田市,子育て交流ひろば,秋田市雄和妙法字上大部48-1(雄和市民サービスセンター),018-886-5530,
秋田県,秋田市,子育て交流ひろば,秋田市御野場一丁目5-1(南部市民サービスセンター),018-838-1216,
秋田県,秋田市,子育て交流ひろば,秋田市広面字釣瓶町13-3(東部市民サービスセンター),018-853-1082,
秋田県,秋田市,子育て交流ひろば,秋田市山王一丁目1-1(中央市民サービスセンター),018-888-5652,
秋田県,秋田市,秋田市子ども広場,秋田市中通二丁目8-1(フォンテＡＫＩＴＡ),018-893-6075,
秋田県,美郷町,仙南子育て支援センター,美郷町飯詰字糠渕4-1(仙南すこやか園),0187-83-2100,
秋田県,美郷町,六郷子育て支援センター,美郷町六郷字作山13-7(六郷わくわく園),0187-84-0023,
秋田県,美郷町,大雄子育て支援センター,横手市大雄字田村72番地(たいゆう保育園),080-2800-0245,
秋田県,美郷町,平鹿町子育て支援センターりんごちゃんひろば,横手市平鹿町醍醐字四ツ屋76(醍醐保育園),080-1650-8987,
秋田県,美郷町,横手市子育て支援センターなかよし,横手市駅前町1-21 Y２ぷらざ2階(横手市児童センター),0182-32-2426,
秋田県,美郷町,沼館保育園子育て支援ルーム「すくすく」,横手市雄物川町沼館字千刈田2(幼保連携型認定こども園沼館保育園),0182-22-4511,
秋田県,羽後町,羽後町子育て支援センターわくわくひろば,羽後町床舞字明通68,0183-62-5228,
秋田県,能代市,つどいの広場『ぽけっと』,能代市柳町11-1(イオン能代店),080-3206-1299,
秋田県,能代市,能代市子育て支援センターさんぽえむ,能代市二ツ井町字上台１－１(二ツ井伝承ホール),0185-73-3111,
秋田県,藤里町,子育て交流ひろば,秋田市新屋扇町13-34(西部市民サービスセンター),018-826-9007,
秋田県,藤里町,子育て交流ひろば,秋田市土崎港西五丁目3-1(北部市民サービスセンター),018-893-5985,
秋田県,藤里町,子育て交流ひろば,秋田市河辺和田字北条ケ崎38-2(河辺市民サービスセンター),018-882-5146,
秋田県,藤里町,秋田市子育て交流室,秋田市東通仲町4-1(秋田拠点センターアルヴェ),018-887-5340,
秋田県,藤里町,藤里町子育て支援センターばんぶ～ひろば,藤里町藤琴字三ツ谷脇38-1(藤里保育園),0185-79-2720,
秋田県,鹿角市,たしろ保育園子育て支援室きりん,大館市岩瀬字上岩瀬上野19(大館市立たしろ保育園),0186-54-0415,
秋田県,鹿角市,つどいの広場,北秋田市宮前町9-4(子育てサポートハウスわんぱぁく),0186-62-5557,
秋田県,鹿角市,つどいの広場ひよこ,大館市上代野字稲荷台１番地１(大館樹海ドームパーク パークセンター),0186-48-2377,
秋田県,鹿角市,地域子育て支援センターあいあい,北秋田市李岱字下豊田1番地（あいかわ保育園）,0186-78-9030,
秋田県,鹿角市,地域子育て支援センターしゃろーむ,北秋田市東横町10-34(認定こども園しゃろーむ),0186-62-1999,
秋田県,鹿角市,地域子育て支援センターにこにこ,北秋田市栄字太田新田43－2（鷹巣東保育園）,0186-62-2254,
秋田県,鹿角市,城南保育園分園子育て相談室,大館市字水門前124(大館市立城南保育園分園),0186-42-8185,
秋田県,鹿角市,扇田保育園地域子育て支援センター,大館市比内町扇田字町後13-8(大館市立扇田保育園),0186-55-3095,
秋田県,鹿角市,能代市子育て支援センター,能代市上町12-32(能代市第一保育所),0185-52-8115,
秋田県,鹿角市,鹿角市子ども未来センター,鹿角市花輪字八正寺13(鹿角市文化の杜交流館コモッセ),0186-30-0855,
