pref,city,name,addr,phone,note
群馬県,みどり市,すくすくくらぶ（笠懸いずみ第二こども園）,みどり市笠懸町久宮299-1,0277-46-6577,
群馬県,みどり市,たんぽぽ（赤城保育園）,みどり市大間々町桐原775-1,0277-46-6061,
群馬県,みどり市,と・と・ろの家（二葉保育園）,みどり市大間々町大間々2261-3,0277-72-2822,
群馬県,みどり市,にこにこ館（みどりのもり）,みどり市笠懸町鹿256-1,0277-76-2336,
群馬県,みどり市,のびのびくらぶ（笠懸いずみ保育園）,みどり市笠懸町阿左美805-2,0277-76-6783,
群馬県,みどり市,ポランの広場（たけのこ保育園）,みどり市笠懸町西鹿田21-1,0277-76-2697,
群馬県,みなかみ町,さくらんぼルーム(つきよのこども園),みなかみ町月夜野464,0278-25-8400,
群馬県,みなかみ町,子育てひろばぽかぽか,みなかみ町上牧2155-1,0278-25-3535,
群馬県,みなかみ町,汽車ぽっぽ(にいはるこども園内),みなかみ町須川774-1,0278-64-1848,
群馬県,中之条町,中之条町地域子育て支援センター（中之条保育所）,中之条町西中之条65,0279-75-4603,
群馬県,伊勢崎市,すみれこども園,伊勢崎市境上武士983-3,0270-74-5700,
群馬県,伊勢崎市,ひかりのこ保育園,伊勢崎市新栄町3850-14,0270-25-1575,
群馬県,伊勢崎市,みやさと保育園,伊勢崎市田中島町489-1,0270-24-1761,
群馬県,伊勢崎市,三郷こども園,伊勢崎市波志江町2381-7,0270-23-6122,
群馬県,伊勢崎市,白ばら保育園,伊勢崎市戸谷塚町98-1,0270-32-1400,
群馬県,伊勢崎市,茶々iタワー花の森保育園,伊勢崎市大手町3-1,0270-22-5611,
群馬県,前橋市,あゆみ（あゆみ保育園）,前橋市朝倉町861-1,027-265-3322,
群馬県,前橋市,おひさまひろば・にこにこひろば（二之宮保育園）,前橋市二之宮町1810-1,027-268-3620,
群馬県,前橋市,きょうあい（共愛学園こども園）,前橋市小屋原町1154-4,027-266-1010,
群馬県,前橋市,ぎんが（ぽらりすこども園）,前橋市富士見町原之郷1268,027-230-5335,
群馬県,前橋市,さくらんぼクラブ（粕川保育所）,前橋市粕川町新屋688-1,027-285-2107,
群馬県,前橋市,さくら広場（あおぞら総社）,前橋市総社町植野511-1,027-251-5428,
群馬県,前橋市,なかよしプラザ（中央大橋保育園）,前橋市石倉町5-21-5,027-252-3637,
群馬県,前橋市,のびのび（愛泉保育園）,前橋市江木町518,027-268-3423,
群馬県,前橋市,ひなたぼっこクラブ（赤城育心こども園）,前橋市市之関町401,027-283-4148,
群馬県,前橋市,アイアイ（大胡第2こども園）,前橋市堀越町1390-3,027-283-6778,
群馬県,前橋市,カンガルークラブ（上陽保育園）,前橋市西善町598-2,027-266-1493,
群馬県,前橋市,コアラクラブ（第二保育所）,前橋市三河町1-18-26,027-243-9560,
群馬県,前橋市,フレンドシップ岩神（岩神保育園）,前橋市岩神町2-5-12,027-231-1696,
群馬県,前橋市,プチちゃれ下小出児童館,前橋市下小出町2-15,027-233-2622,
群馬県,前橋市,プチちゃれ大友児童館,前橋市大友町1-8,027-251-1337,
群馬県,前橋市,プチちゃれ朝倉児童館,前橋市朝倉町170-3,027-265-1955,
群馬県,前橋市,北の森広場（あおぞら北）,前橋市関根町3-6-1,027-233-2144,
群馬県,前橋市,親子元気ルーム,前橋市本町2-12-1（前橋プラザ元気21内）,027-210-2268,
群馬県,千代田町,千代田町児童センター,千代田町大字赤岩2119-5,0276-86-6181,
群馬県,千代田町,千代田町児童館,千代田町大字上五箇319-2,0276-86-5730,
群馬県,吉岡町,いちょうクラブ（吉岡町第四保育園）,吉岡町漆原862,0279-54-0102,
群馬県,大泉町,みよし保育園,大泉町吉田956,0276-63-1900,
群馬県,大泉町,エンゼル保育園,大泉町下小泉410,0276-63-0377,
群馬県,太田市,Kids Island うちがしま,太田市内ケ島町1012番地1,0276-45-6687,
群馬県,太田市,あすなろこども園,太田市只上町1647-6,0276-37-5225,
