pref,city,name,zip,addr,phone,note
茨城県,水戸市,ぽかぽかつどいの広場,,茨城県水戸市赤塚1-1 水戸市福祉ボランティア会館内,090-8348-5375,
茨城県,水戸市,子育てぽかぽか広場（五軒小学校）,,茨城県水戸市金町3丁目2-25 五軒小学校B棟1階,029-350-5577,
茨城県,日立市,みやた子育て支援センター,,茨城県日立市本宮町2-10-22,0294-22-5592,
茨城県,日立市,おおくぼ子育て支援センター,,茨城県日立市末広町1-1-5,0294-33-1125,
茨城県,日立市,はなやま子育て支援センター,,茨城県日立市金沢町2-10-23,0294-36-0526,
茨城県,日立市,いしまち子育て支援センター,,茨城県日立市十王町伊師3447-1,0294-39-5250,
茨城県,日立市,認定こども園十王幼稚園・保育園 子育て支援センター,,茨城県日立市十王町友部566-1,0294-39-2613,
茨城県,日立市,豊浦さくら子育て支援センター,,茨城県日立市折笠町447-1,0294-33-6111,
茨城県,日立市,小木津聖徳保育園「ともランド」,,茨城県日立市小木津町2-2-11,0294-42-4328,
茨城県,日立市,こどものいえ認定こども園 親子たんぽぽくらぶ,,茨城県日立市日高町1-14-11,0294-43-6494,
茨城県,日立市,田尻徳風保育園「ほほえみ」,,茨城県日立市田尻町7-13-1,0294-42-8218,
茨城県,日立市,滑川聖徳保育園「ともランド」,,茨城県日立市滑川本町1-15-6,0294-22-7133,
茨城県,日立市,茨城キリスト教大学附属認定こども園せいじ園,,茨城県日立市助川町1-16-1,0294-24-5111,
茨城県,日立市,認定こども園ひがしなるさわ幼稚園,,茨城県日立市東成沢町3-16-8,0294-35-7539,
茨城県,日立市,つくしんぼ保育園,,茨城県日立市諏訪町3-12-19,0294-37-4278,
茨城県,日立市,おおくぼ認定こども園大久保幼稚園,,茨城県日立市大久保町4-10-7,0294-33-2274,
茨城県,日立市,多賀さくら子育て支援センター,,茨城県日立市東金沢町4-2-1,0294-59-3355,
茨城県,日立市,森山聖徳保育園「ともランド」,,茨城県日立市森山町3-17-1,0294-52-0774,
茨城県,日立市,認定こども園ほほえみ学びの森わかば園,,茨城県日立市森山町1085-1,0294-33-8822,
茨城県,日立市,茨城キリスト教大学附属認定こども園みらい園,,茨城県日立市大みか町6-11-1,0294-53-9411,
茨城県,土浦市,土浦市地域子育て支援センター さくらんぼ,,茨城県土浦市文京町3-8,029-823-1288,
茨城県,古河市,駅前子育て広場「わんぱくステーション」,,茨城県古河市本町4-1-1,0280-23-4120,
茨城県,古河市,ネーブル子育て広場「ヤンチャ森」,,茨城県古河市駒羽根620番地 ネーブルパーク内,0280-92-9033,
茨城県,石岡市,泉ヶ丘地域子育て支援センター,,茨城県石岡市石岡2-19-7,0299-23-6458,
茨城県,石岡市,Kids Futaba,,茨城県石岡市北府中2-7-43,0299-22-4060,
茨城県,石岡市,ばらきの丘子育て支援センター,,茨城県石岡市茨城3-1436,0299-56-4211,
茨城県,石岡市,子育て支援センターにこにこ,,茨城県石岡市東大橋1639-2,0299-26-3508,
茨城県,石岡市,子育て支援センターハッピールーム,,茨城県石岡市東光台1-2-4,0299-26-3860,
茨城県,石岡市,子育て支援センターおやこ広場,,茨城県石岡市宇治会2116-7,0299-56-3333,
茨城県,石岡市,わかくさの森,,茨城県石岡市東光台5-12-8,0299-26-1270,
茨城県,石岡市,石岡市地域子育て支援センター,,茨城県石岡市柿岡2155番地,0299-44-8011,
茨城県,結城市,結城市子育て支援センター「ゆいゆいぱーく」,,茨城県結城市国府町1丁目1-1 市民情報センター2階,0296-34-1070,
茨城県,龍ケ崎市,さんさん館子育て支援センター,,茨城県龍ケ崎市中里2丁目1番地1,0297-62-0123,
茨城県,龍ケ崎市,龍ケ崎市駅前こどもステーション,,茨城県龍ケ崎市佐貫3丁目5番地5,0297-66-8022,
茨城県,下妻市,あうるくらぶ,,茨城県下妻市高道祖5610,0296-44-2983,
茨城県,下妻市,もみの木ふれあい広場,,茨城県下妻市半谷484-2,0296-54-6727,
茨城県,常総市,水海道子育て支援センター,,茨城県常総市水海道諏訪町3222番地3,0297-22-2019,
茨城県,常総市,小貝保育園 子育て支援センター,,茨城県常総市上蛇町2112,0297-22-9958,
茨城県,常総市,認定こども園みつかいどう 子育て支援センター「おもちゃ箱」,,茨城県常総市水海道橋本町3346,0297-23-1400,
茨城県,常陸太田市,常陸太田市こども家庭センター「ここキララ」,,茨城県常陸太田市金井町3690,0294-72-1100,
茨城県,常陸太田市,のぞみこども園 子育て支援センター,,茨城県常陸太田市幡町1311番地,0294-74-4006,
茨城県,常陸太田市,うぐいすこども園 子育て支援センター,,茨城県常陸太田市高柿町257番地の5,0294-76-2044,
茨城県,常陸太田市,すいふこども園 子育て支援センター,,茨城県常陸太田市松平町1136番地,0294-85-0162,
茨城県,常陸太田市,さとみこども園 子育て支援センター,,茨城県常陸太田市大中町60番地の8,0294-82-2815,
茨城県,常陸太田市,はすみ保育園 子育て支援センター,,茨城県常陸太田市木崎二町937番地の2,0294-73-0554,
茨城県,常陸太田市,太田さくら認定こども園 子育て支援センター,,茨城県常陸太田市中城町4451番地,0294-33-7111,
茨城県,常陸太田市,愛保育園 子育て支援センター,,茨城県常陸太田市稲木町3番地,080-7773-8848,
茨城県,高萩市,萩っ子つどいの広場,,茨城県高萩市春日町3-10 総合福祉センター2階,0293-23-2129,
茨城県,高萩市,聖徳保育園 子育て支援センター ともランド,,茨城県高萩市安良川271,0293-23-5266,
茨城県,高萩市,同仁会子育て支援センター KiFT,,茨城県高萩市肥前町1-80,0293-20-5559,
茨城県,北茨城市,ANGEL（エンゼル）,,茨城県北茨城市磯原町磯原1丁目5 磯原保育園内,0293-42-0737,
茨城県,北茨城市,AIAI（アイアイ）,,茨城県北茨城市大津町1353 大津保育園内,0293-46-5811,
茨城県,北茨城市,中郷子どもの家,,茨城県北茨城市中郷町石岡814-1,0293-42-2183,
茨城県,北茨城市,磯原子どもの家,,茨城県北茨城市磯原町磯原3丁目77,0293-44-6330,
茨城県,笠間市,地域子育て支援センター「かんがるー」,,茨城県笠間市南友部1966-1 笠間キッズ館内,0296-77-8340,
茨城県,取手市,白山地域子育て支援センター,,茨城県取手市白山5-16-8,0297-73-2277,
茨城県,取手市,戸頭地域子育て支援センター,,茨城県取手市戸頭6-30-1,0297-78-7223,
茨城県,取手市,藤代駅前地域子育て支援センター,,茨城県取手市宮和田1136-1,0297-86-6801,
茨城県,牛久市,牛久市こどもの未来応援センター,,茨城県牛久市柏田町1606-1 中央生涯学習センター内,029-871-2301,
茨城県,つくば市,つくば市子育て総合支援センター,,茨城県つくば市流星台61-1,029-857-9037,
