pref,city,name,zip,addr,phone,note
長崎県,五島市,いちごクラブ,8530051,五島市平蔵町2455,0959-73-0039,
長崎県,五島市,ピヨピヨクラブ,8530005,五島市末広町2番地6,,
長崎県,五島市,五島市子育て支援センター,8530033,五島市木場町653番地2,0959-72-3808,
長崎県,佐々町,ぷくぷくクラブ,857-0312,北松浦郡佐々町市場免23-1,0956-76-7443,
長崎県,佐世保市,おはし子育て支援サークル,8596311,佐世保市吉井町橋川内481-3,,
長崎県,佐世保市,おはし子育て支援センター,859-6311,佐世保市吉井町橋川内481-3,0956-64-3525,
長崎県,佐世保市,きらきら広場 （幼児教育センター）,857-0822,佐世保市山祇町387番地,0956-31-0550,
長崎県,佐世保市,ゆりかごくらぶ,8596408,佐世保市世知原町栗迎120-26,0956-73-3001,
長崎県,佐世保市,わいわい広場 （北部子育て支援センター）,858-0915,佐世保市上相浦町5-13,0956-47-3329,
長崎県,佐世保市,わいわい広場 （子ども発達センター）,857-0053,佐世保市常盤町6番1号サンクル4番館,0956-23-3945,
長崎県,佐世保市,わいわい広場 （東部子育て支援センター）,859-3223,佐世保市広田2丁目1-1,0956-39-4002,
長崎県,佐世保市,わいわい広場(中部子育て支援センター),8570851,佐世保市稲荷町2-25,,
長崎県,佐世保市,わいわい広場(北部子育て支援センター),8580915,佐世保市上相浦町5-13,,
長崎県,佐世保市,わいわい広場(東部子育て支援センター),8593223,佐世保市広田2丁目1-1,,
長崎県,佐世保市,ルンビニ子育て支援センター,8593226,佐世保市崎岡町2821,,
長崎県,佐世保市,子ども発達センター,8570053,佐世保市常盤町6番1号ｻﾝｸﾙ4番館,,
長崎県,佐世保市,子育て支援センター ほるとのき,857-0851,佐世保市稲荷町2-25,0956-32-1903,
長崎県,佐世保市,日野子育て支援センター,8580923,佐世保市日野町780-5,0956-28-3264,
長崎県,佐世保市,菫ヶ丘幼児園地域子育て支援センター,8571152,佐世保市黒髪町2-10,0956-34-4188,
長崎県,佐世保市,親子ひろばよんぶらこ,8570871,佐世保市本島町4-15,080-1730-0181,
長崎県,南島原市,BUNKAしえんせんたー,859-2112,南島原市布津町乙2074番地第1,0957-72-2106,
長崎県,南島原市,お宮の子育て支援センター,8592601,南島原市加津佐町己2640,0957-87-5151,
長崎県,南島原市,たまみねすくすくサロン,8592502,南島原市口之津町甲1617,0957-86-4815,
長崎県,南島原市,南有馬子育て支援センター,8592412,南島原市南有馬町乙1604-13,0957-85-2288,
長崎県,南島原市,地域子育て支援センター杏クラブ,8592202,南島原市有家町山川324番地1,0957-82-8410,
長崎県,南島原市,子育て支援センターあたご,8592604,南島原市加津佐町丙96,0957-87-4051,
長崎県,南島原市,子育て支援センターたんぽぽ,8592503,南島原市口之津町丁4188-2,0957-86-2187,
長崎県,南島原市,子育て支援センターはやて,8591504,南島原市深江町丁5343,0957-72-6961,
長崎県,南島原市,子育て支援センターひよこ,8592111,南島原市布津町甲675-4,0957-72-3594,
長崎県,南島原市,子育て支援センターほっと,8592212,南島原市西有家町須川1153-1,0957-82-0923,
長崎県,南島原市,子育て支援センターらぴゅた,8591502,南島原市深江町乙1131-1,0957-72-5470,"平成２７年４月
１日から休止中"
長崎県,南島原市,子育て支援センターラポール,8591505,南島原市深江町戊2975番地9,0957-72-2362,
長崎県,南島原市,子育て支援センターリリパット,8592112,南島原市布津町乙2074番地第1,,
長崎県,南島原市,有家子育て支援センター,8592202,南島原市有家町山川69番地6,0957-76-8787,
長崎県,南島原市,深江保育園支援センターみずすまし,8591503,南島原市深江町丙1060-3,0957-72-3323,
長崎県,南島原市,蓮の実クラブ,8592316,南島原市南有馬町己198-1,0957-85-3529,"令和４年４月１
日から休止中"
長崎県,南島原市,長野子育て支援ポエム,8592215,南島原市西有家町長野1094-1,0957-82-0271,
長崎県,壱岐市,かざはやひろば,8115532,壱岐市勝本町大久保触1736-2,0920-48-3200,
長崎県,壱岐市,壱岐こどもセンター,8115133,壱岐市郷ﾉ浦町本村触93,0920-48-0848,
長崎県,大村市,COMEかめ広場,856-0806,大村市富の原2-415,0957-56-8309,
長崎県,大村市,おむらんど,8560832,大村市本町326-1,0957-47-6111,
