pref,city,name,zip,addr,phone,note
青森県,おいらせ町,あゆみ地域子育て支援センター,0392216,青森県上北郡おいらせ町後田23-3,0178-52-2206,
青森県,おいらせ町,三田地域子育て支援センター,0392125,青森県上北郡おいらせ町三本木74-28,0178-56-2008,
青森県,おいらせ町,菜の花保育園地域子育て支援センター,0392187,青森県上北郡おいらせ町緑ヶ丘2-50-1161,0176-53-8670,
青森県,つがる市,つがる市木造地域子育て支援センター,0383143,青森県つがる市木造日向61-1 ひなた児童会館内,0173-42-2130,
青森県,むつ市,ぽかぽかルーム（大畑中央保育園）,0394401,青森県むつ市大畑町中島4-6,0175-34-5100,
青森県,むつ市,大平保育園地域子育て支援センターうさぎクラブ,0350083,青森県むつ市大平町39-6,0175-24-5117,
青森県,むつ市,大平保育園子育て支援センター,0350083,むつ市大平町39-6,,
青森県,むつ市,大畑中央保育所子育て支援センター,0394401,むつ市大畑町中島4-4,,
青森県,むつ市,柳町ひまわり保育園子育て支援センター,0350031,むつ市柳町1-9-13,,
青森県,むつ市,柳町ひまわり保育園子育て支援センターひよこクラブ,0350031,青森県むつ市柳町1-9-13,0175-22-1655,
青森県,七戸町,城北こども園城北子育て支援センター,0392571,青森県上北郡七戸町字蛇坂57-57,0176-62-2090,
青森県,七戸町,城南地域子育て支援センター「風乃珈琲」,0392518,青森県上北郡七戸町字天神林19-2,0176-62-3095,
青森県,七戸町,明照子育て支援センター,0392500,上北郡七戸町字町7,0176-62-3223,
青森県,七戸町,榎林こども園地域子育て疎遠センター,0392500,上北郡七戸町字榎林家ﾉ前40番地1,0176-68-2042,
青森県,七戸町,道ノ上こども園子育て支援センター,0392828,青森県上北郡七戸町字森ケ沢280-1,0176-68-2047,
青森県,三戸町,のぼたん広場(NPO法人子育て支援ネットゆりかご）,0390132,青森県三戸郡三戸町大字在府小路町 総合福祉センターふくじゅそう1階,0179-20-0070,
青森県,三戸郡南部町,地域子育て支援センターぴっぴクラブ,0390502,三戸郡南部町下名久井字八森16-1 ﾁｪﾘｰ保育園,,
青森県,三戸郡新郷村,しんごう子育て支援センター,0391801,三戸郡新郷村戸来金ｹ沢坂ﾉ下21,,
青森県,三戸郡階上町,地域子育て支援センターすこやかる～む,0391201,三戸郡階上町道仏字向17道仏保育園,,
青森県,三沢市,いちいすくすくルーム,0330053,青森県三沢市春日台2丁目154-71,0176-53-7941,
青森県,三沢市,一時預かり ミルキールーム,0330011,青森県三沢市幸町1-7-7 三沢キッズセンターそらいえ内,0176-51-4434,
青森県,三沢市,三沢地域子育て支援センター,0330034,青森県三沢市東町1丁目9-19,0176-53-1176,
青森県,三沢市,子育て支援Colacco,0330033,青森県三沢市美野原2丁目9-11,0176-51-0096,
青森県,三沢市,子育て支援センター ぴこりんパーク,0330033,青森県三沢市美野原2丁目12-19,0176-53-7772,
青森県,三沢市,岡三沢こども園 ふれあいひろばすまいる,0330021,青森県三沢市岡三沢2丁目7-7,0176-53-2279,
青森県,上北郡七戸町,城北子育て支援センター,0392500,上北郡七戸町字蛇坂57-57 城北こども園内,,
青森県,上北郡七戸町,城南地域子育て支援センター,0392500,上北郡七戸町字天神林19-2,,
青森県,上北郡七戸町,道ノ上子育て支援センター「てんし会」,0392500,上北郡七戸町字森ｹ沢280-1 道ﾉ上こども園内,,
青森県,下北郡東通村,こども園ひがしどおり子育て支援センター,0350000,下北郡東通村大字砂子又字沢内9-35,,
青森県,中泊町,中里こども園子育て支援センター,0370305,青森県北津軽郡中泊町中里字紅葉坂27-1,0173-57-2057,
青森県,中泊町,子育て支援センターぽかぽかクラブ（こども園こどまり）,0370300,青森県北津軽郡中泊町小泊字砂山1142,0173-64-2241,
青森県,五戸町,ぱんじーるーむ（くらいしこども園）,0391702,青森県三戸郡五戸町大字倉石中市字中市境田37,0178-77-3139,
青森県,五所川原市,P-Smile1かなぎ地域子育て支援センター,0370202,青森県五所川原市金木町菅原369-1 みどりの風こども園かなぎ内,0173-54-1181,
青森県,五所川原市,さかえっこくらぶ,0370000,五所川原市大字湊字船越224-3 幼保連携型認定こども園さかえ内,,
青森県,五所川原市,さかえっこくらぶ（こども園さかえ）,0370035,青森県五所川原市大字湊字船越224-3,0173-34-3404,
青森県,五所川原市,さんSUNさつき広場,0370000,五所川原市字雛田162-34 認定こども園第一さつき内,,
青森県,五所川原市,さんＳＵＮさつき広場（認定こども園第一さつき）,0370642,青森県五所川原市大字持子沢字隠萢211-247,0173-34-9345,
青森県,五所川原市,すてっぷ広場（ＮＰＯ法人こどもネットワーク・すてっぷ）,0370044,青森県五所川原市元町53,0173-34-2170,
青森県,五所川原市,すまいるはあとクラブ,0370000,五所川原市字下平井町21 認定こども園第二さつき内,,
青森県,五所川原市,すまいるはあとクラブ（認定こども園第二さつき）,0370064,青森県五所川原市字下平井町21,0173-34-6185,
青森県,五所川原市,ぴよっこくらぶ（新宮団地こども園）,0370069,青森県五所川原市若葉二丁目1-8,0173-35-1005,
青森県,五所川原市,ぽこ・あ・ぽこ,0370621,五所川原市大字豊成字田子ﾉ浦70-5 こども園長橋内,,
青森県,五所川原市,ぽこ・あ・ぽこ（こども園長橋）,0370621,青森県五所川原市大字豊成字田子ノ浦70-5,0173-29-3108,
青森県,五所川原市,やまばと広場,0370000,五所川原市大字米田字八ﾂ橋67-2 幼保連携型認定こども園津軽野内,,
青森県,五所川原市,やまばと広場（こども園津軽野）,0370017,青森県五所川原市大字漆川字浅井127-2,0173-35-5165,
青森県,五所川原市,市浦地域子育て支援センター,0370401,五所川原市相内258-1 みどりの風こども園あとむ内,,
青森県,今別町,今別町地域子育て支援センター「ひまわり子ども館」,0301502,青森県東津軽郡今別町大字今別字中沢165-1,0174-35-2156,
青森県,佐井村,佐井村保育所子育て支援センターにこにこひろば,0394711,青森県下北郡佐井村大字佐井字古佐井川目4,0175-38-2919,
青森県,八戸市,ありんこらんど,0392241,八戸市市川町尻引前山31-953ききょうの保育園,,
青森県,八戸市,うぐいすルーム,0310841,八戸市鮫町字山四郎薪目1-3うぐいす保育園,,
青森県,八戸市,うぐいすルーム（うぐいす保育園）,0310841,青森県八戸市鮫町字山四郎蒔目1-3,0178-20-7731,
青森県,八戸市,こどもはっち,0310032,青森県八戸市三日町11-1 八戸ポータルミュージアムはっち4階,0178-22-5822,
青森県,八戸市,すぎのこランド,0391164,八戸市下長六丁目14-26すぎのこ保育園,,
青森県,八戸市,すみれの広場,0310822,八戸市白銀町字中平31-3すみれ保育園,,
青森県,八戸市,にこにこルーム,0310822,八戸市白銀町字浜崖13-2明星こども園,,
青森県,八戸市,ふれあい広場「ねっこ」,0391166,八戸市根城8-8-34長坂保育園,,
青森県,八戸市,ふれあい広場「ねっこ」（長坂保育園）,0391166,青森県八戸市根城8丁目8-34,0178-45-8126,
青森県,八戸市,ウェルフェアーネットワークコア「いちごルーム」（たいなか保育園）,0310022,青森県八戸市糠塚字平中22-16,090-3129-5996,
青森県,八戸市,ウェルフェアーネットワークコアいちごルーム,0310022,八戸市糠塚字平中22-16たいなか保育園,,
青森県,八戸市,スワンルーム子育て支援センター,0310004,八戸市南類家3-3-10類家南保育園,,
青森県,八戸市,一日市保育園子育て支援センター「りんごちゃんひろば」,,青森県八戸市櫛引字前田45-1,0178-27-1010,
青森県,八戸市,南類家保育園子育て支援センター スワンルーム,0310004,青森県八戸市南類家三丁目3-10,0178-45-5310,
青森県,八戸市,地域子育て支援ひろばすぎのこランド（すぎのこ保育園）,0391164,青森県八戸市下長6丁目14-26,0178-28-8156,
青森県,八戸市,地域子育て支援センター「すみれの広場」,0310822,青森県八戸市白銀町字中平31-3,0178-33-2286,
青森県,八戸市,地域子育て支援センターありんこランド（桔梗野保育園）,0392241,青森県八戸市市川町字尻引前山31-953,0178-28-3510,
青森県,八戸市,地域子育て支援センターぴよぴよルーム,0391111,八戸市東白山台2-27-1白山台保育園,,
青森県,八戸市,地域子育て支援センターエンジェルキッズルーム,0391168,八戸市八太郎四丁目2-19根岸保育園,,
青森県,八戸市,地域子育て支援センタースマイルガーデン,0392241,八戸市市川町字轟木前34-3とどろき保育園,,
青森県,八戸市,子育て支援センターぴよぴよルーム（白山台保育園）,0391111,青森県八戸市東白山台2丁目27-1,0178-70-1720,
青森県,八戸市,子育て支援センターりんごちゃんひろば,0310007,八戸市櫛引字前田45-1 認定こども園一日市保育園内,,
青森県,八戸市,子育て支援センターウィンディー,0391113,八戸市西白山台4丁目1-16みどりのかぜ北ｳｲﾝｸﾞ,,
青森県,八戸市,子育て支援センターウィンディー（認定こども園みどりのかぜ北ウィング）,0391113,青森県八戸市西白山台4丁目1-16,0178-27-3311,
青森県,八戸市,子育て支援センタースマイルガーデン（とどろき保育園）,0392241,青森県八戸市市川町字轟木前34-3,0178-52-5511,
青森県,八戸市,明星こども園子育て支援センター「にこにこルーム」,0310822,青森県八戸市白銀町字浜崖13-2,0178-34-4663,
青森県,八戸市,青い海の家,0310841,八戸市鮫町字安川目8-1大久喜保育園,,
青森県,六戸町,こども園 おひさま 子育て支援ルーム,,青森県上北郡六戸町大字犬落瀬字下久保174-1244,0176-55-2005,
青森県,六戸町,六戸町地域子育て支援センター（ひのでこども園）,,青森県上北郡六戸町大字折茂字前田140-1,0176-55-2297,
青森県,六戸町,地域子育て支援拠点事業ひろば型「えがお」（さつき保育園）,0330074,青森県上北郡六戸町小松ヶ丘4丁目77-1636,0176-58-5725,
青森県,北津軽郡中泊町,子育て支援センターぽかぽかクラブ,0370300,北津軽郡中泊町大字小泊字砂山1142 こども園こどまり,,
青森県,北津軽郡板柳町,板柳町地域子育て支援センター「すこやかキッズ」,0383672,北津軽郡板柳町灰沼東1−6 板柳第一保育所鶴住内,,
