pref,city,name,zip,addr,phone,note
静岡県,三島市,ふれあい広場,411-0824,静岡県三島市長伏121-7,055-977-4157,
静岡県,三島市,ぽこ,411-0801,静岡県三島市谷田1629-38,055-9737778,
静岡県,三島市,フリッパー,411-0033,静岡県三島市文教町2-28-6,055-943-6878,
静岡県,三島市,三島市本町子育て支援センター,411-0855,静岡県三島市本町3-29本町タワービル４Ｆ,055-9916100,
静岡県,三島市,地域子育て支援センターひよこらんど,411-0023,静岡県三島市加茂24-7,055-9720332,
静岡県,三島市,地域子育て支援センターゆりかご,411-0816,静岡県三島市梅名553-1,055-977-2811,
静岡県,三島市,宮さんの杜,411-0035,静岡県三島市大宮町２?２?１１,055-991-0010,
静岡県,三島市,赤ちゃんセンター,411-0801,静岡県三島市谷田2143,055-9751940,
静岡県,下田市,下田市地域子育て支援センター,415-0037,静岡県下田市敷根761,0558-27-2200,
静岡県,伊東市,えいこう子育て支援センター,414-0053,静岡県伊東市荻601-13,0557-36-6603,
静岡県,伊東市,八幡野保育園子育て支援センター,413-0232,静岡県伊東市八幡野1189-170,0557-54-2700,
静岡県,伊東市,地域子育て支援センターこむろっこ,414-0044,静岡県伊東市川奈1267,0557-44-1400,
静岡県,伊東市,子育て支援センターきしゃぽっぽ,414-0001,静岡県伊東市宇佐美610-20,0557-47-3050,
静岡県,伊東市,子育て支援センターすきっぷ,414-0013,静岡県伊東市桜木町2-2-3,0557-35-9200,
静岡県,伊東市,子育て支援センターちゅうりっぷ,414-0002,静岡県伊東市湯川3-8-10,0557-37-5571,
静岡県,伊東市,子育て支援センターつくしんぼ,414-0051,静岡県伊東市吉田584,0557-48-7749,
静岡県,伊豆の国市,地域子育て支援センターすみれ,410-2123,静岡県伊豆の国市四日町234-1,055-949-0823,
静岡県,伊豆の国市,地域子育て支援センターたんぽぽ,410-2321,静岡県伊豆の国市三福295-1,0558-76-6006,
静岡県,伊豆市,わんぱく広場,410-2405,静岡県伊豆市加殿22-1,0558-72-1404,
静岡県,伊豆市,地域子育て支援センター「のびのび広場」,410-2416,静岡県伊豆市修善寺3230-1,0558-721748,
静岡県,伊豆市,子育て支援センター「いないいないばあ」,410-3215,静岡県伊豆市月ヶ瀬408番地の１,0558-85-2030,
静岡県,伊豆市,子育て支援センター「すいすい」,410-2407,静岡県伊豆市柏久保1309,0558-72-1740,
静岡県,伊豆市,子育て支援センター「ちびっこサロンわらぼ」,410-2514,静岡県伊豆市原保190-10,0558-83-0116,
静岡県,伊豆市,子育て支援センター「にこにこフロア」,410-3302,静岡県伊豆市土肥665-26,0558-98-0228,
静岡県,伊豆市,子育て支援センター「ひよこくらぶ」,410-2505,静岡県伊豆市八幡282-1,0558-75-2810,
静岡県,伊豆市,湯ヶ島子育て支援センター「あいあいキッズ」,410-3206,静岡県伊豆市湯ヶ島161-1,0558-85-0406,
静岡県,函南町,仁田マーガレット保育園,419-0114,静岡県函南町仁田480-1,055-978-7780,
静岡県,函南町,函南さくら保育園,419-0122,静岡県函南町上沢70-2,055-979-1350,
静岡県,南伊豆町,南伊豆町立地域子育て支援センター,415-0302,静岡県南伊豆町上賀茂277,0558-62-0252,
静岡県,吉田町,地域子育て支援センターわかば,421-0304,静岡県吉田町神戸2092-1,0548-28-7034,
静岡県,富士宮市,にゃんにゃんルーム富士根,418-0022,静岡県富士宮市小泉2095-5,0544-26-6882,
静岡県,富士宮市,わんわんルーム西,418-0046,静岡県富士宮市中里東町290,0544-26-3686,
静岡県,富士宮市,地域子育て支援センター「なかよし会」,419-0316,静岡県富士宮市羽鮒689,0544-65-0007,
静岡県,富士宮市,地域子育て支援センター「のなか」,418-0033,静岡県富士宮市野中東町294,0544-26-2929,
静岡県,富士宮市,地域子育て支援センターおおみや,418-0063,静岡県富士宮市若の宮町47-1 富士宮市立児童館内,0544-25-0030,
静岡県,富士宮市,地域子育て支援センターたっち,418-0005,静岡県富士宮市宮原7-1,0544-22-0350,
静岡県,富士宮市,子育て支援センター笑和くらぶ,418-0006,静岡県富士宮市外神281-1,0544-58-4685,
静岡県,富士市,地域子育て支援センターなかよし会,417-0847,静岡県富士市比奈2490,0545-21-0814,
静岡県,富士市,地域子育て支援センターななかまど,416-0924,静岡県富士市水戸島本町3-17,0545-61-3121,
静岡県,富士市,地域子育て支援センターなのはな文庫,416-0946,静岡県富士市五貫島492-1,0545-60-2001,
静岡県,富士市,地域子育て支援センターにこにこ,419-0201,静岡県富士市厚原1385,0545-71-3085,
静岡県,富士市,地域子育て支援センターぽけっと,416-0909,静岡県富士市松岡1524-3,0545-63-3898,
静岡県,富士市,地域子育て支援センターぽっかぽか,417-0051,静岡県富士市吉原4-17-45,0545-52-0539,
静岡県,富士市,地域子育て支援センターカスタネット（公立）,416-0906,静岡県富士市本市場432-1,0545-66-4129,
静岡県,富士市,地域子育て支援センタークローバー,416-0916,静岡県富士市平垣141,0545-63-8632,
静岡県,富士市,地域子育て支援センターコドモノプラス,417-0846,静岡県富士市今井3-4-3,0545-33-0013,
静岡県,富士市,地域子育て支援センタータンバリン（公立）,417-0847,静岡県富士市比奈115-3,0545-34-3003,
静岡県,富士市,地域子育て支援センタートライアングル（公立）,419-0204,静岡県富士市入山瀬4-9-2,0545-71-7141,
静岡県,富士市,地域子育て支援センタートントゥ,417-0852,静岡県富士市原田1742-1,0545-21-4115,
静岡県,富士市,地域子育て支援センターハーモニカ（公立）,417-0862,静岡県富士市石坂375,0545-22-0582,
静岡県,富士市,地域子育て支援センターハーモニー,417-0826,静岡県富士市中里1760-22,0545-34-2471,
静岡県,富士市,地域子育て支援センターメロディー,416-0933,静岡県富士市中丸99-4,0545-67-4608,
静岡県,富士市,地域子育て支援センタールンルン（公立）,421-3301,静岡県富士市北松野1825-1,0545-85-2832,
静岡県,小山町,子育て支援センター　きんたろうひろば,410-1321,静岡県小山町阿多野41-1,0550-70-3090,
静岡県,小山町,町立きたごうこども園,410-1326,静岡県小山町用沢207-1,0550-78-0504,
静岡県,小山町,町立すがぬまこども園,410-1312,静岡県小山町菅沼274-2,0550-76-0429,
静岡県,小山町,町立すばしりこども園(第1園舎),410-1431,静岡県小山町須走153,0550-75-2720,
静岡県,小山町,町立すばしりこども園(第2園舎),410-1431,静岡県小山町須走83,0550-75-2710,
静岡県,小山町,町立するがおやまこども園(第1園舎),410-1303,静岡県小山町生土132-1,0550-76-0423,
静岡県,小山町,町立するがおやまこども園(第2園舎),410-1311,静岡県小山町小山289-1,0550-76-0479,
静岡県,小山町,私立みらいこども園,410-1306,静岡県小山町上野1024-5,0550-76-2323,
静岡県,小山町,私立菜の花こども園,410-1313,静岡県小山町竹之下字上ノ原570-1,0550-76-6622,
静岡県,島田市,地域子育て支援センターすまいるハウスたまご,427-0022,静岡県島田市本通3丁目6-1,0547-37-2739,
静岡県,島田市,地域子育て支援センターたんぽぽ広場,427-0104,静岡県島田市井口407,0547-38-2525,
静岡県,島田市,地域子育て支援センターにこにこ広場,427-0011,静岡県島田市東町1210,0547-35-0123,
静岡県,島田市,地域子育て支援センターひばり,427-0008,静岡県島田市落合64-1,0547-39-5951,
静岡県,島田市,地域子育て支援センターひよこ,428-0006,静岡県島田市牛尾1111,0547-45-5757,
静岡県,島田市,地域子育て支援センターふうせん,427-0046,静岡県島田市若松町2538-1,090-5227-6226,
静岡県,島田市,地域子育て支援センターぽかぽか,427-0046,静岡県島田市若松町2719,39-3508,
