pref,city,name,addr,phone,note
香川県,さぬき市,たらちね保育園　子育て支援センターほほえみ広場,さぬき市造田野間田676-5,0879-52-3596,
香川県,さぬき市,ひまわりこども園子育て支援センター「ひだまり」,さぬき市鴨部1629,087-895-0818,
香川県,さぬき市,よしいけこども園　子育て支援センターあいあい,さぬき市志度4212-1 よしいけこども園２階,087-894-2343,
香川県,さぬき市,デイサービスセンター　ヌーベルかんざき,さぬき市寒川町神前3502-1,0879-49-1910,
香川県,さぬき市,認定こども園だいご　子育て支援センターにこにこクラブ,さぬき市寒川町石田東甲639-2,0879-43-1451,
香川県,さぬき市,認定こども園長尾学舎　子育て支援センターにじいろ,さぬき市長尾西1601-1,0879-52-1597,
香川県,さぬき市,造田児童館,さぬき市造田野間田693-8,0879-52-1565,
香川県,さぬき市,長尾児童館,さぬき市長尾東914-1,0879-52-3223,
香川県,さぬき市,長尾聖母幼稚園,さぬき市長尾西681,0879-52-2294,
香川県,三木町,まんでがんふれあいホーム,三木町大字田中1279,087-898-2759,
香川県,三木町,三木町立ししの子保育所,三木町大字池戸1388-34,087-864-4405,
香川県,三木町,三木町立下高岡保育所,三木町大字下高岡1151,087-898-2750,
香川県,三木町,三木町立神山保育所,三木町大字鹿庭1756,087-899-0322,
香川県,三豊市,こどもサニーハウス,三豊市豊中町笠田笠岡2536-1,0875-24-8690,
香川県,三豊市,すくすくランド,三豊市仁尾町仁尾丁636-1,0875-23-6570,
香川県,三豊市,すくすくランドみのひろば,三豊市三野町吉津乙2030-1　三野町保健センター,0875-23-6570,
香川県,三豊市,すくすくランド土曜ひろば,三豊市詫間町詫間1338-127　マリンウェーブ,0875-23-6570,
香川県,三豊市,つどいの広場サニーハウス,香川県三豊市豊中町笠田笠岡2536-1,0875-24-8690,
香川県,三豊市,ひまわりるーむ,三豊市詫間町詫間6813-7,090-9456-3376,
香川県,三豊市,ふれ愛食堂,三豊市山本町大野88-1,080-3164-3466,
香川県,三豊市,ピヨピヨカンパニーやまもとひろば,三豊市山本町財田西375　山本町保健センター,0875-23-6570,
香川県,三豊市,仁尾町児童館,三豊市仁尾町仁尾辛34-3,080-4901-1872,
香川県,三豊市,制服リユースMATANA,三豊市高瀬町比地中2295-2,090-4645-3026,
香川県,三豊市,幼保連携型認定こども園　スマはぴ丘の上station,三豊市高瀬町上高瀬2024-2,0875-72-0083,
香川県,三豊市,社会福祉法人花みずき福祉会　めみか保育園,三豊市豊中町岡本324-1,0875-23-6911,
香川県,三豊市,虹ヲわたり,三豊市高瀬町比地181-1,0875-23-6690,
香川県,三豊市,豊中町児童館,三豊市豊中町本山甲236,0875-62-1020,
香川県,三豊市,高瀬子育て支援ステーションスマはぴ,三豊市高瀬町上高瀬2024-2,0875-72-5155,
香川県,丸亀市,b&gまるがめ,丸亀市川西町南146-5,,
香川県,丸亀市,こそだて広場　かめぽよ,香川県丸亀市柞原町602-1児童養護施設　亀山学園内,080-2982-4643,
香川県,丸亀市,ひつじヶ丘保育園　地域子育て支援センター,丸亀市垂水町16-52,0877-28-1310,
香川県,丸亀市,みらいCUBE,丸亀市葭町17,0877-35-8115,
香川県,丸亀市,オアシスこくさい教室,丸亀市通町110,0877-89-6215,
香川県,丸亀市,ニチイキッズ飯山保育園,丸亀市飯山町下法軍寺１２５５－1,0877-56-8005,
香川県,丸亀市,ネムの木子ども食堂まるがめ,丸亀市川西町南258-1,0877-58-7707,
香川県,丸亀市,フードバンクオアシス丸亀,丸亀市葭町 38－1,0877-89-6215,
香川県,丸亀市,丸亀市児童館,丸亀市土居町２丁目13-3,0877-23-1091,
香川県,丸亀市,丸亀市東小川児童センター,丸亀市飯山町東小川1260,0877-56-8778,
香川県,丸亀市,丸亀市発達障害児支援相談窓口「ほっぺ」NPO法人グランマール,丸亀市大手町二丁目1番7号　ひまわりセンター2階,0877-85-6613,
香川県,丸亀市,地域子育てひろば　たんぽぽ,丸亀市飯山町東小川1260,0877-98-1238,
香川県,丸亀市,城辰保育所地域子育て支援センター,丸亀市川西町南746-1,0877-28-0100,
香川県,丸亀市,子育ち親育ちほっとスペース　コムコムひろば・あやうた,香川県丸亀市綾歌町栗熊東2253-3　あやうたふれあいプラザ,0877-35-7114,
香川県,丸亀市,子育ち親育ちほっとスペース　コムコムひろば・どき,丸亀市土器町東2丁目248,0877-25-0691,
香川県,丸亀市,子育ち親育ちほっとスペース　出張ひろばコムコムひろば城坤,香川県丸亀市今津町283　城坤コミュニティセンター,080-1995-5656,
香川県,丸亀市,学校法人丸亀虎岳学園　丸亀城南虎岳幼稚園,丸亀市田村町1678,0877-23-7528,
香川県,丸亀市,学校法人聖母学園　丸亀聖母幼稚園,丸亀市幸町2丁目7-7,0877-22-4529,
香川県,丸亀市,彩芽こども園子育て支援ひろば　あやめちゃん,丸亀市三条町781-1,070-1180-7330,
香川県,丸亀市,放課後オアシス,丸亀市通町110,0877-89-6215,
