pref,city,name,zip,addr,phone,note
高知県,いの町,いの町地域子育て支援センター「ぐりぐらひろば」,7812100,吾川郡いの町1510-1(いの町総合健康ｾﾝﾀｰ内),088-892-3151,
高知県,三原村,なかよし広場,787-0803,幡多郡三原村来栖野479,0880-46-2404,
高知県,仁淀川町,仁淀川町地域子育て支援センター「ひまわり広場」,7811501,吾川郡仁淀川町大崎158,0889-35-0433,
高知県,佐川町,佐川町子育て支援センター「なかよしひろば」,7891202,高岡郡佐川町乙2310番地(佐川町健康福祉ｾﾝﾀｰかわせみ内),0889-22-7705,
高知県,北川村,子育てひろば,781-6441,安芸郡北川村野友甲1522-1,0887-38-6969,
高知県,北川村,親子ふれあい広場,781-6441,安芸郡北川村野友甲1530,0887-32-1230,
高知県,南国市,とおちどんぐりの森,7830085,南国市十市2315-1,,
高知県,南国市,にじいろセンター おこう,7830044,南国市岡豊町八幡925-1,,
高知県,南国市,地域子育て支援センター　おひさま,7830005,南国市大そね乙3553-1（吾岡保育園内）,088-863-0133,
高知県,南国市,地域子育て支援センター　とおちどんぐりの森,7830085,南国市十市2315-1（十市保育園内）,088-865-8801,
高知県,南国市,地域子育て支援センター　にじいろセンターおこう,7830044,南国市岡豊町八幡925-1（岡豊保育園内）,088-803-5263,
高知県,南国市,地域子育て支援センターひよこルーム,7830004,南国市大埇甲320(南国市保健福祉ｾﾝﾀｰ内),088-863-7374,
高知県,南国市,地域子育て支援センターキンダーガーデンおおしの,7830004,南国市大埇甲2504(大篠保育園内),088-863-5515,
高知県,吾川郡仁淀川町,仁淀川町地域子育て支援センター,7811501,吾川郡仁淀川町大崎158,,
高知県,四万十市,四万十市地域子育て支援センターなかむら「ぽっぽ」,7870011,四万十市右山元町1-2-10,0880-35-3748,
高知県,四万十市,四万十市地域子育て支援センターにしとさ「ぴよっこ」,7871603,四万十市西土佐用井1110番地3（川崎保育所内）,0880-52-1277,
高知県,四万十市,四万十市地域子育て支援センターぽっぽ,7870011,四万十市右山元町1丁目2-10,,
高知県,四万十町,四万十町十和地域子育て支援センター,7860511,高岡郡四万十町昭和416-4(昭和保育所内),0880-28-4233,
高知県,四万十町,四万十町大正地域子育て支援センター,7860301,高岡郡四万十町大正388(認定こども園たのの),0880-27-0363,
高知県,四万十町,四万十町窪川地域子育て支援センター,7860012,高岡郡四万十町北琴平町826-1,0880-22-2525,
高知県,土佐市,土佐市子育て支援センター「とっとこ広場」,7811161,土佐市宇佐町宇佐1133-1(宇佐保育園内),,
高知県,土佐市,土佐市子育て支援センター「なかよし広場」,7811105,土佐市蓮池1331(蓮池保育園内),088-852-0090,
高知県,土佐清水市,土佐清水市地域子育て支援センターどんぐりっこ,7870320,土佐清水市清水854-140,0880-83-0033,
高知県,土佐町,中土佐町子育て支援センター　はぐ,7891301,高岡郡中土佐町久礼6551番地1　中土佐町こどもセンター内,0889-52-2533,
高知県,土佐町,土佐町子育て支援センター,7813401,土佐郡土佐町土居206(土佐町保健福祉ｾﾝﾀｰ内),0887-82-0483,
