pref,city,name,zip,addr,phone,note
鹿児島県,いちき串木野市,子育て支援センターきらきら,8992101,いちき串木野市湊町1-115,0996-24-8118,
鹿児島県,さつま町,にこにこハウス,8952104,薩摩郡さつま町柏原5183,0996-59-8675,
鹿児島県,三島村,くちっこ園,8915101,鹿児島郡十島村口之島19番地,099-222-2101,
鹿児島県,三島村,すわっこ園,8915203,鹿児島郡十島村諏訪之瀬島90番地,099-222-2101,
鹿児島県,三島村,みしま村硫黄島つばき園,8900901,鹿児島郡三島村硫黄島90-61,080-1790-0290,
鹿児島県,三島村,みしま村竹島グーミーズ,8900903,鹿児島郡三島村竹島7,090-1515-1743,
鹿児島県,三島村,中之島ほしのこ園,8915201,鹿児島郡十島村中之島131番地,099-222-2101,
鹿児島県,与論町,ゆんぬ子育て支援センター,8919301,大島郡与論町茶花2002-1,0997-97-4285,
鹿児島県,中種子町,子育て支援センター おひさま,8913604,熊毛郡中種子町野間4303,0997-27-0031,
鹿児島県,出水市,乗船寺保育園地域子育て支援センター,8910405,指宿市湊1-11-5,0993-22-4407,
鹿児島県,出水市,子育て支援センター ハートフル,8990402,出水市高尾野町柴引2061,0996-82-5600,
鹿児島県,十島村,たいらっこ園(H30.11～）,8915202,鹿児島郡十島村平島120番地,099-222-2101,
鹿児島県,十島村,子宝園（令和６年４月～休園中）,8915205,鹿児島郡十島村大字小宝島16番地,099-222-2101,
鹿児島県,十島村,子育て広場 いまきら園,8915301,鹿児島郡十島村宝島78番地,099-222-2101,
鹿児島県,十島村,子育て支援センター クオラ,8951804,薩摩郡さつま町船木2336-1,0996-53-0335,
鹿児島県,十島村,悪石島のびっこ園,8915204,鹿児島郡十島村大字悪石島65番26,099-222-2101,
鹿児島県,南九州市,大口子育て支援センタールピナス,,,0995-23-5080,
鹿児島県,南九州市,子育て支援センター あゆみ,8995652,姶良市平松5061-2,0995-65-1710,
鹿児島県,南九州市,子育て支援センター ひよこサークル,8995241,姶良市加治木町木田4872-2,0995-63-5043,
鹿児島県,南九州市,子育て支援センター 建昌っ子,8995400,姶良市東餅田2599-2,0995-57-7133,
鹿児島県,南九州市,菱刈子育て支援センターまむ さるーん,8952701,伊佐市菱刈前目711-1(まごし館内),0995-26-2882,
鹿児島県,南大隅町,南大隅町子育て支援センター,8932501,肝属郡南大隅町根占川北１８９７－２,0994-24-2212,
鹿児島県,南大隅町,高山子育て支援センター ちゃいるどはうす 肝属郡錦江町田代川原273-3,,,0994-65-1308,
鹿児島県,南種子町,南種子町子育て支援センターそよかぜ,8913701,熊毛郡南種子町中之上2788-1,0997-26-0135,
鹿児島県,和泊町,地域子育て支援ｾﾝﾀｰ ほっとステーション,8919112,大島郡和泊町和泊39-3,0997-84-3111,
鹿児島県,喜界町,子育て支援センター ひまわり,8916202,大島郡喜界町大字湾1742,0997-65-1419,
鹿児島県,垂水市,地域子育て支援センター おいでおいで,8950027,薩摩川内市西向田町18-26,0996-20-6682,
鹿児島県,垂水市,地域子育て支援センター すわっこ,8951203,薩摩川内市樋脇町市比野550,0996-38-1193,
鹿児島県,垂水市,子育て支援センター すくすくランド,8950072,薩摩川内市中郷四丁目187,0996-22-5800,
鹿児島県,垂水市,子育て支援センター ほっとランド,8950056,薩摩川内市宮里町3048-9,0996-22-8313,
鹿児島県,大和村,大和村子育て世代包括支援センター,8943105,鹿児島県大島郡大和村大和浜100,0997-57-2218,
鹿児島県,大崎町,子育て支援センター ひよこクラブ,8997302,曽於郡大崎町神領130-1,099-476-2166,
鹿児島県,天城町,天城町地域子育て支援拠点 むすびーの(H31.4～）,8917611,大島郡天城町天城427,070-4333-5605,
鹿児島県,奄美市,子育て支援センター わくわくひろば,8940026,奄美市名瀬港町5-18,0997-53-5900,
鹿児島県,姶良市,あいら親子つどいの広場「あいあい」,8995400,姶良市西餅田589番地,0995-73-5333,
鹿児島県,姶良市,みしま村子育て広場       野いちご,8900902,鹿児島郡三島村黒島67-4,090-5283-7065,
鹿児島県,姶良市,子育て支援センター たんぽぽ,8995543,姶良市下名60番地,0995-65-2531,
鹿児島県,姶良市,子育て支援センター ようよう,8995302,姶良市蒲生町上久徳1194番地18,0995-52-0112,
鹿児島県,屋久島町,屋久町子育て支援センターぽかぽかの木,8914311,熊毛郡屋久島町安房187-1,0997-47-1005,
鹿児島県,徳之島町,子育て支援センター われんきゃ広場,8917101,大島郡徳之島町亀津4223-7,0997-82-0660,
鹿児島県,志布志市,通山子育て支援センター,8997402,志布志市有明町野井倉8547-1,099-474-1506,
鹿児島県,指宿市,わかみや地域子育て支援センター 島っ子,8913101,西之表市西之表16314-4,0997-23-0999,
鹿児島県,指宿市,開聞子育て支援センター KID’Sキッズ,8910603,指宿市開聞十町2807,0993-32-2100,
鹿児島県,日置市,子育て支援センター You・ゆう,,日置市日吉町吉利3018,099-292-4014,
鹿児島県,日置市,子育て支援センター こがめ,8993302,日置市吹上町中之里851,099-813-7191,
鹿児島県,曽於市,はーとぽっぽ(法人自主事業）,8994102,曽於市財部町北俣14,0986-72-0222,
鹿児島県,曽於市,子育て支援センター すくすく,8994501,霧島市福山町福山4930-2,080-5790-2867,
鹿児島県,曽於市,子育て支援センター ひだまり,8996404,霧島市溝辺町麓2560,0995-58-3005,
鹿児島県,曽於市,子育て支援センター ぴよぴよ,8996301,霧島市横川町上ノ４５０３ー１,0995-73-2371,
鹿児島県,曽於市,子育て支援センター 子育てルンルン,8994201,霧島市霧島田口807,0995-57-1482,
鹿児島県,東串良町,子育て支援センター ひまわり館,8931612,肝属郡東串良町池之原2384-1,0994-35-1555,
鹿児島県,東串良町,錦江町田代子育て支援センター,8932402,肝属郡錦江町田代川原273-3,0994-25-2037,
鹿児島県,枕崎市,すこやか子育て支援センター,8991601,阿久根市折口1633－3,0996-75-0177,
鹿児島県,枕崎市,子育て支援センター キッズ,8980051,枕崎市中央町261番地,0993-72-0382,
鹿児島県,湧水町,子育て支援センター ぽかぽか,8996207,姶良郡湧水町米永433-1,0995-74-5014,
鹿児島県,瀬戸内町,すこやか福祉センター,,大島郡瀬戸内町古仁屋船津23,0997-72-1068,
鹿児島県,知名町,地域子育て支援拠点事業所 そら・SORA,8919214,大島郡知名町知名2190-1,070-1990-5689,
鹿児島県,肝付町,肝付町内之浦地域子育て支援センター 肝属郡肝付町南方２６３８－１,,,0994-67-2349,
鹿児島県,薩摩川内市,地域子育て支援センター ぽけっと,8950012,薩摩川内市平佐町3669－1,080-2779-6723,
鹿児島県,薩摩川内市,子育てひろば ちゃお,8992504,日置市伊集院町郡2056-1,099-273-1483,
鹿児島県,薩摩川内市,子育て支援センター ぱぴいら,8950041,薩摩川内市隈之城町1001,0996-25-1815,
鹿児島県,薩摩川内市,子育て支援センター エンゼル,8992431,日置市東市来町美山1689-1,099-274-0838,
鹿児島県,薩摩川内市,子育て支援センター スマイリィ,8950044,薩摩川内市 青山町4194,0996-20-0775,
鹿児島県,錦江町,大根占子育て支援センター ほほえみ 肝属郡錦江町城元585-1,,,080-6452-1658,
鹿児島県,長島町,子育てひろば すまいる,8991401,出水郡長島町鷹巣1659-1,0996-86-2331,
鹿児島県,長島町,子育て支援センター すくすく,8996104,姶良郡湧水町川西920-12,0995-75-4533,
鹿児島県,霧島市,いちき串    66   さわやか子育て支援センター,8960005,いちき串木野市西塩田町73-1,0996-33-0192,
鹿児島県,霧島市,子育てサロン つどいのひろば,8995112,霧島市隼人町松永1434-2,0995-43-3729,
鹿児島県,霧島市,子育て支援センター にこにこ,8995101,霧島市隼人町住吉971-2,080-5799-2867,
鹿児島県,霧島市,子育て支援センター ぽっけ,8994321,霧島市国分広瀬4-4-25,090-5027-1241,
鹿児島県,霧島市,子育て支援センター アトムの家,8994343,霧島市国分野口西9-45,050-3441-3096,
鹿児島県,鹿児島市,すこやか子育て交流館（りぼんかん）,8900062,鹿児島市与次郎1丁目10番17号,099-812-7740,
鹿児島県,鹿児島市,つどいの広場“ひまわり”（西原地区学習ｾﾝﾀｰ）,8930064,鹿屋市西原2丁目2番3号,0994-43-7003,
鹿児島県,鹿児島市,つどいの広場“ひよこ”（東地区学習ｾﾝﾀ-）,8930015,鹿屋市新川町114-2,0994-31-1190,
鹿児島県,鹿児島市,つどいの広場“ふれあい”（串良ふれあいｾﾝﾀｰ）,8931602,鹿屋市串良町有里507-1,0994-63-5030,
鹿児島県,鹿児島市,つどいの広場“バンビ”（田崎地区学習ｾﾝﾀｰ）,8930032,鹿屋市川西町3603-1,0994-41-5066,
鹿児島県,鹿児島市,三和児童センター,8900071,鹿児島市三和町21-23,099-255-9915,
鹿児島県,鹿児島市,北部親子つどいの広場（なかよしの）,8920871,鹿児島市吉野町3256番地１,099-243-3255,
鹿児島県,鹿児島市,南部親子つどいの広場（たにっこりん）,8910117,鹿児島市西谷山1丁目3番2号,099-266-6501,
鹿児島県,鹿児島市,喜入松青ひろば,8910203,鹿児島市喜入町5983-3,099-814-2397,
鹿児島県,鹿児島市,地域子育て支援センター いっぺこっぺ,8900008,鹿児島市伊敷7-8-20,099-228-2144,
鹿児島県,鹿児島市,地域子育て支援センター くくな,8910108,鹿児島市中山2-33-5-101,099-204-9610,
鹿児島県,鹿児島市,地域子育て支援センター ころころ,8900032,鹿児島市西陵8-29-8,099-296-9359,
鹿児島県,鹿児島市,地域子育て支援センター つくしぴよぴよ,8900082,鹿児島市紫原5-14-3,099-201-3071,
鹿児島県,鹿児島市,地域子育て支援センター はらっぱ,,鹿児島市緑ヶ丘町5-5,099-244-1365,
鹿児島県,鹿児島市,地域子育て支援センター わくわくパンダ,8911105,鹿児島市郡山町2519-5,099-298-4010,
鹿児島県,鹿児島市,地域子育て支援センター ドリームキッズ,8992701,鹿児島市石谷町1644,099-813-7188,
鹿児島県,鹿児島市,地域子育て支援センター ララ,8900023,鹿児島市永吉1-33-13-1F,080-7574-6841,
鹿児島県,鹿児島市,地域子育て支援センター 上町わくわくランド,8920819,鹿児島市柳町3-20,099-227-7656,
鹿児島県,鹿児島市,地域子育て支援センター 松青ひろば,8910141,鹿児島市谷山中央4-4907-11,099-268-3751,
鹿児島県,鹿児島市,地域子育て支援センター 花,8911306,鹿児島市牟礼岡1-3-5,099-294-7850,
鹿児島県,鹿児島市,城南児童センター,8920835,鹿児島市城南町4-19,099-223-0868,
鹿児島県,鹿児島市,東部親子つどいの広場（なかまっち）,8920827,鹿児島市中町4番13号,099-226-5539,
鹿児島県,鹿児島市,西部親子つどいの広場（いしきらら）,8900005,鹿児島市下伊敷１丁目10-3,099-220-1200,
鹿児島県,鹿児島市,郡山児童センター,8911105,鹿児島市郡山町39-4,099-298-3144,
鹿児島県,鹿屋市,つどいの広場“りな”,8930009,鹿屋市大手町1番1号,0994-44-2277,
鹿児島県,鹿屋市,つどいの広場”太陽の丘”,8930057,鹿屋市今坂町12440番地6,0994-44-9825,
鹿児島県,鹿屋市,地域子育て支援センター ふたばRCルーム,8930061,鹿屋市上谷町11657番地3,0994-41-6192,
鹿児島県,鹿屋市,地域子育て支援センター わかば楽楽,8930014,鹿屋市寿４丁目８番１４号,0994-44-5234,
鹿児島県,鹿屋市,子育て交流プラザ（県民健康プラザ健康増進センター）,8930013,鹿屋市札元１丁目８番７号,0994-45-7177,
鹿児島県,龍郷町,龍郷町地域子育て支援拠点 ひだまり,8940102,鹿児島県大島郡龍郷町瀬留726-4,0997-62-2030,
鹿児島県,阿久根市,すこやか子育て相談室（おりた保育園）,8991626,鹿児島県阿久根市折口1633番地3,0996-75-0177,
鹿児島県,阿久根市,のびのび子育て相談室,8991626,鹿児島県阿久根市鶴見町200番地,0996-79-3039,
鹿児島県,南さつま市,子育て支援センター こみなとさん家,8971122,鹿児島県南さつま市加世田小湊8895,0993-53-9834,
鹿児島県,西之表市,西之表市子育て支援センター,8914205,鹿児島県西之表市西之表,0997-22-1111,
鹿児島県,伊佐市,伊佐市子育て支援センター,8951803,鹿児島県伊佐市大口里1888,0995-23-1311,
鹿児島県,宇検村,宇検村子育て支援センター,8943301,鹿児島県大島郡宇検村湯湾915-1,0997-67-2211,
鹿児島県,伊仙町,伊仙町子育て支援センター,8918790,鹿児島県大島郡伊仙町伊仙1842,0997-86-3111,
