pref,city,name,addr,phone,note
北海道,えりも町,えりも町子育て支援センター,〒058-0202 幌泉郡えりも町字歌別252,01466-2-2411,
北海道,せたな町,せたな町立認定こども園子育て支援室,〒049-4501 久遠郡せたな町北檜山区豊岡259番地1,0137-84-5855,
北海道,せたな町,大成子育て支援センター,〒043-0504 久遠郡せたな町大成区都332番地,01398-4-5022,
北海道,せたな町,瀬棚子育て支援センター,〒049-4816 久遠郡せたな町瀬棚区本町680番地1,0137-87-3164,
北海道,むかわ町,多機能型子育て支援施設わっくる,〒054-0004 勇払郡むかわ町田浦249－9,0145-42-2919,
北海道,むかわ町,子育て支援センター,〒054-0021 勇払郡むかわ町大原2丁目14-1,0145-42-3711,
北海道,むかわ町,子育て支援センター穂別おひさま広場,〒054-0211 勇払郡むかわ町穂別81番地2,0145-45-3555,
北海道,ニセコ町,ニセコ町地域子育て支援センター,〒048-1501 虻田郡ニセコ町字富士見17番地,0136-44-2739,
北海道,七飯町,大中山子育て支援センター,〒041-1121 亀田郡七飯町大中山3丁目289-2,0138-64-5535,
北海道,七飯町,本町子育て支援センター,〒041-1111 亀田郡七飯町本町7丁目657-2,0138-83-6321,
北海道,三笠市,三笠市子育て支援センター,〒068-2157 三笠市若松町14-1,01267-2-2067,
北海道,三笠市,三笠市道営住宅集会所,〒068-2165 三笠市岡山1081番地10,01267-2-2688,
北海道,上士幌町,上士幌町子育て支援センター,〒080-1408,01564-2-4152,
北海道,上富良野町,上富良野町子育て支援拠点「にこにこ」,〒071-0553 空知郡上富良野町旭町2丁目1番26号,0167-45-9999,
北海道,上川町,上川町子育て支援センター,〒078-1744 上川郡上川町北町163番地中央保育所内,01658-2-1076,
北海道,下川町,下川町子育て支援センター,〒098-1204,01655-4-2413,
北海道,中富良野町,中富良野町地域子育て支援センター 「そらいろのたね」,〒071-0752 空知郡中富良野町本町10番55号,0167-44-2537,
北海道,中川町,中川町子育て支援センター 「まめちょ」,〒098-2802 中川郡中川町字中川217番地2,01656-7-2118,
北海道,中札内村,中札内村子育て支援センター,〒089-1341 河西郡中札内村東4条南7丁目1-2,0155-67-2397,
北海道,中標津町,中標津町なかよし児童館,〒086-1054 標津郡中標津町東14条北4丁目,0153-73-5569,
北海道,中標津町,中標津町児童センター子育てルーム,〒086-1008 中標津町東8条南3丁目2-3,0153-73-2996,
北海道,中標津町,中標津町西児童館,〒086-1125 標津郡中標津町西9条北7丁目,0153-72-3039,
北海道,中標津町,中標津町計根別児童館,〒088-2682 標津郡中標津町計根別南２条東３丁目１番地,0153-78-2539,
北海道,中頓別町,中頓別町子育て支援センター,〒098-5551 枝幸郡中頓別町字中頓別182番地4,01634-6-2727,
北海道,乙部町,乙部町子育て支援センター,〒043-0103 爾志郡乙部町字緑町67,0139-62-2952,
北海道,京極町,京極町子育て支援センター,〒044-0121 虻田郡京極町字三崎92番地6,0136-42-3000,
北海道,仁木町,おおきな木,〒048-2405 余市郡仁木町北町1丁目46番地2,0135-48-6160,
北海道,今金町,今金町子育て支援センター,〒049-4308 瀬棚郡今金町字今金435番地の380,0137-82-3810,
北海道,伊達市,子育て支援センターえがお,〒052-0021 伊達市末永町92番地6,0142-21-3415,
北海道,伊達市,子育て支援センターおひさま,〒052-0014 伊達市舟岡町200番地142(虹の橋保育園併設),0142-25-7111,
北海道,伊達市,子育て支援センターくろーばー,〒052-0034 伊達市館山下町160番地(ふたば保育所併設）,0142-23-2792,
北海道,佐呂間町,佐呂間町子育て支援センター,〒093-0504 常呂郡佐呂間町字西富24-4,01587-2-1255,
北海道,余市町,つどいの広場,〒046-0015 余市郡余市町朝日町26番地,0135-21-2122,
北海道,余市町,ともに,〒046-0022 余市郡余市町沢町5丁目80番地,0135-22-2401,
北海道,余市町,余市町地域子育て支援拠点 キッズルーム　あっぷる,〒046-0003 余市郡余市町黒川町17丁目13番地8,0135-48-8850,
北海道,倶知安町,倶知安町子育て支援センター,〒044-0013 虻田郡倶知安町南3条東5丁目5番地 くっちゃん保育所ぬくぬく内,0136-55-8355,
北海道,八雲町,八雲町子育て支援センタースマイル,〒049-3113 二海郡八雲町相生町29番地9,0137-62-2573,
北海道,共和町,共和町子育て支援センター どろんこ,〒048-2202 岩内郡共和町南幌似57番地12 （保健福祉センター向かい）,0135-73-2244,
北海道,函館市,つつじ子育てサロン,〒041-0525 函館市日ﾉ浜町172-8 (認定こども園つつじ保育園内),0138-85-3555,
北海道,函館市,中央認定こども園子育てサロン,〒040-0032 函館市新川町1‐5(中央認定こども園内) 0138‐23‐5617,,
北海道,函館市,亀田港子育てサロン,〒041-0822 函館市亀田港町52‐14 (認定こども園 函館亀田港保育園内) 0138‐45‐1380,,
北海道,函館市,函館短期大学つどいの広場,〒042-0955 函館市高丘町52-1 （函館短期大学１階）,0138-57-1800,
北海道,函館市,函館花園子育てサロン,〒041-0843 函館市花園町32-1 (函館花園認定こども園内),0138-51-7321,
北海道,函館市,南かやべ認定こども園子育てサロン,〒041-1611 函館市川汲町1601-1 (南かやべ認定こども園内）,0138-25-6677,
北海道,函館市,大森浜子育てサロン,〒040-0042 函館市東川町18-1 （道南住宅「であえ～る大森浜団地」Ａ棟１階）,0138-22-3155,
北海道,函館市,大谷港子育てサロン,〒041-0821 函館市港町1丁目25番1号 (函館大谷短期大学附属港認定こども園内),0138-83-5377,
北海道,函館市,深堀子育てサロン,〒042-0941 函館市深堀町27-2 （認定こども園 函館深堀保育園内）,0138-51-0077,
北海道,函館市,石川子育てサロン,〒041-0802 函館市石川町39-8 (認定こども園 函館石川保育園内),0138-47-6586,
北海道,函館市,美原子育てサロン,〒041-0806 函館市美原1-29-21 (認定こども園 函館美原保育園内),0138-62-2020,
北海道,函館市,赤川認定こども園子育てサロン,〒041-0804 函館市赤川町161番地2 (赤川認定こども園内),0138-47-6767,
北海道,函館市,鍛治さくら認定こども園子育てサロン,〒041-0852 函館市鍛治1-11-21 (鍛治さくら認定こども園内),0138-55-6647,
北海道,別海町,別海町子育て支援センター,〒086-0211 野付郡別海町別海寿町1番地,0153-75-1828,
北海道,利尻町,利尻町子育て支援センター,〒097-0401 利尻郡利尻町沓形字日出町63,0163-84-2319,
北海道,剣淵町,剣淵町子育て支援センター,〒098-0331 上川郡剣淵町西町4番1号,0165-34-2644,
北海道,北広島市,北広島団地児童センター,〒061-1134 北広島市広葉町3丁目1 広葉交流センター内,011-376-6363,
北海道,北広島市,地域子育て支援センター「どんぐり」,〒061-1104 北広島市西の里北2丁目4-5,011-375-5833,
北海道,北広島市,地域子育て支援センター｢あいあい｣,〒061-1192 北広島市中央4丁目2-1 市役所1階,011-376-6637,
北海道,北広島市,地域子育て支援センター｢ぶらんこ｣,〒061-1270 北広島市大曲370-8,011-377-1515,
北海道,北広島市,大曲児童センター,〒061-1270 北広島市大曲370-2 夢プラザ内,011-370-7372,
北海道,北広島市,輪厚児童センター,〒061-1268 北広島市輪厚中央1丁目10-2,011-377-8389,
北海道,北斗市,いちごちゃんひろば,〒041-1242 北斗市市渡1丁目13,0138-73-5567,
北海道,北斗市,おひさまクラブ,〒049-0121 北斗市久根別1丁目24番21号,0138-73-5567,
北海道,北斗市,ちいぱっぱクラブ,〒041-1214 北斗市東前26番地の33,0138-77-7151,
北海道,北斗市,なかよし広場,〒049-0121 北斗市久根別1丁目18番12号,0138-73-8154,
